Sanchez2016_ACE.txt: ACE X	Sanchez2016_ACE.txt: ACE Y
0.0	-0.00347836699598
2871.587147	-0.00347732670685
10551.58715	-0.00346387705127
15352.52191	0.00021491385323
18712.52191	0.000232018020047
23032.52191	0.000261284551754
29272.52191	0.000322000688715
34073.92405	0.00588058837385
36953.45667	0.00410039534115
42712.52191	0.000571312299727
47032.52191	0.000706046775305
52312.52191	0.00092668909541
55192.52191	0.00108025614599
57112.52191	0.00119850982866
60952.52191	0.00148032790223
64792.52191	0.00183544428699
69112.52191	0.00234629420385
72472.52191	0.00284605597184
76312.05453	0.00172425154569
79670.185	-0.00483010756977
82550.185	-0.00403653294354
87829.71762	-0.00400755640184
90229.25024	-0.00478043781859
94068.31548	-0.00640473428972
98865.97858	-0.0122745640121
101265.0438	-0.0139158676745
103183.6417	-0.0175780191033
106542.7069	-0.0175070004498
108941.3048	-0.0198610588776
112298.9679	-0.0238446097149
115656.631	-0.0267675617222
119494.7614	-0.0254213561434
122851.0224	-0.0308903247834
125729.1529	-0.0289680938979
129086.816	-0.0255063257754
129562.6095	-0.0400216788483
133879.3379	-0.0328830932823
138192.3272	-0.0361525718241
141067.186	-0.0375770756748
142983.4469	-0.0385390448015
146337.8384	-0.0341658086312
151608.4907	-0.0232711201677
154481.48	-0.0218411936451
159274.9367	0.00483024472493
161666.0565	-0.00227564808838
165018.5784	0.00854259749934
167891.1003	0.0144185278969
173161.7527	0.042880882334
175075.2093	0.040676139366
177948.1986	0.047840260938
179383.0574	0.044663378071
182255.5794	0.0484897544347
182731.3729	0.0373780251242
186560.6232	0.0370309770719
190392.6777	0.0449257825106
193740.5258	0.0289604939951
195654.9172	0.0240218795957
197570.2434	0.021978186326
199006.037	0.0171876204438
202834.3525	0.000495556232983
206184.0701	-0.0167450143039
207618.9289	-0.0276741186647
210009.5813	-0.0497857498366
212885.8423	-0.0483130160402
215759.2989	-0.0592059417814
219591.3535	-0.0726398504353
223907.147	-0.0716371510491
227742.9406	-0.0745197745443
232538.2668	-0.0780948019331
238297.332	-0.066930644432
242137.332	-0.0585374447968
245496.8647	-0.0538750940565
247897.332	-0.047841891241
