Sanchez2016_ACE.txt: ACE X	Sanchez2016_ACE.txt: ACE Y
0.0	0.00347836699598
2871.587147	0.00347836699598
10551.58715	0.00347836699598
15352.52191	-0.000183071945507
18712.52191	-0.000183071945507
23032.52191	-0.000183071945507
29272.52191	-0.000183071945507
34073.92405	-0.0056752303734
36953.45667	-0.00384451088699
42712.52191	-0.000183071945507
47032.52191	-0.000183071945507
52312.52191	-0.000183071945507
55192.52191	-0.000183071945507
57112.52191	-0.000183071945507
60952.52191	-0.000183071945507
64792.52191	-0.000183071945507
69112.52191	-0.000183071945507
72472.52191	-0.000183071945507
76312.05453	0.00164764752523
79670.185	0.00897052542387
82550.185	0.00897052542387
87829.71762	0.0108012448946
90229.25024	0.0126319643654
94068.31548	0.0162934033068
98865.97858	0.0254470006762
101265.0438	0.0291084396177
103183.6417	0.0346005980299
106542.7069	0.0382620369871
108941.3048	0.0437541953993
112298.9679	0.0529077927687
115656.631	0.0620613901224
119494.7614	0.069384268021
122851.0224	0.0840300238026
125729.1529	0.0913529017013
129086.816	0.100506499055
129562.6095	0.116982974323
133879.3379	0.129798010634
138192.3272	0.157258802726
141067.186	0.177396716873
142983.4469	0.192042472639
146337.8384	0.214011106445
151608.4907	0.25062549586
154481.48	0.278086287921
159274.9367	0.303716360511
161666.0565	0.338500030612
165018.5784	0.367791542144
167891.1003	0.397083053676
173161.7527	0.43369744309
175075.2093	0.459327515681
177948.1986	0.486788307899
179383.0574	0.506926222077
182255.5794	0.536217733609
182731.3729	0.552694208845
186560.6232	0.594800756672
190392.6777	0.625922987832
193740.5258	0.673521694071
195654.9172	0.69549032772
197570.2434	0.713797522427
199006.037	0.730273997664
202834.3525	0.776041984589
206184.0701	0.816317812946
207618.9289	0.836455727124
210009.5813	0.873070116539
212885.8423	0.887715872461
215759.2989	0.913345945052
219591.3535	0.944468176054
223907.147	0.960944651291
227742.9406	0.977421126528
232538.2668	0.995728321235
238297.332	0.999389760176
242137.332	0.999389760176
245496.8647	1.00122047965
247897.332	0.999389760176
