Yang2017_20uM.txt: 20uM X	Yang2017_20uM.txt: 20uM Y
318.2711198	3.59794498721e-18
954.8133595	0.0046296296302
1591.355599	0.0115740740735
2227.897839	0.020833333346
2722.986248	0.0324074073912
3218.074656	0.0486111110949
3713.163065	0.0671296296481
4066.797642	0.0949074073969
4420.43222	0.124999999995
4774.066798	0.157407407403
4986.247544	0.187500000001
5339.882122	0.229166666685
5622.789784	0.26620370371
5976.424361	0.314814814821
6188.605108	0.354166666656
6542.239686	0.402777777605
6754.420432	0.444444444329
7108.05501	0.488425925984
7390.962672	0.530092592709
7673.870334	0.574074073959
7956.777996	0.615740740683
8310.412574	0.650462963021
8593.320236	0.689814814815
8946.954813	0.715277777836
9371.316306	0.745370370313
9654.223969	0.77546296279
10007.85855	0.796296296354
10502.94695	0.819444444445
11068.76228	0.849537036921
11493.12377	0.874999999942
12129.66601	0.898148148033
12766.20825	0.921296296123
13473.47741	0.942129629688
14322.20039	0.949074074074
15241.65029	0.960648148322
16514.73477	0.974537037095
17575.63851	0.981481481482
18707.26916	0.986111110938
19768.17289	0.986111110938
20687.62279	0.990740740799
21819.25344	0.995370370255
23092.33792	0.995370370255
24294.69548	0.995370370255
25426.32613	0.997685185185
27053.04519	0.997685185185
28467.5835	0.995370370255
29811.39489	1.00000000012
31155.20629	1.00231481464
32499.01768	1.00000000012
34125.73674	1.00000000012
35540.27505	1.00462962957
