X	Kakkar2016_Fig1_10uM.txt: 10 uM	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM	Kakkar2016_Fig1_16uM.txt: 16 uM	Kakkar2016_Fig1_20uM.txt: 20 uM
727.2727273	0.000166220024779	0.000308615582014	0.000539828896324	0.000944112786826
1437.40434652	0.000648252770392	0.00120344044575	0.00210538228159	0.00368467887128
2147.53596574	0.00144602337485	0.00268596706158	0.00470459681397	0.00825282618019
2857.66758496	0.0025611113391	0.00476305938499	0.00836067816132	0.0147221561811
3567.79920418	0.00399678536488	0.00744686270695	0.013111341291	0.0232047511158
4277.9308234	0.00575794803086	0.0107545431875	0.0190076842596	0.0338458505879
4988.06244262	0.0078510811816	0.0147080148767	0.0261128992418	0.0468170702356
5698.19406183	0.0102841902398	0.0193336390181	0.034500716495	0.0623074969794
6408.32568105	0.0130667455497	0.0246618794224	0.0442534724509	0.080512057131
7118.45730027	0.0162096187512	0.0307268968088	0.0554596936175	0.101616735999
7828.58891949	0.0197250120724	0.0375660643911	0.0682110967905	0.125780578489
8538.72053871	0.0236263783236	0.0452193868518	0.082598926998	0.153114950461
9248.85215793	0.0279283292854	0.0537288054345	0.0987095915189	0.183661278179
9958.98377715	0.032646530113	0.0631373734872	0.116619604425	0.217369323688
10669.1153964	0.0377975773515	0.0734882896921	0.136389932822	0.254078821912
11379.2470156	0.0433988581696	0.084823780736	0.158059931607	0.29350774603
12089.3786348	0.0494683885075	0.0971838315633	0.181641161758	0.335250307652
12799.510254	0.0560246279952	0.110604769778	0.207111496094	0.378786853759
13509.6418732	0.0630862697642	0.125117721258	0.234410008416	0.423506120295
14219.7734925	0.0706720036578	0.140746966388	0.263433195456	0.468738150373
14929.9051117	0.0788002518593	0.157508240077	0.294033074129	0.51379412403
15640.0367309	0.0874888766248	0.17540703299	0.326017612343	0.558007974283
16350.1683501	0.0967548606273	0.194436965128	0.359153784459	0.600774398796
17060.2999693	0.106613961406	0.214578314425	0.393173303229	0.641578778607
17770.4315886	0.11708034256	0.235796790786	0.427780797334	0.680016269901
18480.5632078	0.128166185592	0.258042648113	0.462663920765	0.715799397651
19190.694827	0.139881287742	0.281250221905	0.497504646469	0.748755303206
19900.8264462	0.152232652557	0.30533796692	0.531990855271	0.778815015796
20610.9580654	0.165224081468	0.330209047895	0.565827308563	0.8059976194
21321.0896847	0.178855776026	0.355752507285	0.598745191861	0.830392074448
22031.2213039	0.193123961685	0.381844999296	0.630509614251	0.852138945328
22741.3529231	0.208020545043	0.408353042064	0.660924706374	0.871413609624
23451.4845423	0.223532817045	0.435135703341	0.689836230359	0.888411862117
24161.6161615	0.23964321487	0.462047603419	0.71713185663	0.903338280749
24871.7477808	0.256329154795	0.488942095688	0.742739445126	0.916397331884
25581.8794	0.273562947354	0.515674473054	0.766623778275	0.927786952504
26292.0110192	0.291311804469	0.542105048565	0.788782231702	0.937694228461
27002.1426384	0.309537945891	0.568101970958	0.809239848352	0.946292755293
27712.2742576	0.328198809437	0.593543658681	0.82804422039	0.953741288851
28422.4058768	0.347247366067	0.618320766456	0.845260499652	0.960183341973
29132.5374961	0.366632537167	0.642337633022	0.860966767599	0.965747443101
29842.6691153	0.386299707467	0.665513193783	0.875249911286	0.970547832364
30552.8007345	0.406191323254	0.687781374256	0.888202080053	0.974685424335
31262.9323537	0.426247561985	0.709091007086	0.899917741422	0.978248911959
31973.0639729	0.44640705643	0.729405335359	0.910491314359	0.981315922694
32683.1955922	0.466607654208	0.748701177449	0.920015331866	0.983954166156
33393.3272114	0.486787192142	0.766967834036	0.928579070274	0.986222533981
34103.4588306	0.506884264426	0.784205817136	0.936267576879	0.988172128146
34813.5904498	0.526838964116	0.800425475381	0.943161027909	0.989847205204
35523.722069	0.546593578903	0.81564558078	0.949334353272	0.99128603153
36233.8536883	0.566093224415	0.829891931336	0.954857071141	0.992521649865
36943.9853075	0.585286401188	0.843196012257	0.959793283122	0.993582560689
37654.1169267	0.604125464858	0.85559374722	0.964201788537	0.994493323942
38364.2485459	0.622567002724	0.867124360752	0.968136283727	0.995275087613
39074.3801651	0.640572113456	0.877829363864	0.971645618968	0.995946050114
39784.5117844	0.65810659021	0.887751667635	0.974774091411	0.996521863355
40494.6434036	0.675141010517	0.896934823686	0.977561757351	0.997015983125
41204.7750228	0.691650738958	0.905422386154	0.980044751279	0.997439972979
41914.906642	0.707615850781	0.913257386844	0.982255602436	0.997803767286
42625.0382612	0.723020986113	0.920481913348	0.984223542275	0.998115898598
43335.1698805	0.7378551454	0.927136779013	0.985974798338	0.998383693892
44045.3014997	0.752111437129	0.933261273359	0.987532871617	0.998613443804
44755.4331189	0.765786788824	0.938892981801	0.988918795774	0.998810548408
45465.5647381	0.778881631856	0.944067664165	0.990151377423	0.99897964273
46175.6963573	0.791399569871	0.948819182272	0.991247417446	0.999124704724
46885.8279765	0.803347039639	0.953179467862	0.992221913689	0.999249148134
47595.9595958	0.814732972013	0.957178523099	0.993088245804	0.999355902308
48306.091215	0.825568459504	0.960844446897	0.993858343152	0.999447480783
49016.2228342	0.835866435786	0.964203481269	0.994542836837	0.999526040203
49726.3544534	0.845641371289	0.967280072756	0.995151197001	0.999593430919
50436.4860726	0.854908987977	0.970096944809	0.995691856525	0.999651240432
51146.6176919	0.863685995425	0.972675177709	0.996172322255	0.999700830697
51856.7493111	0.871989849498	0.975034293214	0.996599274855	0.999743370137
52566.8809303	0.879838534163	0.977192341684	0.996978658318	0.999779861126
53277.0125495	0.88725036641	0.97916598988	0.997315760101	0.999811163571
53987.1441687	0.894243823749	0.98097060804	0.997615282793	0.999838015153
54697.275788	0.900837393399	0.982620355137	0.997881408163	0.999861048689
55407.4074072	0.907049441982	0.984128261538	0.998117854335	0.999880807039
56117.5390264	0.912898104382	0.985506308445	0.998327926805	0.999897755884
56827.6706456	0.918401190271	0.986765503748	0.998514563934	0.999912294701
57537.8022648	0.923576106774	0.987915954015	0.998680377493	0.99992476617
58247.9338841	0.928439795718	0.988966932486	0.998827688787	0.999935464249
58958.0655033	0.933008683942	0.989926943025	0.998958560816	0.999944641101
59668.1971225	0.937298645201	0.990803780049	0.999074826915	0.999952513034
60378.3287417	0.941324972265	0.991604584514	0.999178116241	0.9999592656
61088.4603609	0.945102357905	0.992335896078	0.999269876445	0.999965057969
61798.5919802	0.948644883577	0.993003701584	0.999351393848	0.999970026675
62508.7235994	0.951966014668	0.993613480027	0.999423811381	0.999974288842
63218.8552186	0.955078601333	0.994170244195	0.999488144541	0.999977944936
63928.9868378	0.957994883996	0.994678579155	0.999545295575	0.999981081139
64639.118457	0.960726502725	0.995142677778	0.999596066097	0.99998377138
65349.2500762	0.963284509762	0.9955663735	0.999641168294	0.999986079072
66059.3816955	0.965679384578	0.995953170478	0.999681234893	0.999988058613
66769.5133147	0.96792105091	0.996306271347	0.999716828023	0.999989756666
67479.6449339	0.970018895305	0.99662860273	0.99974844708	0.999991213258
68189.7765531	0.971981786756	0.996922838667	0.999776535727	0.999992462724
68899.9081723	0.973818097079	0.997191422123	0.999801488108	0.999993534517
69610.0397916	0.975535721744	0.997436584716	0.999823654373	0.999994453903
70320.1714108	0.977142100893	0.997660364809	0.99984334559	0.999995242552
71030.30303	0.978644240355	0.997864624083	0.999860838097	0.999995919057
