Time /s	81.6 uM Q37
23125.5785	4.117078741
28280.48444	10.63578675
61817.04235	63.47163058
69556.69698	75.8228668
105544.7348	87.48792324
146652.6591	93.32045145
177474.1178	94.34972114
239113.1442	95.03590093
285345.8187	96.7513504
352120.2957	97.0944403
439441.4391	97.78062009
521624.2136	97.78062009
