X	Nielsen2001_Fig2A_344uM_60deg.txt: 344 uM	Nielsen2001_Fig2A_861uM_60deg.txt: 861 uM	Nielsen2001_Fig2A_1722uM_60deg.txt: 1722 uM	Nielsen2001_Fig2A_3444uM_60deg.txt: 3444 uM
0.0	0.0	0.0	-4.4408920985e-16	0.0
253.818800202	6.368821161e-05	6.39274456162e-05	6.42544484475e-05	6.50140338208e-05
507.637600404	0.000254899661188	0.000256727146644	0.000260450625885	0.000271289375074
761.456400606	0.000574178667007	0.000581557955291	0.000599136989991	0.000654490436375
1015.27520081	0.00102250174183	0.00104379571121	0.00109854529054	0.00128079780945
1269.09400101	0.00160127841096	0.00165111133317	0.00178553007491	0.00225810565813
1522.91280121	0.00231235288276	0.00241358308758	0.00269694427843	0.00375407499841
1776.73160141	0.00315800653048	0.00334384361936	0.00388150615265	0.00602367971539
2030.55040162	0.00414096113674	0.00445726248354	0.00540222789961	0.00944990384165
2284.36920182	0.00526438284326	0.00577216496981	0.00733948879302	0.0146021412263
2538.18800202	0.00653188673937	0.00731008793541	0.00979484236465	0.0223168869063
2792.00680222	0.00794754201223	0.00909607311379	0.0128956434011	0.0338027269932
3045.82560242	0.00951587757017	0.011158997894	0.0168005578738	0.0507626921811
3299.64440263	0.0112418880376	0.0135319428043	0.0217059648312	0.0755049764021
3553.46320283	0.013131040006	0.016252593798	0.027853154838	0.110968574303
3807.28200303	0.0151892784082	0.019363675833	0.0355360480561	0.160519364357
4061.10080323	0.0174230328678	0.0229134120328	0.0451088611751	0.227300847925
4314.91960343	0.0198392238526	0.0269559997779	0.0569927040154	0.312956357892
4568.73840364	0.0224452684428	0.0315520912366	0.0716794426756	0.41587189131
4822.55720384	0.0252490854977	0.036769260925	0.0897303061077	0.529807766155
5076.37600404	0.0282590999801	0.0426824367039	0.111765675959	0.644372055199
5330.19480424	0.0314842461688	0.0493742629981	0.138441449883	0.748072729957
5584.01360444	0.0349339694584	0.0569353558176	0.170406688808	0.832491139843
5837.83240465	0.0386182264113	0.0654643983255	0.208237643044	0.894744821623
6091.65120485	0.0425474826932	0.0750680132931	0.252345723179	0.936894557014
6345.47000505	0.0467327084818	0.0858603351319	0.30286267694	0.96352714809
6599.28880525	0.0511853709001	0.0979621899205	0.359515764152	0.979487478683
6853.10760545	0.0559174229837	0.111499778075	0.421518027391	0.988687598716
7106.92640566	0.0609412886447	0.126602742779	0.487509840882	0.99384634554
7360.74520586	0.0662698430537	0.143401500542	0.555590668426	0.996683970716
7614.56400606	0.0719163878114	0.162023711771	0.62346669245	0.998224474809
7868.38280626	0.0778946202407	0.182589783484	0.688708221735	0.999053397433
8122.20160646	0.0842185960832	0.205207328546	0.749069230058	0.999496778003
8376.02040667	0.0909026848456	0.229964561982	0.802789591057	0.999732994842
8629.83920687	0.0979615170047	0.256922700314	0.84879851439	0.999858509599
8883.65800707	0.105409922249	0.286107548431	0.886770575701	0.999925085182
9137.47680727	0.113262857913	0.317500610197	0.917037727248	0.999960357081
9391.29560747	0.121535326758	0.35103023808	0.940405055954	0.999979029791
9645.11440768	0.130242283242	0.38656352876	0.957935664521	0.99998890995
9898.93320788	0.139398527457	0.423899850757	0.970759864632	0.999994136001
10152.7520081	0.149018585954	0.462767020029	0.979938800672	0.999996899671
10406.5708083	0.159116578735	0.502821175211	0.986387760786	0.999998360955
10660.3896085	0.1697060718	0.543651298905	0.990848521841	0.99999913353
10914.2084087	0.18079991477	0.584789047846	0.993894268945	0.99999954196
11168.0272089	0.192410063273	0.625724080101	0.995951759282	0.999999757873
11421.8460091	0.204547386023	0.665924427853	0.997329565074	0.999999872009
11675.6648093	0.217221456743	0.704860734353	0.99824569306	0.999999932344
11929.4836095	0.230440331472	0.742032473302	0.998851358852	0.999999964237
12183.3024097	0.244210312121	0.776993744948	0.999249928725	0.999999981096
12437.1212099	0.258535697614	0.809376034814	0.999511245195	0.999999990007
12690.9400101	0.27341852445	0.83890551828	0.999682066265	0.999999994718
12944.7588103	0.288858299089	0.865413103026	0.999793466946	0.999999997208
13198.5776105	0.304851725175	0.888836329206	0.999865979724	0.999999998524
13452.3964107	0.321392429305	0.909213319963	0.999913108772	0.99999999922
13706.2152109	0.338470689749	0.926669980789	0.999943703306	0.999999999588
13960.0340111	0.356073173279	0.941402393887	0.999963545361	0.999999999782
14213.8528113	0.374182685983	0.953656722572	0.999976404208	0.999999999885
14467.6716115	0.392777944716	0.963708907206	0.999984732531	0.999999999939
14721.4904117	0.411833376449	0.971846065557	0.999990123999	0.999999999968
14975.3092119	0.431318953409	0.97835093387	0.999993612935	0.999999999983
15229.1280121	0.451200072339	0.983490044244	0.999995870028	0.999999999991
15482.9468123	0.471437486483	0.98750575224	0.99999732986	0.999999999995
15736.7656125	0.491987298948	0.9906117852	0.999998273868	0.999999999997
15990.5844127	0.512801025889	0.99299170705	0.999998884224	0.999999999999
16244.4032129	0.533825737369	0.994799579585	0.999999278808	0.999999999999
16498.2220131	0.555004282881	0.996162108834	0.999999533876	1.0
16752.0408133	0.576275607115	0.997181654478	0.999999698745	1.0
17005.8596135	0.597575159874	0.997939609335	0.999999805307	1.0
17259.6784137	0.618835401789	0.99849979298	0.999999874178	1.0
17513.4972139	0.639986404905	0.998911627956	0.999999918688	1.0
17767.3160141	0.660956544246	0.999212968435	0.999999947454	1.0
18021.1348143	0.681673273155	0.999432526541	0.999999966043	1.0
18274.9536145	0.702063971779	0.999591892903	0.999999978056	1.0
18528.7724147	0.722056854506	0.999707179376	0.99999998582	1.0
18782.5912149	0.741581918778	0.999790328323	0.999999990837	1.0
19036.4100152	0.760571914525	0.999850138905	0.999999994079	1.0
19290.2288154	0.778963310855	0.999893060264	0.999999996174	1.0
19544.0476156	0.796697234655	0.999923797202	0.999999997527	1.0
19797.8664158	0.813720354649	0.999945767932	0.999999998402	1.0
20051.685216	0.829985684424	0.999961446945	0.999999998967	1.0
20305.5040162	0.845453278961	0.999972619862	0.999999999333	1.0
20559.3228164	0.860090801526	0.999980571597	0.999999999569	1.0
20813.1416166	0.873873941183	0.999986224485	0.999999999721	1.0
21066.9604168	0.886786665749	0.999990239156	0.99999999982	1.0
21320.779217	0.898821300463	0.99999308789	0.999999999884	1.0
21574.5980172	0.909978428761	0.999995107752	0.999999999925	1.0
21828.4168174	0.920266618048	0.999996538949	0.999999999951	1.0
22082.2356176	0.929701979863	0.99999755244	0.999999999969	1.0
