Pilkington2017_Fig1A.txt: 50 uM X	Pilkington2017_Fig1A.txt: 50 uM Y
338.4716733	2.79787132628e-05
1145.454545	0.000321357564282
2298.28722	-0.00712793458976
3451.119895	-0.00963189248023
4488.669302	-0.00738383987846
5756.785244	-0.00778566302551
7255.467721	-0.0182793038288
8177.73386	-0.0131024465584
9215.283267	-0.0143246119454
10137.54941	-0.0191040145037
10944.53228	-0.0235480879866
12097.36495	-0.0304176892649
13019.63109	-0.0208214634378
13826.61397	-0.0193760218556
14633.59684	-0.0242972973015
15440.57971	-0.0185423287858
16593.41238	-0.00075578069686
17054.54545	-0.00404318807592
17630.96179	-0.0112246776105
18553.22793	0.00774976458161
19244.92754	-0.000250737274204
19936.62714	-0.00242039232746
20628.32675	0.00529431465271
21320.02635	0.00158781820465
22011.72596	0.00731242217562
22818.70883	0.0191007136531
23395.12516	0.00797552824812
24086.82477	0.00655126079417
24663.24111	0.00807517895075
25470.22398	0.0114239094984
26046.64032	0.0120779175701
26507.77339	0.00712023800797
27430.03953	0.00851496557535
28352.30567	0.00781922287619
29044.00527	0.000495453193805
29850.98814	4.03181207481e-05
30542.68775	-0.00189476509669
31349.67062	-0.00174555854123
32271.93676	-0.000315668813981
32963.63636	-0.00717464218928
33655.33597	-0.00269463772161
34577.60211	-0.00289188666835
35269.30171	-0.0012555090164
36076.28458	0.00136737907787
37113.83399	-0.00212421670464
38266.66667	0.00234187899429
39188.93281	-0.00248983922638
40226.48221	-0.00316057263499
41264.03162	-0.00530644272951
42186.29776	-0.00971967254183
43223.84717	-0.0226363023299
44030.83004	-0.0169890265447
44953.09618	-0.0196565805046
45875.36232	-0.0271949828586
46797.62846	-0.0353126729406
47835.17787	-0.0392557202944
48872.72727	-0.0395495100805
50140.84321	-0.022763839675
