X	35uM	28uM	22.4uM	17.5uM	14uM	11.2uM	9.1uM	7uM	5.6uM	4.5uM	3.5uM
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11022302463e-16	0.0	0.0
0.170212121212	0.000153611448164	9.67334629216e-05	5.88798115834e-05	3.68538721812e-05	2.33832601071e-05	1.4859848239e-05	9.7575189324e-06	5.74355281957e-06	3.66398543905e-06	2.36064373926e-06	1.42567810024e-06
0.340424242424	0.00076812550816	0.000461945328573	0.000269962918763	0.000163725719903	0.000101281648936	6.30362050481e-05	4.0741675687e-05	2.36114449845e-05	1.49175355344e-05	9.54696614808e-06	5.73718297125e-06
0.510636363636	0.00245685287542	0.00137846366648	0.000756647525481	0.000436747871164	0.000259506894994	0.000156191228093	9.83887503545e-05	5.55868912769e-05	3.4564606604e-05	2.18770528955e-05	1.30389181053e-05
0.680848484848	0.00689215777305	0.003553090783	0.00180281444321	0.000976563902449	0.000550450004159	0.000316866443253	0.0001928111894	0.000105218901993	6.40089625975e-05	3.98968183341e-05	2.35077908028e-05
0.851060606061	0.0183755066259	0.00864575906764	0.00401564072442	0.00202107800824	0.00107030563156	0.000583909471681	0.000340564430575	0.000178014908736	0.000105354167397	6.44040996555e-05	3.73974823096e-05
1.02127272727	0.0474455568786	0.0204504367957	0.0086657299398	0.00402823423037	0.00199049290441	0.00102179245071	0.000567533223785	0.000282049386557	0.000161553344536	9.648386552e-05	5.5044573304e-05
1.19148484848	0.117136968057	0.0472692914155	0.0183631040639	0.0078692122772	0.00361298745925	0.00173598134513	0.00091342859202	0.000428854572549	0.000236619211164	0.000137556071475	7.68766704231e-05
1.3616969697	0.264125642241	0.105534692229	0.0382935713812	0.015179039768	0.00646573498545	0.00289781959491	0.00143864905265	0.000634689295191	0.00033590906108	0.000189438240562	0.000103422727049
1.53190909091	0.502166868269	0.22054896605	0.0780636759599	0.0289544696751	0.0114631291214	0.00478427073586	0.00223462835323	0.000922321171292	0.00046650448841	0.000254425477991	0.000135325803414
1.70212121212	0.7524271726	0.409035768973	0.1529216264	0.0544440102631	0.0201647900021	0.00784036324002	0.00343929827376	0.00132350911257	0.000637712004647	0.00033539136776	0.000173358568332
1.87233333333	0.909457254063	0.636991716531	0.279332575594	0.100050275888	0.0351603208255	0.0127748585857	0.00525995346752	0.00188244056188	0.000861718643068	0.000435914073249	0.000218441908734
2.04254545455	0.97310157914	0.823950430008	0.457465210605	0.176929885668	0.0605474922095	0.0207006397128	0.0080065669568	0.00266046407253	0.00115444653224	0.000560433002853	0.00027166708501
2.21275757576	0.992809530779	0.929493819782	0.651812484588	0.294290791663	0.102263282254	0.0333250738502	0.0121392477134	0.00374256364008	0.00153666262132	0.000714442637811	0.000334321951241
2.38296969697	0.998163586008	0.974897526948	0.810060992685	0.448573945321	0.167557478984	0.0531690135813	0.018333425165	0.00524614198897	0.00203541455452	0.000904731586558	0.000407921851331
2.55318181818	0.999539497296	0.991585426441	0.90890018039	0.615320119228	0.262360800759	0.08372177428	0.0275640032238	0.00733279882142	0.00268588122156	0.00113967666155	0.00049424590638
2.72339393939	0.999885343104	0.997257067159	0.959782695866	0.760537917284	0.385991524845	0.129297935252	0.0412021176494	0.010223864587	0.00353374641333	0.0014296038	0.000595379526938
2.89360606061	0.999971530541	0.999116841516	0.983050917127	0.864318225684	0.526419534441	0.194186782432	0.0611001138793	0.0142203904732	0.00463822507376	0.00178722998748	0.000713764117894
3.06381818182	0.999992938394	0.999717157072	0.99302603658	0.928017458382	0.662917204649	0.280724562001	0.0896059381358	0.0197279268543	0.00607589105231	0.00222820299005	0.000852255095176
3.23403030303	0.999998249129	0.999909622575	0.997164185633	0.963339032308	0.776869143195	0.386669998817	0.129398044701	0.0272854377073	0.00794546745444	0.00277175861306	0.00101418950368
3.40424242424	0.999999565951	0.99997114962	0.998853444515	0.981761105062	0.860487054206	0.503730458709	0.182993978154	0.0375956105479	0.0103737355078	0.00344151827628	0.0012034647162
3.57445454545	0.999999892404	0.999990794169	0.999537697136	0.991042133241	0.916194304862	0.619483285179	0.251841463658	0.0515499840062	0.0135226779405	0.00426645271057	0.00142462990393
3.74466666667	0.999999973329	0.999997063041	0.999813836633	0.995630618539	0.950947301244	0.722261399109	0.335161247671	0.0702361650491	0.0175978701161	0.0052820401614	0.00168299220046
3.91487878788	0.999999993389	0.999999063085	0.999925080583	0.997876479132	0.971742654093	0.805345571747	0.429141777235	0.0949062204769	0.0228579239106	0.00653164900085	0.00198473973108
4.08509090909	0.999999998361	0.999999701126	0.999969858295	0.99896993252	0.983875402148	0.867694768719	0.527276218647	0.126877795652	0.0296244157716	0.00806817410223	0.00233708394408
4.2553030303	0.999999999594	0.999999904661	0.999987875015	0.999500836501	0.990849329447	0.911998563781	0.622057584721	0.167339866684	0.0382911178271	0.00995595219786	0.00274842395407
4.42551515152	0.999999999899	0.999999969588	0.999995122849	0.9997582342	0.994823459394	0.942312897714	0.707179024108	0.217055412229	0.0493304291119	0.0122729714718	0.00322853587834
4.59572727273	0.999999999975	0.999999990299	0.999998038277	0.999882934279	0.997076930749	0.96254147511	0.77897114428	0.276004101782	0.0632936526882	0.0151133716403	0.00378879039888
4.76593939394	0.999999999994	0.999999996905	0.999999210953	0.999943323416	0.998351114965	0.975823168151	0.836526115559	0.343080293283	0.0808003065361	0.0185901983871	0.00444240199173
4.93615151515	0.999999999998	0.999999999013	0.999999682631	0.999972562415	0.999070419458	0.984454682882	0.880912383157	0.416009118629	0.102510405294	0.0228383246305	0.00520471339513
5.10636363636	1.0	0.999999999685	0.999999872349	0.999986717751	0.999476111091	0.990028217971	0.914184695059	0.491599947803	0.129073474113	0.0280173740123	0.00609351889085
5.27657575758	1.0	0.9999999999	0.999999948656	0.999993570329	0.999704804676	0.993612813037	0.938628644608	0.566305449369	0.161050311501	0.0343143722631	0.00712942978103
5.44678787879	1.0	0.999999999968	0.999999979349	0.999996887557	0.999833684272	0.995912539869	0.956337787866	0.636885383122	0.198809668823	0.0419457043968	0.0083362849651
5.617	1.0	0.99999999999	0.999999991694	0.999998493352	0.999906301883	0.997385700854	0.969046124002	0.700921648592	0.242412527973	0.0511577700491	0.0097416086384
5.78721212121	1.0	0.999999999997	0.999999996659	0.999999270675	0.999947214638	0.998328493753	0.978107419833	0.757034050876	0.291509315036	0.0622255171784	0.0113771156898
5.95742424242	1.0	0.999999999999	0.999999998656	0.999999646955	0.999970263647	0.998931513396	0.984540576406	0.804809444441	0.34528420897	0.0754478274602	0.0132792631748
6.12763636364	1.0	1.0	0.99999999946	0.999999829102	0.999983248368	0.999317073714	0.989094791827	0.844561845894	0.40247769457	0.0911385870769	0.0154898430393
6.29784848485	1.0	1.0	0.999999999783	0.999999917273	0.99999056322	0.999563540487	0.992312723208	0.877051470304	0.461499210983	0.109612304053	0.0180566067819
6.46806060606	1.0	1.0	0.999999999913	0.999999959954	0.999994683951	0.999721071537	0.994583594939	0.903244926745	0.520611355896	0.131163461653	0.0210339066392
6.63827272727	1.0	1.0	0.999999999965	0.999999980615	0.9999970053	0.999821750369	0.996184797669	0.924146859959	0.578140344223	0.156039566615	0.024483329817
6.80848484848	1.0	1.0	0.999999999986	0.999999990616	0.999998312992	0.999886091424	0.997313191578	0.940699826478	0.632659249338	0.184409143256	0.0284742919429
6.9786969697	1.0	1.0	0.999999999994	0.999999995458	0.999999049656	0.999927208733	0.998108099994	0.953735577405	0.68310480232	0.216327665016	0.0330845430411
7.14890909091	1.0	1.0	0.999999999998	0.999999997801	0.999999464642	0.999953484349	0.998667946689	0.963959609985	0.728815435675	0.251706271137	0.0384005238996
7.31912121212	1.0	1.0	0.999999999999	0.999999998936	0.999999698417	0.999970275328	0.999062179061	0.971954620721	0.769502965295	0.290289468846	0.0445174930129
7.48933333333	1.0	1.0	1.0	0.999999999485	0.999999830109	0.999981005236	0.999339760236	0.978193148393	0.805183239138	0.331648102216	0.0515393252463
7.65954545455	1.0	1.0	1.0	0.999999999751	0.999999904295	0.999987861919	0.999535193172	0.983053532921	0.836091607335	0.375192095885	0.059577864679
7.82975757576	1.0	1.0	1.0	0.999999999879	0.999999946087	0.999992243501	0.99967278281	0.986835979409	0.862602175733	0.420203880353	0.0687516986108
7.99996969697	1.0	1.0	1.0	0.999999999942	0.999999969629	0.999995043431	0.999769646419	0.989777180639	0.885161110132	0.46588884228	0.0791842116357
8.17018181818	1.0	1.0	1.0	0.999999999972	0.999999982891	0.999996832647	0.999837837405	0.992062909677	0.904237216293	0.511435111773	0.0910007836454
8.34039393939	1.0	1.0	1.0	0.999999999986	0.999999990362	0.999997975995	0.99988584253	0.993838503546	0.920288701385	0.556072961419	0.104325020412
8.51060606061	1.0	1.0	1.0	0.999999999993	0.999999994571	0.999998706618	0.999919636912	0.99521740234	0.933743068792	0.599124740501	0.119273957145
8.68081818182	1.0	1.0	1.0	0.999999999997	0.999999996941	0.999999173502	0.999943427157	0.99628800341	0.944986685776	0.640039191687	0.135952259997
8.85103030303	1.0	1.0	1.0	0.999999999998	0.999999998277	0.999999471851	0.999960174724	0.997119108291	0.954360940146	0.67840796878	0.154445570123
9.02124242424	1.0	1.0	1.0	0.999999999999	0.999999999029	0.999999662502	0.999971964443	0.997764221304	0.962162562327	0.713965816623	0.174813285098
9.19145454545	1.0	1.0	1.0	1.0	0.999999999453	0.999999784331	0.999980263991	0.99826492544	0.968646358983	0.746578264126	0.197081239254
9.36166666667	1.0	1.0	1.0	1.0	0.999999999692	0.999999862183	0.999986106576	0.99865352448	0.97402916681	0.776221572079	0.221234902638
9.53187878788	1.0	1.0	1.0	1.0	0.999999999826	0.999999911932	0.999990219543	0.998955105805	0.978494261696	0.8029593583	0.247213833078
9.70209090909	1.0	1.0	1.0	1.0	0.999999999902	0.999999943723	0.999993114921	0.999189148116	0.98219576086	0.826919314273	0.274908148252
9.8723030303	1.0	1.0	1.0	1.0	0.999999999945	0.999999964038	0.99999515316	0.999370772908	0.985262759395	0.848272218779	0.304157701892
10.0425151515	1.0	1.0	1.0	1.0	0.999999999969	0.999999977019	0.999996588005	0.999511717784	0.987803074076	0.867214370596	0.33475443538
10.2127272727	1.0	1.0	1.0	1.0	0.999999999983	0.999999985315	0.999997598083	0.99962109295	0.989906548475	0.883953752987	0.366448047115
10.3829393939	1.0	1.0	1.0	1.0	0.99999999999	0.999999990616	0.99999830914	0.999705968924	0.991647920962	0.898699726917	0.398954723328
10.5531515152	1.0	1.0	1.0	1.0	0.999999999994	0.999999994003	0.999998809697	0.999771832966	0.993089283052	0.911655778735	0.431968277199
10.7233636364	1.0	1.0	1.0	1.0	0.999999999997	0.999999996168	0.999999162071	0.999822943478	0.994282167945	0.923014750275	0.465172727621
10.8935757576	1.0	1.0	1.0	1.0	0.999999999998	0.999999997551	0.99999941013	0.999862605134	0.995269313258	0.932955988312	0.498255179919
11.0637878788	1.0	1.0	1.0	1.0	0.999999999999	0.999999998435	0.999999584753	0.999893382437	0.996086141546	0.941643915122	0.530917879535
11.234	1.0	1.0	1.0	1.0	0.999999999999	0.999999999	0.999999707682	0.999917265477	0.996761999253	0.949227608249	0.562888485534
11.4042121212	1.0	1.0	1.0	1.0	1.0	0.999999999361	0.999999794219	0.999935798583	0.997321190648	0.955841065309	0.593927906397
11.5744242424	1.0	1.0	1.0	1.0	1.0	0.999999999592	0.999999855138	0.999950180159	0.997783838884	0.961603908424	0.623835388533
11.7446363636	1.0	1.0	1.0	1.0	1.0	0.999999999739	0.999999898022	0.999961340166	0.998166601944	0.966622348503	0.652450880608
11.9148484848	1.0	1.0	1.0	1.0	1.0	0.999999999833	0.999999928212	0.999970000255	0.998483267229	0.970990281802	0.679654962881
12.0850606061	1.0	1.0	1.0	1.0	1.0	0.999999999893	0.999999949464	0.999976720423	0.998745244884	0.974790431047	0.70536680345
12.2552727273	1.0	1.0	1.0	1.0	1.0	0.999999999932	0.999999964424	0.999981935224	0.998961976843	0.978095473123	0.72954068016
12.4254848485	1.0	1.0	1.0	1.0	1.0	0.999999999956	0.999999974956	0.99998598187	0.9991412758	0.98096911678	0.752161602762
12.5956969697	1.0	1.0	1.0	1.0	1.0	0.999999999972	0.99999998237	0.999989122038	0.999289606002	0.983467109086	0.773240509105
12.7659090909	1.0	1.0	1.0	1.0	1.0	0.999999999982	0.999999987589	0.999991558785	0.999412315767	0.985638159833	0.792809416878
12.9361212121	1.0	1.0	1.0	1.0	1.0	0.999999999989	0.999999991263	0.999993449681	0.999513829993	0.987524780203	0.81091681049
13.1063333333	1.0	1.0	1.0	1.0	1.0	0.999999999993	0.99999999385	0.999994917003	0.999597809506	0.989164036584	0.827623446232
13.2765454545	1.0	1.0	1.0	1.0	1.0	0.999999999995	0.99999999567	0.999996055633	0.99966728294	0.990588223295	0.842998677001
13.4467575758	1.0	1.0	1.0	1.0	1.0	0.999999999997	0.999999996952	0.999996939202	0.999724755878	0.991825459621	0.857117334086
13.616969697	1.0	1.0	1.0	1.0	1.0	0.999999999998	0.999999997854	0.999997624844	0.999772301159	0.992900217344	0.870057157943
13.7871818182	1.0	1.0	1.0	1.0	1.0	0.999999999999	0.99999999849	0.999998156897	0.999811633608	0.99383378529	0.881896740179
13.9573939394	1.0	1.0	1.0	1.0	1.0	0.999999999999	0.999999998937	0.999998569766	0.999844171859	0.994644677267	0.892713922089
14.1276060606	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999251	0.99999889015	0.999871089509	0.995348989535	0.902584587782
14.2978181818	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999473	0.999999138765	0.99989335744	0.99596071349	0.911581789111
14.468030303	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999629	0.999999331688	0.999911778832	0.996492008801	0.919775143122
14.6382424242	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999739	0.999999481395	0.999927018128	0.996953441731	0.927230448498
14.8084545455	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999816	0.999999597567	0.999939624997	0.99735419289	0.934009474349
14.9786666667	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999871	0.999999687715	0.999950054162	0.997702238215	0.940169881765
15.1488787879	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999909	0.999999757669	0.999958681797	0.998004506524	0.945765245274
15.3190909091	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999936	0.999999811953	0.999965819098	0.998267016629	0.95084514744
15.4893030303	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999955	0.999999854077	0.999971723502	0.998494996587	0.955455325155
