35uM X	35uM Y	28uM X	28uM Y	22.4uM X	22.4uM Y	17.5uM X	17.5uM Y	14uM X	14uM Y	11.2uM X	11.2uM Y	9.1uM X	9.1uM Y	7uM X	7uM Y	5.6uM X	5.6uM Y	4.5uM X	4.5uM Y	3.5uM X	3.5uM Y
0.2	0.000303243920712	0.2	0.000511938997896	0.2	0.000741413038415	0.2	0.00142719416426	0.2	0.00228269401111	0.2	0.00188563232152	0.2	0.00217472188303	0.2	0.00526605655159	1.4667	-0.007458956268	4.6667	0.0175077552307	5.7333	0.0115471619677
0.2	0.000416583158149	0.2	0.00110309642938	0.2	0.00104692411418	0.2	0.00119511165099	0.2	0.00136631072	0.2	0.00103025079385	0.2	0.00145152437848	0.2	0.000327564781108	1.5	-0.00464222012855	4.6667	0.0148629255055	5.7333	0.00985929593692
0.2	0.000218294619999	0.2	0.000358272188962	0.2	-7.79058342047e-05	0.2	0.0002000287509	0.2	0.000393117455166	0.2	9.56314095005e-05	0.2	0.00142797254958	0.2	0.00225677737002	1.5	-0.00400969040216	4.7	0.0159017301708	5.7667	0.0120908615921
0.23333	0.000676603120923	0.23333	0.000278196059087	0.23333	0.00158686989137	0.23333	0.00244677353841	0.23333	0.00259113214744	0.23333	0.00160259408282	0.23333	0.00567627715289	0.23333	0.00571942303811	1.5333	0.00103233170821	4.7	0.0155440959627	5.7667	0.0101938830662
0.23333	0.000790047362865	0.23333	0.000786331973775	0.23333	0.000757740378971	0.23333	0.000300703251303	0.23333	0.0029379436606	0.23333	0.00103799118872	0.23333	0.00145654751078	0.23333	0.00367561577776	1.5333	-0.0074034682248	4.7333	0.0188974383998	5.7667	0.00902139563898
0.23333	0.000308489484501	0.23333	0.000166961948004	0.23333	0.000460228161272	0.23333	0.00121497425913	0.23333	0.00160716634868	0.23333	0.000911813755367	0.23333	0.000829009708804	0.23333	0.00192852438376	1.5667	0.00106245313962	4.7333	0.018406730998	5.8	0.0150857135145
0.26667	0.00107193665129	0.26667	0.00121162340758	0.26667	0.00160018960318	0.26667	0.00287237865051	0.26667	0.001999585099	0.26667	0.00582872876902	0.26667	0.00426773619913	0.26667	0.00352996755889	1.5667	-0.00395108908108	4.7667	0.0191458871869	5.8	0.0137800862467
0.26667	0.000902216557523	0.26667	0.000973091202944	0.26667	0.00162614731713	0.26667	0.000897653386029	0.26667	0.0010210055672	0.26667	0.00236132543059	0.26667	0.00407694096112	0.26667	0.00367902196091	1.6	-0.00172891862053	4.7667	0.0150622035546	5.8	0.00935380301957
0.26667	0.000648458546621	0.26667	0.00122539393472	0.26667	0.000813164878901	0.26667	0.000985958793011	0.26667	0.00102398224398	0.26667	0.00188842847916	0.26667	0.00353636652511	0.26667	0.00399296769256	1.6	-0.00391942486768	4.8	0.0249774419421	5.8667	0.0158052504794
0.3	0.00092684220607	0.3	0.000808421900278	0.3	0.00117372345399	0.3	0.00149888988649	0.3	0.0028406857885	0.3	0.00312151418539	0.3	0.0048938866302	0.3	0.00368292404206	1.6333	0.00112749797818	4.8	0.0171562838861	5.8667	0.0144996232115
