35uM X	35uM Y	28uM X	28uM Y	22.4uM X	22.4uM Y	17.5uM X	17.5uM Y	14uM X	14uM Y	11.2uM X	11.2uM Y	9.1uM X	9.1uM Y	7uM X	7uM Y	5.6uM X	5.6uM Y	4.5uM X	4.5uM Y	3.5uM X	3.5uM Y
0.2	-8.49493007128e-05	0.2	-0.000375301487821	0.2	-0.00065868451293	0.2	-0.00137562422532	0.2	-0.00225008036001	0.2	-0.00186496202594	0.2	-0.00216117649045	0.2	-0.00525809916888	1.4667	0.0078711927383	4.6667	-0.00102923798269	5.7333	-0.000715088364491
0.2	-0.00019828853815	0.2	-0.000966458919301	0.2	-0.00096419558869	0.2	-0.00114354171205	0.2	-0.0013336970689	0.2	-0.00100958049827	0.2	-0.0014379789859	0.2	-0.000319607398396	1.5	0.00508146475238	4.6667	0.00161559174253	5.7333	0.00097277766626
0.2	0.0	0.2	-0.000221634678887	0.2	0.00016063435969	0.2	-0.000148458811958	0.2	-0.000360503804066	0.2	-7.49611139221e-05	0.2	-0.001414427157	0.2	-0.00224881998731	1.5	0.00444893502599	4.7	0.0012579575344	5.7667	-0.000924200859653
0.23333	-0.000368113636422	0.23333	-8.6608035651e-05	0.23333	-0.00147166695116	0.23333	-0.00237534099133	0.23333	-0.00254614894971	0.23333	-0.00157418339237	0.23333	-0.00565770862801	0.23333	-0.00570854304472	1.5333	-0.000564607194709	4.7	0.00161559174253	5.7667	0.00097277766626
0.23333	-0.000481557878364	0.23333	-0.000594743950339	0.23333	-0.000642537438758	0.23333	-0.000229270704219	0.23333	-0.00289296046287	0.23333	-0.00100958049827	0.23333	-0.0014379789859	0.23333	-0.00366473578437	1.5333	0.0078711927383	4.7333	-0.00102923798269	5.7667	0.00214526509347
0.23333	0.0	0.23333	2.46260754319e-05	0.23333	-0.000345025221059	0.23333	-0.00114354171205	0.23333	-0.00156218315095	0.23333	-0.000883403064918	0.23333	-0.000810441183919	0.23333	-0.00191764439037	1.5667	-0.000564607194709	4.7333	-0.000538530580844	5.8	-0.00357544182245
0.26667	-0.000651277972131	0.26667	-0.000952688392161	0.26667	-0.00144570923721	0.26667	-0.00277717272925	0.26667	-0.00193992300931	0.26667	-0.00579119787002	0.26667	-0.004243281471	0.26667	-0.00351568138235	1.5667	0.00444893502599	4.7667	-0.000538530580844	5.8	-0.00226981455461
0.26667	-0.000481557878364	0.26667	-0.000714156187525	0.26667	-0.00147166695116	0.26667	-0.000802447464768	0.26667	-0.00096134347751	0.26667	-0.00232379453159	0.26667	-0.00405248623299	0.26667	-0.00366473578437	1.6	0.00225842877884	4.7667	0.0035451530515	5.8	0.00215646867252
0.26667	-0.000227799867462	0.26667	-0.000966458919301	0.26667	-0.00065868451293	0.26667	-0.00089075287175	0.26667	-0.000964320154291	0.26667	-0.00185089758016	0.26667	-0.00351191179698	0.26667	-0.00397868151602	1.6	0.00444893502599	4.8	-0.00560362901689	5.8667	-0.00357544182245
0.3	-0.000368113636422	0.3	-0.000467895433206	0.3	-0.000972343804801	0.3	-0.00137562422532	0.3	-0.00276386249784	0.3	-0.00307340567081	0.3	-0.00486264710352	0.3	-0.00366473578437	1.6333	-0.000564607194709	4.8	0.00221752903907	5.8667	-0.00226981455461
