Yang2017_1uM.txt: 1uM X	Yang2017_1uM.txt: 1uM Y
601.1787819	-0.0151548510809
1449.901768	-0.00793454806112
2298.624754	0.00512609832007
3430.255403	0.0312083421216
4561.886051	0.06643323611
5339.882122	0.139831778363
6117.878193	0.216638655123
6825.147348	0.226443329667
7532.416503	0.238342889124
8416.502947	0.26115911715
9300.589391	0.285953100305
9901.768173	0.252039385793
10502.94695	0.218488091439
11210.21611	0.190953023301
11917.48527	0.163297703261
12624.75442	0.0907883638364
13332.02358	0.0175732510803
14145.3831	-0.0289465478957
14958.74263	-0.0770622945053
15807.46562	-0.103192169816
16656.18861	-0.131608370231
17469.54813	-0.141718895803
18282.90766	-0.154205407076
19273.08448	-0.140822231703
20263.2613	-0.131062103037
20970.53045	-0.154835641832
21677.79961	-0.180378512403
22455.79568	-0.139360187571
23233.79175	-0.100307904222
24153.24165	-0.0827867675762
25072.69155	-0.067647512953
26062.86837	-0.0759738062261
27053.04519	-0.086538323583
27972.49509	-0.0774891199128
28891.94499	-0.069929530072
29776.03143	-0.0416692252201
30660.11788	-0.0144438934373
31579.56778	0.0120424717959
32499.01768	0.0377183916197
33666.01179	0.0411514424165
34833.00589	0.0437237839166
