Yang2017_20uM.txt: 20uM X	Yang2017_20uM.txt: 20uM Y
318.2711198	0.000448681983556
954.8133595	-0.000509399671849
1591.355599	0.000425547740718
2227.897839	0.00441874694894
2722.986248	0.00799777884768
3218.074656	0.0123597153292
3713.163065	0.0210260547639
4066.797642	0.0173717622154
4420.43222	0.0157222615367
4774.066798	0.0162808141792
4986.247544	0.00814909780916
5339.882122	0.00658153368092
5622.789784	0.00452123978816
5976.424361	0.00268958824434
6188.605108	-0.00730193925241
6542.239686	-0.0055455326626
6754.420432	-0.0165277594283
7108.05501	-0.00938452865653
7390.962672	-0.0107879732531
7673.870334	-0.0156079700498
7956.777996	-0.019626359611
8310.412574	-0.00989801031904
8593.320236	-0.0160453791455
8946.954813	-0.00315396380999
9371.316306	0.00806102762498
9654.223969	0.0026923841767
10007.85855	0.00973633008122
10502.94695	0.0203616097961
11068.76228	0.0221834212119
11493.12377	0.0166058737858
12129.66601	0.0178304053292
12766.20825	0.0136850019739
13473.47741	0.00903234058767
14322.20039	0.0163201929115
15241.65029	0.0155431613982
16514.73477	0.0112866150408
17575.63851	0.00931831229171
18707.26916	0.00808850091338
19768.17289	0.0101252069803
20687.62279	0.00667220688244
21819.25344	0.00299875524662
23092.33792	0.00365915536487
24294.69548	0.00403524142026
25426.32613	0.00194011783396
27053.04519	0.00212178738387
28467.5835	0.00452120437745
29811.39489	-6.26856254978e-05
31155.20629	-0.00235105590439
32499.01768	-2.09527982479e-05
34125.73674	-1.07940127868e-05
35540.27505	-0.00463569260237
