Hasecke2018_Fig2C_450mMNaCl_70uM.txt: 70 uM X	Hasecke2018_Fig2C_450mMNaCl_70uM.txt: 70 uM Y
2053.475936	-1.62619059111e-18
15529.41176	0.00687285223364
23229.94652	0.0103092783493
29005.34759	0.0103092783493
45048.12834	0.00687285223364
50823.52941	0.0103092783493
59807.48663	0.0103092783493
68149.73262	0.0137457044627
77775.40107	0.0137457044627
84192.51337	0.0171821305875
90609.62567	0.0206185567009
100877.0053	0.0274914089391
109219.2513	0.0309278350525
116919.7861	0.0343642611659
127828.877	0.0515463917557
136171.123	0.0687285223341
143229.9465	0.0859106529239
150288.7701	0.10996563574
156064.1711	0.127147766285
165689.8396	0.158075601419
172106.9519	0.185567010327
176598.9305	0.206185567007
182374.3316	0.237113402027
185582.8877	0.257731958708
190716.5775	0.288659793843
195208.5561	0.309278350523
199058.8235	0.333333333317
202909.0909	0.35738831611
208684.492	0.384879725132
211251.3369	0.395189003472
217026.738	0.432989690719
219593.5829	0.460481099626
222802.139	0.508591065328
227294.1176	0.539518900349
232427.8075	0.567010309256
238844.9198	0.597938144276
242695.1872	0.625429553298
245903.7433	0.652920962205
249754.0107	0.687285223339
252962.5668	0.7250859107
256812.8342	0.749140893494
261304.8128	0.776632302401
266438.5027	0.800687285195
270930.4813	0.824742267988
277989.3048	0.855670103123
283764.7059	0.879725085917
286973.262	0.896907216484
293390.3743	0.927835051504
297240.6417	0.941580755958
306224.5989	0.955326460526
309433.1551	0.962199312753
315208.5561	0.97938144332
322909.0909	0.996563573887
328684.492	1.01030927834
335743.3155	1.00687285223
343443.8503	1.00343642611
349860.9626	1.0
