X	Sanchez2016_C.txt: C
8148.782863	0.0182448191526
10552.7626805	0.0302854684533
12956.7424981	0.0450772895138
15360.7223156	0.0624035556071
17764.7021332	0.0820206060473
20168.6819507	0.103665612969
22572.6617683	0.127064329252
24976.6415858	0.151938446642
27380.6214034	0.178012266474
29784.6012209	0.205018470792
32188.5810385	0.2327028687
34592.560856	0.26082807323
36996.5406735	0.289176131868
39400.5204911	0.31755018614
41804.5003086	0.34577527145
44208.4801262	0.373698388781
46612.4599437	0.401187987238
49016.4397613	0.428132993456
51420.4195788	0.454441513748
53824.3993964	0.480039320062
56228.3792139	0.504868213836
58632.3590315	0.528884344283
61036.338849	0.552056540899
63440.3186665	0.574364704811
65844.2984841	0.595798290376
68248.2783016	0.616354897482
70652.2581192	0.636038986073
73056.2379367	0.654860717531
75460.2177543	0.672834922326
77864.1975718	0.68998018963
80268.1773894	0.706318072024
82672.1572069	0.72187239687
85076.1370245	0.736668675058
87480.116842	0.750733597537
89884.0966595	0.76409461017
92288.0764771	0.776779557793
94692.0562946	0.788816388955
97096.0361122	0.800232913457
99500.0159297	0.811056605523
101903.995747	0.821314446178
104307.975565	0.831032799093
106711.955382	0.840237314847
109115.9352	0.84895285917
111519.915017	0.857203461299
113923.894835	0.86501227913
116327.874653	0.872401578248
118731.85447	0.879392722407
121135.834288	0.886006173317
123539.814105	0.892261497965
125943.793923	0.898177381954
128347.77374	0.903771647568
130751.753558	0.909061275497
133155.733375	0.914062429328
135559.713193	0.918790482038
137963.69301	0.923260043895
140367.672828	0.927484991231
142771.652646	0.931478495684
145175.632463	0.935253053569
147579.612281	0.9388205151
149983.592098	0.942192113249
152387.571916	0.945378492064
154791.551733	0.948389734318
157195.531551	0.951235388394
159599.511368	0.953924494312
162003.491186	0.95646560887
164407.471003	0.958866829846
166811.450821	0.961135819254
169215.430639	0.963279825635
171619.410456	0.965305705403
174023.390274	0.967219943231
176427.370091	0.969028671519
178831.349909	0.970737688946
181235.329726	0.972352478141
183639.309544	0.973878222491
186043.289361	0.97531982213
188447.269179	0.976681909118
190851.248996	0.977968861861
193255.228814	0.979184818789
195659.208632	0.980333691339
198063.188449	0.981419176247
200467.168267	0.982444767217
202871.148084	0.983413765958
205275.127902	0.984329292651
207679.107719	0.985194295854
210083.087537	0.986011561874
212487.067354	0.986783723647
214891.047172	0.987513269132
217295.026989	0.988202549256
219699.006807	0.988853785431
222102.986625	0.989469076661
224506.966442	0.990050406262
226910.94626	0.990599648224
229314.926077	0.991118573217
231718.905895	0.991608854275
234122.885712	0.992072072169
236526.86553	0.992509720485
238930.845347	0.992923210421
241334.825165	0.99331387533
243738.804982	0.993682975005
246142.7848	0.994031699735
