Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4 X	Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4 Y
0.0	8.98416483533e-17
3037.974684	4.91921930037e-05
7594.936709	0.0221125260777
11772.1519	0.0637935695516
15569.62025	0.0995537349155
18227.8481	0.113690737036
22405.06329	0.138535566993
25063.29114	0.148127080841
26962.02532	0.127898314329
29620.25316	0.106673946829
31139.24051	0.0772733426334
33797.46835	0.0309470564473
34936.70886	0.00719281711455
37215.18987	-0.0347893646608
39493.67089	-0.0504423312315
42531.64557	-0.0652355963374
45569.62025	-0.0838716778493
48607.59494	-0.0847938707555
53544.3038	-0.0926581767344
57341.77215	-0.0888697920758
64936.70886	-0.0863748818705
69493.67089	-0.0828614806929
74810.12658	-0.0802264049046
78987.34177	-0.0788025140466
84303.79747	-0.076471853819
90379.74684	-0.0826923435951
