X	Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4
0.0	0.0
919.282828283	0.000660967801521
1838.56565657	0.00263950934099
2757.84848485	0.00592260907085
3677.13131313	0.0104888058186
4596.41414141	0.0163085326961
5515.6969697	0.023344578922
6434.97979798	0.0315526602994
7354.26262626	0.0408820823765
8273.54545455	0.0512764783053
9192.82828283	0.0626746021632
10112.1111111	0.0750111580222
11031.3939394	0.0882176453056
11950.6767677	0.102223201906
12869.959596	0.116955428031
13789.2424242	0.132341175688
14708.5252525	0.14830729101
15627.8080808	0.164781299057
16547.0909091	0.181692023285
17466.3737374	0.198970134336
18385.6565657	0.216548625177
19304.9393939	0.234363211728
20224.2222222	0.252352660024
21143.5050505	0.270459042524
22062.7878788	0.288627927474
22982.0707071	0.306808506201
23901.3535354	0.324953663904
24820.6363636	0.343019999964
25739.9191919	0.360967803948
26659.2020202	0.378760993517
27578.4848485	0.396367020279
28497.7676768	0.413756749336
29417.0505051	0.430904317888
30336.3333333	0.447786977832
31255.6161616	0.464384926772
32174.8989899	0.480681131407
33094.1818182	0.496661146695
34013.4646465	0.512312933779
34932.7474747	0.52762667912
35852.030303	0.542594616932
36771.3131313	0.557210856539
37690.5959596	0.571471215989
38609.8787879	0.585373062905
39529.1616162	0.59891516328
40448.4444444	0.612097538715
41367.7272727	0.624921332361
42287.010101	0.637388683672
43206.2929293	0.649502611953
44125.5757576	0.661266908546
45044.8585859	0.672686037431
45964.1414141	0.683765043931
46883.4242424	0.694509471186
47802.7070707	0.704925283992
48721.989899	0.715018799608
49641.2727273	0.724796625102
50560.5555556	0.734265600812
51479.8383838	0.743432749496
52399.1212121	0.752305230761
53318.4040404	0.760890300358
54237.6868687	0.769195273963
55156.969697	0.777227495079
56076.2525253	0.784994306694
56995.5353535	0.792503026376
57914.8181818	0.799760924494
58834.1010101	0.806775205272
59753.3838384	0.813552990416
60672.6666667	0.820101305048
61591.9494949	0.826427065743
62511.2323232	0.83253707043
63430.5151515	0.838437989988
64349.7979798	0.844136361341
65269.0808081	0.849638581902
66188.3636364	0.854950905203
67107.6464646	0.860079437606
68026.9292929	0.865030135932
68946.2121212	0.869808805938
69865.4949495	0.874421101511
70784.7777778	0.878872524509
71704.0606061	0.883168425159
72623.3434343	0.887314002937
73542.6262626	0.891314307874
74461.9090909	0.895174242216
75381.1919192	0.898898562397
76300.4747475	0.902491881274
77219.7575758	0.905958670576
78139.040404	0.909303263539
79058.3232323	0.912529857692
79977.6060606	0.915642517756
80896.8888889	0.918645178639
81816.1717172	0.921541648506
82735.4545455	0.924335611891
83654.7373737	0.927030632846
84574.020202	0.929630158106
85493.3030303	0.932137520255
86412.5858586	0.934555940888
87331.8686869	0.936888533747
88251.1515152	0.939138307834
89170.4343434	0.941308170489
90089.7171717	0.943400930422
91009.0	0.945419300702
