Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4 X	Solomon2009_Fig3_pH7-4_8kDa_32uM.txt: 32 uM 8 kDa pH 7.4 Y
0.0	-8.98416483533e-17
3037.974684	0.0071301247757
7594.936709	0.0213903743361
11772.1519	0.0356506238875
15569.62025	0.0641711230084
18227.8481	0.0998217468869
22405.06329	0.156862745074
25063.29114	0.199643493783
26962.02532	0.25668449197
29620.25316	0.327985739727
31139.24051	0.385026738005
33797.46835	0.477718360071
34936.70886	0.52049910878
37215.18987	0.598930481276
39493.67089	0.648841354724
42531.64557	0.705882353002
45569.62025	0.76292335119
48607.59494	0.798573975068
53544.3038	0.855614973346
57341.77215	0.884135472756
64936.70886	0.934046346294
69493.67089	0.955436720152
74810.12658	0.976827094912
78987.34177	0.99108734385
84303.79747	1.00534759369
90379.74684	1.02673796755
