X	Romero2010_1min.txt: acid 1min
-756.302521	0.00248200431571
563.789151939	0.00138052469252
1883.88082488	0.0152358423194
3203.97249782	0.0430341435141
4524.06417076	0.0828409430116
5844.1558437	0.132111647979
7164.24751664	0.18805081022
8484.33918958	0.247936311603
9804.43086252	0.309354791871
11124.5225355	0.370332139689
12444.6142084	0.429371793487
13764.7058813	0.485427783123
15084.7975543	0.537840993746
16404.8892272	0.586261524823
17724.9809002	0.630572237447
19045.0725731	0.670821622435
20365.164246	0.707169116636
21685.255919	0.739842953034
23005.3475919	0.769109092223
24325.4392648	0.79524922006
25645.5309378	0.818545781431
26965.6226107	0.839272263899
28285.7142837	0.85768727555
29605.8059566	0.874031288499
30925.8976295	0.888525203725
32245.9893025	0.901370122455
33566.0809754	0.912747886404
34886.1726484	0.922822081371
36206.2643213	0.931739295138
37526.3559942	0.93963048963
38846.4476672	0.946612395913
40166.5393401	0.952788874384
41486.6310131	0.958252205667
42806.722686	0.963084293318
44126.8143589	0.967357769787
45446.9060319	0.971137003821
46766.9977048	0.974479011625
48087.0893778	0.977434276672
49407.1810507	0.980047484352
50727.2727236	0.982358178334
52047.3643966	0.984401345586
53367.4560695	0.986207936891
54687.5477425	0.987805329318
56007.6394154	0.989217736677
57327.7310883	0.990466573511
58647.8227613	0.991570777667
59967.9144342	0.992547096017
61288.0061072	0.993410337445
62608.0977801	0.994173596765
63928.189453	0.994848452889
65248.281126	0.995445144141
66568.3727989	0.995972723359
67888.4644718	0.996439195085
69208.5561448	0.996851636893
70528.6478177	0.997216306708
71848.7394907	0.997538737698
73168.8311636	0.997823822194
74488.9228365	0.998075885899
75809.0145095	0.998298753505
77129.1061824	0.998495806715
78449.1978554	0.99867003555
79769.2895283	0.998824083707
81089.3812012	0.998960288676
82409.4728742	0.999080717203
83729.5645471	0.999187196647
85049.6562201	0.99928134271
86369.747893	0.999364583949
87689.8395659	0.999438183456
89009.9312389	0.999503258019
90330.0229118	0.999560795072
91650.1145848	0.999611667676
92970.2062577	0.999656647765
94290.2979306	0.999696417862
95610.3896036	0.999731581435
96930.4812765	0.999762672051
98250.5729495	0.999790161477
99570.6646224	0.999814466834
100890.756295	0.99983595693
102210.847968	0.999854957852
103530.939641	0.999871757919
104851.031314	0.999886612053
106171.122987	0.99989974565
107491.21466	0.999911357998
108811.306333	0.9999216253
110131.398006	0.999930703352
111451.489679	0.999938729904
112771.581352	0.99994582675
114091.673025	0.999952101576
115411.764698	0.999957649596
116731.856371	0.999962554995
118051.948044	0.999966892207
119372.039716	0.999970727045
120692.131389	0.999974117698
122012.223062	0.999977115616
123332.314735	0.999979766288
124652.406408	0.999982109936
125972.498081	0.999984182122
127292.589754	0.999986014289
128612.681427	0.999987634238
129932.7731	0.99998906655
