data3.txt: C19S X	data3.txt: C19S Y
2.054212065	-6.35950997704e-18
4.800690938	-6.35950997704e-18
9.237310656	-6.35950997704e-18
13.04062583	0.00197628411095
15.7871047	0.00197628411095
18.95811188	0.00988142264959
21.28305209	0.0138339919189
23.6114802	0.0316205531071
26.1516742	0.0513833984063
27.84779431	0.0750988140222
29.11888786	0.0889328059412
29.96844273	0.106719367129
31.02826867	0.120553359048
31.87832182	0.140316205395
33.15190672	0.164031619963
34.42549163	0.187747035579
35.90835105	0.203557311609
37.39021393	0.215415019417
37.81823014	0.237154149875
38.45701568	0.256916996221
39.94386128	0.288537549328
41.21644964	0.308300394628
41.85473691	0.326086955816
42.91655594	0.347826086273
43.34058597	0.353754940701
44.1946253	0.389328063078
45.25345469	0.399209485727
46.52903269	0.430830038834
47.59234653	0.45849802372
48.44239968	0.478260869019
49.29095801	0.492094860938
50.35477013	0.521739129934
51.20482328	0.54150197628
52.0553747	0.563241106738
53.5422203	0.594861659845
54.60304279	0.612648221033
55.45259766	0.630434782222
56.08988839	0.644268774141
57.57573744	0.671936759026
59.06058995	0.695652173594
60.33367659	0.717391304052
61.8185291	0.74110671862
63.30238507	0.760869564967
65.20877624	0.780632411314
68.17698645	0.82213438707
70.71867526	0.847826086797
72.4142971	0.869565217255
74.53145761	0.887351778443
76.85938746	0.90316205552
78.34125033	0.915019762281
81.09171539	0.930830039358
83.4201435	0.948616600546
86.5961334	0.976284584384
88.92406325	0.992094861461
90.82696652	0.998023714842
93.78521127	1.0
96.53169014	1.0
