Solomon2009_Fig3_pH7-4_8kDa_48uM.txt: 48 uM 8 kDa pH 7.4 X	Solomon2009_Fig3_pH7-4_8kDa_48uM.txt: 48 uM 8 kDa pH 7.4 Y
4556.962025	0.00983341824167
7974.683544	0.0296139306221
12911.39241	0.0649259584661
18227.8481	0.120643882431
22025.31646	0.150312963529
25443.03797	0.18236383903
29620.25316	0.19820402278
32278.48101	0.185639305923
33797.46835	0.165004426931
34556.96203	0.11817215838
37974.68354	0.115037500661
40632.91139	0.0991905653933
41772.1519	0.0711216437791
44430.37975	0.0432706691276
45569.62025	0.01901367184
47088.60759	-0.0251671115618
48607.59494	-0.0602318873758
51265.82278	-0.0926951969711
53164.55696	-0.120472581724
56962.02532	-0.144811283403
60759.49367	-0.15815567203
66075.94937	-0.148482216036
71012.65823	-0.132740422088
77088.60759	-0.120034787424
85063.29114	-0.104778644299
87721.51899	-0.0984116221036
94936.70886	-0.0915381169585
100253.1646	-0.0803892706149
107088.6076	-0.0729937513846
112025.3165	-0.0723969318511
