Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM Y
0.0	-4.37606112824e-17
106.2730627	0.00147580898082
398.5239852	0.0213181522811
637.6383764	0.0472435566379
743.9114391	0.0224955915844
850.1845018	0.0182555267376
983.0258303	0.0155119802588
1062.730627	-0.00337938007286
1195.571956	-0.00873996453462
1275.276753	-0.0259150114861
1381.549815	-0.023591998819
1487.822878	-0.0268476048706
1594.095941	-0.0297655232814
1700.369004	-0.0325466780846
1806.642066	-0.0476444059906
1912.915129	-0.0568092909936
2045.756458	-0.0534206314641
2178.597786	-0.0446574387719
2338.00738	-0.0182192612096
2470.848708	-0.0117163073782
2603.690037	-0.0309652882037
2736.531365	-0.0760326008427
2869.372694	-0.0671852026076
3081.918819	-0.0570250157194
3214.760148	0.0281422388196
3294.464945	0.103161727335
3453.874539	0.0984124506959
3666.420664	0.130228669921
3825.830258	0.103029924252
4011.808118	0.114290301197
4091.512915	0.0378376275472
4171.217712	0.0592061171425
4304.059041	0.0674576696779
4410.332103	0.072167061115
4569.741697	0.0751164540327
4702.583026	0.0439421358559
4808.856089	0.0221268976219
4941.697417	-0.00426625494834
5101.107011	-0.0294813301355
5233.948339	-0.0634729430028
5499.630996	-0.0534434565782
5685.608856	-0.067941625863
5845.01845	-0.0600803893813
6004.428044	-0.00990100233917
6216.97417	-0.050264253941
6402.95203	-0.0433989484746
6509.225092	-0.0581814756614
6615.498155	-0.067028846063
6774.907749	-0.0499718714794
6907.749077	-0.046287863671
7120.295203	-0.0409181973053
7226.568266	-0.0568664195095
