m0:0.5mM_M0:0_L0:10000 X	m0:0.5mM_M0:0_L0:10000 Y
-140.2238985	-0.066577896
4121.773632	0.031275946
4903.117374	-0.017474739
8263.434788	0.03501214
11242.1814	0.01776455
15383.1684	0.028471841
18356.52179	0.066993028
22230.54406	0.161337824
25199.51545	0.245171144
28656.91095	0.632278531
32797.56088	0.646471372
36023.04762	0.754719197
39639.88038	0.831620585
43257.3873	0.901550873
57356.63064	1
