X	Daval2010_Fig2.txt: 50 uM
241.0041841	2.15319389312e-05
814.920108705	0.000255878516129
1388.83603331	0.00080516195295
1962.75195792	0.00181197177882
2536.66788252	0.00353600958662
3110.58380713	0.00641664746538
3684.49973173	0.0111729300138
4258.41565634	0.0189512677781
4832.33158094	0.0315195720358
5406.24750555	0.0514654547044
5980.16343015	0.0822577821224
6554.07935476	0.12787186914
7127.99527936	0.191592509066
7701.91120397	0.27398140931
8275.82712857	0.371079619042
8849.74305318	0.474702043032
9423.65897778	0.575329110166
9997.57490239	0.665528823316
10571.490827	0.741556747076
11145.4067516	0.802898053163
11719.3226762	0.850959176117
12293.2386008	0.887909620924
12867.1545254	0.91598228043
13441.07045	0.937154055814
14014.9863746	0.953049754476
14588.9022992	0.964951643176
15162.8182238	0.973848446944
15736.7341484	0.980492274439
16310.650073	0.98545066832
16884.5659976	0.989149852894
17458.4819223	0.991909007197
18032.3978469	0.993966739019
18606.3137715	0.995501239821
19180.2296961	0.996645499866
19754.1456207	0.997498737234
20328.0615453	0.998134957485
20901.9774699	0.998609353015
21475.8933945	0.99896308226
22049.8093191	0.999226836656
22623.7252437	0.99942350183
23197.6411683	0.999570142562
23771.5570929	0.999679483155
24345.4730175	0.999761011385
24919.3889421	0.999821801711
25493.3048667	0.999867129115
26067.2207913	0.999900926819
26641.1367159	0.99992612757
27215.0526405	0.999944918133
27788.9685651	0.999958929034
28362.8844897	0.999969376051
28936.8004144	0.999977165713
29510.716339	0.999982973957
30084.6322636	0.999987304787
30658.5481882	0.999990534006
31232.4641128	0.999992941824
31806.3800374	0.999994737177
32380.295962	0.999996075855
32954.2118866	0.99999707402
33528.1278112	0.999997818287
34102.0437358	0.999998373239
34675.9596604	0.99999878703
35249.875585	0.999999095567
35823.7915096	0.999999325623
36397.7074342	0.999999497161
36971.6233588	0.999999625066
37545.5392834	0.999999720436
38119.455208	0.999999791547
38693.3711326	0.99999984457
39267.2870572	0.999999884106
39841.2029818	0.999999913586
40415.1189065	0.999999935566
40989.0348311	0.999999951956
41562.9507557	0.999999964177
42136.8666803	0.999999973289
42710.7826049	0.999999980083
43284.6985295	0.999999985149
43858.6144541	0.999999988927
44432.5303787	0.999999991743
45006.4463033	0.999999993844
45580.3622279	0.99999999541
46154.2781525	0.999999996577
46728.1940771	0.999999997448
47302.1100017	0.999999998097
47876.0259263	0.999999998581
48449.9418509	0.999999998942
49023.8577755	0.999999999211
49597.7737001	0.999999999412
50171.6896247	0.999999999561
50745.6055493	0.999999999673
51319.5214739	0.999999999756
51893.4373986	0.999999999818
52467.3533232	0.999999999864
53041.2692478	0.999999999899
53615.1851724	0.999999999925
54189.101097	0.999999999944
54763.0170216	0.999999999958
55336.9329462	0.999999999969
55910.8488708	0.999999999977
56484.7647954	0.999999999983
57058.68072	0.999999999987
