X	Solomon2009_Fig3_pH7-4_8kDa_16uM	Solomon2009_Fig3_pH7-4_8kDa_32uM
0.0	0.0	-2.220446049250313e-16
808.391959798995	0.00011198738747508763	0.00014880468106204248
1616.78391959799	0.0004461587851019022	0.0005949017355447728
2425.175879396985	0.0009999144794383685	0.0013400910491585538
3233.56783919598	0.0017707650948772802	0.002389141922839122
4041.9597989949752	0.0027563254072457966	0.003749727264705238
4850.35175879397	0.003954308094374359	0.00543237118407891
5658.743718592965	0.005362517423697755	0.007450404776708663
6467.13567839196	0.006978842877237157	0.009819924473804753
7275.527638190955	0.008801252714643493	0.012559746789804094
8083.9195979899505	0.010827787475425898	0.01569135266344135
8892.311557788946	0.01305655342194989	0.019238813870492755
9700.70351758794	0.015485715925354082	0.02322869323238408
10509.095477386934	0.01811349279714647	0.027689909605246976
11317.48743718593	0.020938147569906973	0.032653557979023695
12125.879396984925	0.023957982731264704	0.03815267453614257
12934.27135678392	0.027171332916098523	0.04422193632599358
13742.663316582915	0.03057655806275339	0.050897285437786155
14551.05527638191	0.03417203653995704	0.05821546835078384
15359.447236180906	0.03795615825203824	0.06621348266752414
16167.839195979901	0.04192731773104452	0.07492792584965158
16976.231155778896	0.04608390722534095	0.0843942440126293
17784.62311557789	0.05042430979532575	0.09464588338332591
18593.015075376887	0.054946892427938154	0.10571335269460225
19401.40703517588	0.059649999182723845	0.11762321148509991
20209.798994974873	0.06453194438329013	0.13039700675076515
21018.19095477387	0.06959100586906486	0.14405018825341354
21826.582914572864	0.07482541832334355	0.1585910404552594
22634.97487437186	0.08023336669464964	0.17401967578639566
23443.366834170854	0.08581297972945467	0.19032713892686481
24251.75879396985	0.09156232363527539	0.20749467413223854
25060.150753768845	0.09747939589408527	0.22549320657316818
25868.54271356784	0.10356211924683434	0.24428308363284423
26676.934673366835	0.10980833587064864	0.26381411289522916
27485.32663316583	0.11621580177096325	0.28402592039390084
28293.718592964826	0.12278218141143138	0.30484863630790204
29102.11055276382	0.1295050426049168	0.32620389689284335
29910.502512562816	0.13638185168921424	0.34800613259439894
30718.89447236181	0.1434099690113444	0.3701640947615774
31527.286432160807	0.15058664474431316	0.3925825588644771
32335.678391959802	0.15790901506010646	0.4151641320432048
33144.0703517588	0.1653740986823976	0.43781108809942293
33952.46231155779	0.17297879384197457	0.46042715400302436
34760.85427135679	0.1807198756572158	0.4829191782977612
35569.24623115578	0.18859399396108656	0.5051986225613795
36377.63819095478	0.1965976715950517	0.5271828310119349
37186.03015075377	0.204727303189026	0.5487960489537107
37994.42211055277	0.2129791544449997	0.5699701765321941
38802.81407035176	0.22134936194028143	0.5906452589132551
39611.20603015075	0.22983393346440462	0.610769726524002
40419.59798994975	0.2384287489016519	0.6303004087696835
41227.98994974874	0.24712956166886224	0.6492023514199944
42036.38190954774	0.2559320007157151	0.6674484717068936
42844.77386934673	0.26483157309206173	0.6850190864045101
43653.16582914573	0.273823667084078	0.7019013472332736
44461.55778894472	0.28290355591809735	0.718088615378089
45269.94974874372	0.29206640202794576	0.7335798032673828
46078.34170854271	0.30130726187848167	0.7483787075097601
46886.73366834171	0.3106210913348435	0.7624933524316567
47695.125628140704	0.32000275156368585	0.775935359313983
48503.5175879397	0.3294470154494349	0.788719352407512
49311.909547738695	0.33894857450537286	0.8008624092520145
50120.30150753769	0.3485020462561844	0.8123835598005349
50928.693467336685	0.35810198206549226	0.8233033363724894
51737.08542713568	0.36774287537893113	0.833643374504611
52545.477386934675	0.3774191703504465	0.8434260632900266
53353.86934673367	0.3871252708168418	0.852674242732515
54162.261306532666	0.39685554958310043	0.8614109449297109
54970.65326633166	0.40660435797877126	0.8696591754709421
55779.04522613066	0.416366035643696	0.8774417312323342
56587.43718592965	0.42613492049963686	0.8847810507203128
57395.82914572865	0.4359053588629307	0.8916990932089076
58204.22110552764	0.44567171565217856	0.8982172430983357
59012.61306532664	0.4554283846441959	0.9043562361615788
59821.00502512563	0.4651697987309943	0.9101361046180809
60629.39698492463	0.4748904401304578	0.9155761382609753
61437.78894472362	0.4845848505036271	0.9206948591529219
62246.18090452262	0.49424764093208895	0.9255100076861376
63054.57286432161	0.5038735017099014	0.9300385380680561
63862.96482412061	0.5134572119057519	0.9342966215412554
64671.356783919604	0.5229936486526401	0.9382996558726263
65479.74874371859	0.5324777961242515	0.9420622798514124
66288.1407035176	0.5419047541593924	0.9455983917188386
67096.53266331658	0.5512697464982768	0.9489211706143812
67904.92462311558	0.5605681285971511	0.9520431002665408
68713.31658291457	0.5697953949906276	0.9549759942807292
69521.70854271358	0.5789471861741744	0.9577310224852067
70330.10050251256	0.588019294982431	0.960318737889509
71138.49246231157	0.5970076724423661	0.9627491038901197
71946.88442211055	0.6059084330837163	0.9650315214267624
72755.27638190956	0.6147178596926308	0.967174855851064
73563.66834170854	0.6234324074979473	0.9691874633187455
74372.06030150755	0.6320487077830133	0.9710772165581373
75180.45226130653	0.6405635709194154	0.9728515299027249
75988.84422110554	0.648973988822356	0.9745173835045718
76797.23618090453	0.6572771368306893	0.976081346669636
77605.62814070351	0.6654703750177813	0.9775496002759587
78414.02010050252	0.6735512489423606	0.9789279582520511
