[Not merged]	[Not merged]	[Not merged]	[Not merged]
Solomon2009_Fig3_pH7-4_8kDa_16uM X	Solomon2009_Fig3_pH7-4_8kDa_16uM residue	Solomon2009_Fig3_pH7-4_8kDa_32uM X	Solomon2009_Fig3_pH7-4_8kDa_32uM residue
759.4936709	-9.887344962233868e-05	0.0	2.220446049250313e-16
6835.443038	-0.007783703827331956	3037.974684	0.004847012724452646
11772.1519	0.018596105411341483	7594.936709	0.007113311464155184
16329.11392	0.012203250051002493	11772.1519	-0.000907836808345712
21645.56962	-0.004956878280381438	15569.62025	-0.005821838387499681
26962.02532	-0.0021596201019534744	18227.8481	-0.0032536830468826577
31518.98734	-0.013149585249763535	22405.06329	-0.01655141697213408
37215.18987	-0.04018769109459766	25063.29114	-0.030849816411571834
41772.1519	-0.005791192114438737	26962.02532	-0.02052007747407858
46329.11392	-0.001991144901870301	29620.25316	-0.0202436161935301
49746.83544	0.013060490501373145	31139.24051	-0.006273263693859721
53544.3038	0.022672428588381255	33797.46835	0.009827147370948197
58101.26582	0.008868390949833715	34936.70886	0.019862701948661576
62658.22785	0.009082757310987066	37215.18987	0.034576800839993926
67594.93671	0.01991236411181785	39493.67089	0.024943653296780277
71392.40506	0.018318886448853267	42531.64557	0.010161914297015406
76708.86076	-0.010770325455499163	45569.62025	0.004942856853303312
83544.3038	-0.021534854139818482	48607.59494	-0.011458759852284617
84683.5443	-0.017905970674234828	53544.3038	-0.02028521176863407
89620.25316	-0.017583658522656753	57341.77215	-0.02894043284661063
94936.70886	-0.0013536438354340152	64936.70886	-0.028573054055309965
97594.93671	-0.0049471425418687875	69493.67089	-0.025788537829757874
100632.9114	-0.023157888958817874	74810.12658	-0.019340487002329487
104810.1266	-0.004342516522307327	78987.34177	-0.01323372142285173
108987.3418	0.0035948142867103794	84303.79747	-0.006194069874742469
116202.5316	0.017056093196801903	90379.74684	0.009633420995265207
118481.0127	0.009695080264966682	97594.93671	0.02693184391785053
122278.481	0.012477393091916311	105569.6203	0.031709115077509176
127215.1899	0.00042829246197240156
131012.6582	0.0063637890348011705
134810.1266	0.027138632645531402
137088.6076	0.023589836515875207
141645.5696	0.01741870450442029
145822.7848	0.026441705468826182
150759.4937	0.021844780666839925
158354.4304	0.030158017390470304
