X	Solomon2009_Fig3_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4
759.4936709	0.00013143552559
2550.82470251	0.001480938183
4342.15573411	0.00428124883157
6133.48676572	0.00851206157297
7924.81779733	0.0141429563599
9716.14882894	0.0211339275684
11507.4798605	0.0294360670021
13298.8108921	0.0389923799836
15090.1419238	0.0497387098081
16881.4729554	0.0616047436203
18672.803987	0.074515071781
20464.1350186	0.0883902729602
22255.4660502	0.103147998445
24046.7970818	0.118704031312
25838.1281134	0.134973298997
27629.459145	0.151870821193
29420.7901766	0.169312578679
31212.1212082	0.187216292476
33003.4522398	0.205502106403
34794.7832714	0.224093169545
36586.114303	0.242916118257
38377.4453346	0.26190146
40168.7763663	0.280983863477
41960.1073979	0.300102361314
43751.4384295	0.319200472723
45542.7694611	0.338226254459
47334.1004927	0.35713228879
49125.4315243	0.375875617318
50916.7625559	0.394417629315
52708.0935875	0.412723912845
54499.4246191	0.430764076441
56290.7556507	0.448511548387
58082.0866823	0.465943360013
59873.4177139	0.483039918587
61664.7487455	0.499784774702
63456.0797771	0.516164388287
65247.4108088	0.532167896703
67038.7418404	0.547786887748
68830.072872	0.56301517981
70621.4039036	0.577848610895
72412.7349352	0.59228483782
74204.0659668	0.606323146432
75995.3969984	0.619964273436
77786.72803	0.633210240079
79578.0590616	0.64606419775
81369.3900932	0.658530285351
83160.7211248	0.67061349816
84952.0521564	0.682319567772
86743.383188	0.693654852651
88534.7142196	0.704626238743
90326.0452513	0.715241049587
92117.3762829	0.7255069653
93908.7073145	0.735431949854
95700.0383461	0.745024186033
97491.3693777	0.754292017473
99282.7004093	0.763243897232
101074.031441	0.771888342329
102865.362473	0.780233893726
104656.693504	0.788289081292
106448.024536	0.796062393245
108239.355567	0.803562249686
110030.686599	0.81079697979
111822.017631	0.817774802314
113613.348662	0.824503809061
115404.679694	0.830991951003
117196.010725	0.837247026768
118987.341757	0.843276673236
120778.672789	0.849088358011
122570.00382	0.854689373543
124361.334852	0.86008683272
126152.665883	0.865287665743
127943.996915	0.870298618128
129735.327947	0.875126249702
131526.658978	0.87977693445
133317.99001	0.884256861114
135109.321041	0.888572034426
136900.652073	0.892728276897
138691.983105	0.896731231075
140483.314136	0.900586362197
142274.645168	0.904298961173
144065.976199	0.907874147847
145857.307231	0.911316874482
147648.638263	0.914631929426
149439.969294	0.917823940914
151231.300326	0.920897380983
153022.631358	0.923856569458
154813.962389	0.926705677993
156605.293421	0.929448734134
158396.624452	0.932089625391
160187.955484	0.934632103303
161979.286516	0.937079787472
163770.617547	0.939436169566
165561.948579	0.941704617267
167353.27961	0.943888378172
169144.610642	0.945990583616
170935.941674	0.948014252436
172727.272705	0.94996229465
174518.603737	0.951837515061
176309.934768	0.953642616776
178101.2658	0.955380204642
