Sanchez2016_C.txt: C X	Sanchez2016_C.txt: C Y
8148.782863	0.0182448191526
11025.5112	-0.00519843181044
16302.70691	-0.00107747869297
20619.43525	-0.00116317467535
26854.76144	0.00858359393197
31650.08763	0.00827328480565
35964.94645	-0.00118456061535
39318.40312	-0.0379629714627
44594.19669	-0.025494959811
50829.0555	-0.0156032457742
57064.84907	0.00059144465638
62820.17527	0.00142068039282
72415.03408	0.0226513131523
79611.29503	0.0310235296743
88245.21908	0.0132427984065
93521.94742	0.00303680280864
102636.3389	-0.0211235765759
114154.4693	-0.00153386931491
121834.0019	0.0151316381917
129513.5346	0.0281919537173
138631.665	0.0244579577475
144386.5239	-0.0259625498849
147749.7955	0.0172473305665
153025.5891	-0.0247147433576
155908.3934	0.0115499855518
166465.1217	-0.0155468269859
173185.1217	-0.00979890164237
179425.1217	-0.00521854467347
193824.187	-0.00781008226183
202463.2522	-0.0149286171269
212063.2522	-0.0115310612691
219742.7848	-0.0147710582138
226943.7196	-0.00212035010465
237022.7848	-0.0110394111422
246142.7848	-0.00960466389499
