Sanchez2016_C.txt: C X	Sanchez2016_C.txt: C Y
8148.782863	-2.59136146836e-17
11025.5112	0.0381818181768
16302.70691	0.0709090909065
20619.43525	0.109090909083
26854.76144	0.163636363602
31650.08763	0.21818181812
35964.94645	0.278181818132
39318.40312	0.354545454486
44594.19669	0.403636363557
50829.0555	0.463636363429
57064.84907	0.512727272453
62820.17527	0.567272727392
72415.03408	0.62727272731
79611.29503	0.670909090888
88245.21908	0.741818181701
93521.94742	0.779999999831
102636.3389	0.845454545197
114154.4693	0.867272726986
121834.0019	0.872727272433
129513.5346	0.87818181788
138631.665	0.899999999669
144386.5239	0.959999999587
147749.7955	0.921818181457
153025.5891	0.970909090948
155908.3934	0.938181817799
166465.1217	0.976363636396
173185.1217	0.976363636396
179425.1217	0.976363636396
193824.187	0.98727272729
202463.2522	0.998181818184
212063.2522	0.998181818184
219742.7848	1.00363636363
226943.7196	0.992727272737
237022.7848	1.00363636363
246142.7848	1.00363636363
