Time /s	60.8 uM Q37
7701.716814	-1.029269685
38552.35848	10.29269685
54007.34864	26.41792192
72059.73345	52.83584384
102952.204	78.91067586
151778.3821	89.54646261
174898.124	91.60500198
236542.987	94.34972114
282774.6887	95.72208072
349548.1929	95.72208072
434301.1247	96.40826051
531895.1149	97.0944403
