Daval2010_Fig2.txt: 50 uM X	Daval2010_Fig2.txt: 50 uM Y
241.0041841	0.000553537489501
723.0125523	0.00942384572785
1687.029289	0.0309958040424
2410.041841	0.0573940668248
3374.058577	0.0995219944967
3856.066946	0.126753975915
4338.075314	0.151557607404
4820.083682	0.182410712694
5483.831809	0.21855044806
5483.831809	0.209587919893
5645.255437	0.210123182168
5725.96725	0.199209486421
5887.390878	0.199823787741
6048.814505	0.195993286471
6210.238132	0.192186841598
6290.949946	0.178338867652
6452.373573	0.174546374655
6613.7972	0.1692554307
6855.932641	0.168009089713
7017.356268	0.15817996935
7178.779896	0.152792653069
7420.915337	0.146859293797
7420.915337	0.130427991805
7501.62715	0.116471267124
7743.762591	0.107363647573
7743.762591	0.0894385912403
7905.186218	0.0822787820027
8066.609846	0.0720499784545
8066.609846	0.0466561482955
8389.4571	0.0468427636404
8470.168914	0.0281575893129
8470.168914	0.0087387775779
8631.592541	-0.00331398251742
8873.727982	-0.00889520435228
8954.439795	-0.0277399643447
9115.863423	-0.0416149219267
9277.28705	-0.0585942312189
9438.710677	-0.0831622427432
9680.846118	-0.0985856143694
9761.557932	-0.128187476469
9922.981559	-0.1501430165
10245.82881	-0.172036613148
10407.25244	-0.195877628065
10730.0997	-0.217072047057
11295.08239	-0.212886142798
12102.20053	-0.198889589564
12909.31866	-0.19269003384
13797.14861	-0.189549041374
14523.55494	-0.1837166536
15653.52033	-0.160048648601
16864.19753	-0.140714793431
17752.02748	-0.130745970444
18881.99287	-0.112294721638
20011.95826	-0.0972647037252
20819.0764	-0.0870895420628
21949.04179	-0.0783894378638
22675.44811	-0.0722212368947
23643.98988	-0.067319070583
24612.53164	-0.0637673573473
24935.37889	-0.0623564755616
25742.49703	-0.0556339183183
27033.88605	-0.0493023253804
28809.54595	-0.038914476956
30181.64678	-0.0324588575304
32199.44212	-0.0249309597331
34297.94927	-0.0160482987251
36073.60917	-0.0137278814552
37768.55726	-0.0108632997951
40512.75892	-0.00743692407339
43741.23147	-0.00476188581856
46485.43313	-0.00325990587065
49633.19386	-0.00211070852987
53749.49636	-0.007170562944
57058.68072	-0.000757020232468
