Kar2011_Q30_without_lowest_conc_rpim.zip
Dataset	mo	nc	kptimeskn	error
Kar2011_Fig1C_67uM.txt: 67 uM Q30	6.7e-05	2.17910275552	0.00185134776372	0.0198770260936
Kar2011_Fig1C_86uM.txt: 86 uM Q30	8.6e-05	2.17910275552	0.00185134776372	0.0198770260936
Kar2011_Fig1C_143uM.txt: 143 uM Q30	0.000143	2.17910275552	0.00185134776372	0.0198770260936
Kar2011_Fig1C_166uM.txt: 166 uM Q30	0.000166	2.17910275552	0.00185134776372	0.0198770260936
Kar2011_Fig1C_177uM.txt: 177 uM Q30	0.000177	2.17910275552	0.00185134776372	0.0198770260936

Kar2011_Q30_without_lowest_conc_sec.zip
Dataset	nc	mo	kptimesk2	n2	kptimeskn	error
Kar2011_Fig1C_67uM.txt: 67 uM Q30	2.96632071511	6.7e-05	0.00582517371535	1.03206524516	0.503456090131	0.00698058956539
Kar2011_Fig1C_86uM.txt: 86 uM Q30	2.96632071511	8.6e-05	0.00582517371535	1.03206524516	0.503456090131	0.00698058956539
Kar2011_Fig1C_143uM.txt: 143 uM Q30	2.96632071511	0.000143	0.00582517371535	1.03206524516	0.503456090131	0.00698058956539
Kar2011_Fig1C_166uM.txt: 166 uM Q30	2.96632071511	0.000166	0.00582517371535	1.03206524516	0.503456090131	0.00698058956539
Kar2011_Fig1C_177uM.txt: 177 uM Q30	2.96632071511	0.000177	0.00582517371535	1.03206524516	0.503456090131	0.00698058956539

Kar2011_Q37_prim.zip
Dataset	mo	nc	kptimeskn	error
Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	1.06e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	1.28e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	1.59e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	1.66e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_22uM.txt: 22 uM Q37	2.2e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	3.24e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	3.63e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	3.83e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	6.08e-05	1.9034411857	0.0181710667559	0.00861976972029
Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37	8.16e-05	1.9034411857	0.0181710667559	0.00861976972029

Kar2011_Q37_sec.zip
Dataset	nc	mo	kptimesk2	n2	kptimeskn	error
Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	2.2695854951	1.06e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	2.2695854951	1.28e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	2.2695854951	1.59e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	2.2695854951	1.66e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_22uM.txt: 22 uM Q37	2.2695854951	2.2e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	2.2695854951	3.24e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	2.2695854951	3.63e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	2.2695854951	3.83e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	2.2695854951	6.08e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37	2.2695854951	8.16e-05	0.00161329097636	0.49153027603	0.331265901643	0.00420522169327
