X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	Kar2011_Fig3B_22uM.txt: 22 uM Q37	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37
7701.716814	0.000365921492548	0.000523879590682	0.000791436676208	0.000859028126982	0.00146760708363	0.00306234160943	0.00379968922904	0.00420666918283	0.0100894408123	0.0175557330597
17095.3813866	0.00180078004061	0.00257682159509	0.00388952736973	0.00422079305335	0.00719699293016	0.0149412378164	0.0184953841826	0.0204499782841	0.0481489819998	0.0818708620893
26489.0459592	0.00431460567063	0.00616850240302	0.0092969721324	0.0100849716295	0.0171379904316	0.0352683369087	0.0434832741416	0.0479730727897	0.109534779317	0.179594339327
35882.7105318	0.00789408336929	0.0112717775782	0.0169523833804	0.0183794096622	0.0310843105519	0.0631924569804	0.0774847969614	0.0852298818182	0.186898469931	0.293075707154
45276.3751043	0.0125203873538	0.0178484669666	0.0267701694565	0.0290037256829	0.0487545822047	0.0976103168811	0.11888069477	0.130287067187	0.272542595803	0.407374686883
54670.0396769	0.0181694181302	0.0258500361633	0.0386428038779	0.0418321872994	0.0698056079994	0.13726463099	0.165881531424	0.181043694407	0.359845842326	0.512894835342
64063.7042495	0.0248121017315	0.0352184455216	0.052443590366	0.0567171963399	0.0938476318666	0.180842844135	0.216688680587	0.235431295419	0.443944203274	0.605041751894
73457.3688221	0.0324147443503	0.0458871397526	0.0680297960169	0.0734932098519	0.120460434975	0.227064178315	0.269624074028	0.29156687215	0.521777796648	0.682675577103
82851.0333947	0.0409394345171	0.0577821477785	0.085246015623	0.0919809136267	0.149209142982	0.274747137219	0.323218269772	0.347848258946	0.591780904939	0.746586086217
92244.6979673	0.0503444841809	0.0708232605564	0.103927629904	0.111991467456	0.179658802997	0.322854461015	0.376256674149	0.402995319272	0.653461344203	0.798421313808
101638.36254	0.0605848995438	0.0849252540918	0.123904228384	0.13333065526	0.211387032355	0.370516535641	0.427790666936	0.456048765727	0.70701330535	0.84006259358
111032.027112	0.0716128722864	0.0999991257237	0.145002882383	0.155802796101	0.243994310323	0.41703684701	0.477123477556	0.506341052107	0.753019175125	0.873310259036
120425.691685	0.0833782818901	0.115953313829	0.167051173161	0.179214300942	0.277111740756	0.461884206234	0.523780750698	0.553452533326	0.792244333606	0.899752282103
