m0:10uM_M0:0_L0:10000 X	m0:10uM_M0:0_L0:10000 Y	m0:12.8uM_M0:0_L0:10000 X	m0:12.8uM_M0:0_L0:10000 Y	m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:20uM_M0:0_L0:10000 X	m0:20uM_M0:0_L0:10000 Y	m0:10uM_M0:0.5uM_L0:10000 X	m0:10uM_M0:0.5uM_L0:10000 Y	m0:10uM_M0:2uM_L0:10000 X	m0:10uM_M0:2uM_L0:10000 Y
31515.15152	0.475285171	26424.24242	0.541353383	25696.9697	0.755555556	16727.27274	0.621722842	24766.91729	0.578535632	18730.82707	0.634160976
32484.84848	0.490494297	26424.24242	0.545112782	26909.09091	0.781481482	16727.27274	0.629213485	24770.97744	0.594956322	19495.48872	0.654485365
33696.9697	0.520912548	26909.09091	0.556390977	27151.51515	0.796296296	17212.12121	0.651685394	25913.23308	0.616850574	19879.84962	0.670744878
34181.81818	0.539923955	27393.93939	0.563909775	27878.78788	0.822222222	17212.12121	0.677902624	26298.94737	0.644218391	20262.85714	0.682939512
35151.51515	0.562737643	27636.36364	0.571428572	29575.75758	0.84074074	17939.39393	0.689138579	26681.95489	0.660639081	20644.51128	0.691069269
35393.93939	0.585551331	28121.21212	0.578947368	30060.60606	0.851851852	18909.0909	0.707865166	27446.61654	0.688006897	21031.57895	0.715458537
36121.21212	0.608365019	28121.21212	0.590225564	31757.57576	0.874074074	19393.9394	0.737827718	27450.67669	0.704427586	22173.83459	0.731718048
37333.33333	0.631178707	28363.63636	0.593984962	33212.12121	0.903703704	20121.21212	0.760299627	28212.63158	0.720848276	22939.84962	0.756107317
38060.60606	0.650190115	28848.48485	0.605263158	34181.81818	0.911111111	20363.63638	0.779026214	28596.99248	0.742742528	24082.10526	0.772366829
39030.30303	0.669201521	28848.48485	0.620300752	35636.36364	0.933333334	21090.9091	0.805243444	28980	0.759163218	24469.17293	0.796756097
39272.72727	0.680608365	29333.33333	0.627819549	37090.90909	0.944444444	21818.18182	0.827715353	29363.00752	0.775583909	25612.78195	0.817080487
40484.84848	0.69581749	29575.75758	0.635338346	38545.45455	0.962962963	22545.45454	0.850187262	30885.56391	0.802951725	26376.09023	0.83334
41454.54545	0.718631179	30060.60606	0.646616542	39757.57576	0.962962963	23030.30304	0.87265918	31269.92481	0.824845977	27140.75188	0.85366439
41696.9697	0.722433461	30545.45455	0.657894737	41939.39394	0.977777778	24242.42423	0.891385768	32031.8797	0.841266667	27905.41353	0.87398878
42424.24242	0.737642585	30787.87879	0.665413534	43878.78788	0.981481481	24727.27273	0.902621722	33175.48872	0.868634482	29047.66917	0.890248293
43151.51515	0.752851711	31030.30303	0.672932331	45818.18182	0.985185185	26181.81817	0.917602998	33179.54887	0.885055172	30192.63158	0.914637561
44363.63636	0.775665399	31515.15152	0.680451128	47757.57576	0.988888889	27151.51514	0.928838952	33562.55639	0.901475862	31334.88722	0.930897073
44848.48485	0.790874525	32000	0.691729323	49939.39394	0.988888889	28363.63637	0.932584274	34703.45865	0.917896553	32095.48872	0.939026829
45333.33333	0.80228137	32242.42424	0.695488722	51636.36364	0.992592592	29333.33334	0.947565539	35466.76692	0.939790805	33618.04511	0.959351219
46060.60606	0.809885931	32484.84848	0.710526316	54060.60606	0.992592592	30545.45453	0.951310861	36609.02256	0.961685057	34380	0.971545854
46545.45455	0.817490494	32969.69697	0.721804512	55757.57576	0.996296296	31515.1515	0.962546815	38128.87218	0.978105748	35899.84962	0.983740488
46787.87879	0.825095057	33454.54545	0.729323308	57454.54545	0.992592592	32484.84847	0.966292137	39271.12782	1	36661.80451	0.995935121
48242.42424	0.836501902	33696.9697	0.736842105	59636.36364	0.996296296	34424.24242	0.970037448			37421.05263	1
49212.12121	0.85931559	33939.39394	0.744360902	61333.33333	0.996296296	35636.36364	0.97378277				
50181.81818	0.870722434	34424.24242	0.7518797	62787.87879	1.003703704	37333.33344	0.981273413				
51151.51515	0.885931559	34666.66667	0.763157895	64969.69697	1.003703704	38060.60616	0.992509367				
52848.48485	0.901140685	34666.66667	0.770676692	66666.66667	1	40242.42432	0.992509367				
54787.87879	0.912547529	34909.09091	0.781954887	68606.06061	1	41454.5454	0.996254678				
55515.15152	0.916349811	35393.93939	0.789473685	71030.30303	1	43393.93956	0.996254678				
56484.84848	0.935361217	35636.36364	0.793233083			45818.18172	0.996254678				
57696.9697	0.950570343	36121.21212	0.80075188			47272.72716	1				
59393.93939	0.958174906	36606.06061	0.812030075			48727.2726	1.003745322				
61333.33333	0.969581749	36848.48485	0.815789474			50424.2424	1.003745322				
62787.87879	0.973384031	37333.33333	0.82706767			52606.06056	1.003745322				
64484.84848	0.984790875	37575.75758	0.830827068			53575.75764	1.003745322				
66181.81818	0.992395438	38787.87879	0.857142857			55757.5758	1.003745322				
67393.93939	0.992395438	39757.57576	0.87593985			56484.84852	1.003745322				
