X	Pilkington2017_Fig1A.txt: 50 uM
338.4716733	0.000181131009585
841.525931246	0.00111877723034
1344.58018919	0.00285202714803
1847.63444714	0.00537398342391
2350.68870509	0.00867466139147
2853.74296303	0.0127410849383
3356.79722098	0.0175574098349
3859.85147893	0.0231050723513
4362.90573687	0.0293629606024
4865.95999482	0.0363076057391
5369.01425276	0.0439133898464
5872.06851071	0.0521527672419
6375.12276866	0.060996495776
6878.1770266	0.0704138747257
7381.23128455	0.0803729859375
7884.2855425	0.090840935008
8387.33980044	0.101784089484
8890.39405839	0.113168311305
9393.44831634	0.124959181005
9896.50257428	0.137122211479
10399.5568322	0.149623049487
10902.6110902	0.162427663373
11405.6653481	0.175502515846
11908.7196061	0.188814720971
12411.773864	0.202332184866
12914.828122	0.216023729858
13417.8823799	0.22985920215
13920.9366379	0.243809563253
14423.9908958	0.257846965682
14927.0451537	0.27194481355
15430.0994117	0.28607780886
15933.1536696	0.300221984391
16436.2079276	0.314354724168
16939.2621855	0.328454772549
17442.3164435	0.342502232994
17945.3707014	0.356478557602
18448.4249594	0.370366528467
18951.4792173	0.384150231902
19454.5334753	0.397815026534
19957.5877332	0.411347506214
20460.6419912	0.424735458646
20963.6962491	0.437967820558
21466.7505071	0.451034630198
21969.804765	0.46392697784
22472.8590229	0.476636954937
22975.9132809	0.489157602497
23478.9675388	0.501482859162
23982.0217968	0.513607509452
24485.0760547	0.525527132533
24988.1303127	0.537238051843
25491.1845706	0.548737285853
25994.2388286	0.560022500174
26497.2930865	0.571091961211
27000.3473445	0.581944491493
27503.4016024	0.592579426796
28006.4558604	0.60299657514
28509.5101183	0.613196177701
29012.5643762	0.623178871677
29515.6186342	0.632945655113
30018.6728921	0.642497853667
30521.7271501	0.651837089303
31024.781408	0.66096525087
31527.835666	0.669884466517
32030.8899239	0.678597077891
32533.9441819	0.687105616063
33036.9984398	0.695412779101
33540.0526978	0.703521411237
34043.1069557	0.711434483544
34546.1612137	0.719155076056
35049.2154716	0.726686361254
35552.2697296	0.734031588848
36055.3239875	0.741194071778
36558.3782454	0.748177173369
37061.4325034	0.754984295565
37564.4867613	0.761618868174
38067.5410193	0.768084339072
38570.5952772	0.774384165282
39073.6495352	0.780521804884
39576.7037931	0.786500709704
40079.7580511	0.792324318701
40582.812309	0.797996052036
41085.866567	0.803519305747
41588.9208249	0.808897446994
42091.9750829	0.814133809833
42595.0293408	0.819231691478
43098.0835987	0.824194349
43601.1378567	0.829024996455
44104.1921146	0.83372680237
44607.2463726	0.838302887595
45110.3006305	0.842756323457
45613.3548885	0.847090130217
46116.4091464	0.851307275785
46619.4634044	0.855410674678
47122.5176623	0.859403187202
47625.5719203	0.863287618832
48128.6261782	0.86706671977
48631.6804362	0.870743184674
49134.7346941	0.87431965253
49637.7889521	0.877798706663
50140.84321	0.881182874858
