Srinivasan2013_Fig3_1-1.txt: 0.3 mg/mL X	Srinivasan2013_Fig3_1-1.txt: 0.3 mg/mL Y
34652.40642	0.0
46203.20856	-0.00813008131494
61604.27807	0.00813008128821
67379.67914	0.0162601626031
77005.34759	0.0162601626031
103957.2193	0.0243902438914
125133.6898	0.0569105690977
167486.631	0.0
211764.7059	0.0325203252063
248342.246	0.097560975512
267593.5829	0.121951219457
282994.6524	0.170731707346
296470.5882	0.195121951291
309946.5241	0.219512195236
375401.0695	0.504065040724
427379.6791	0.699186992016
502459.893	0.869918699362
537112.2995	0.934959349614
610267.3797	1.06504065039
