Srinivasan2013_Fig3_1-1.txt: 0.3 mg/mL X	Srinivasan2013_Fig3_1-1.txt: 0.3 mg/mL Y
34652.40642	0.000246499440151
46203.20856	0.00858421689112
61604.27807	-0.00727037713709
67379.67914	-0.015202577769
77005.34759	-0.0148055660342
103957.2193	-0.0212259678059
125133.6898	-0.0514786891888
167486.631	0.0146006586514
211764.7059	0.00560405383019
248342.246	-0.0174529845028
267593.5829	-0.00642774708604
282994.6524	-0.018415558838
296470.5882	-0.00388916599485
309946.5241	0.0169056150011
375401.0695	0.008047205152
427379.6791	0.0124307056743
502459.893	0.0109371005903
537112.2995	-0.0127440965031
610267.3797	-0.0963217703817
