X	Srinivasan2013_Fig3_1-1.txt: 0.3 mg/mL
25412.0	0.000129772276901
32505.8181818	0.000215710918764
39599.6363636	0.000326464649679
46693.4545455	0.000464628876836
53787.2727273	0.000633439263221
60881.0909091	0.00083684512698
67974.9090909	0.00107959860314
75068.7272727	0.0013673612721
82162.5454545	0.00170683023086
89256.3636364	0.00210588585195
96350.1818182	0.00257376373141
103444.0	0.0031212535549
110537.818182	0.00376092778735
117631.636364	0.00450740318271
124725.454545	0.00537763807066
131819.272727	0.00639126814351
138913.090909	0.00757098295519
146006.909091	0.00894294444585
153100.727273	0.0105372473795
160194.545455	0.012388419454
167288.363636	0.0145359557997
174382.181818	0.0170248783762
181476.0	0.0199063051374
188569.818182	0.023238006473
195663.636364	0.027084917117
202757.454545	0.0315195602812
209851.272727	0.0366223272803
216945.090909	0.0424815407457
224038.909091	0.0491932135879
231132.727273	0.0568604007952
238226.545455	0.065592029543
245320.363636	0.0755010886312
252414.181818	0.086702065754
259508.0	0.0993075461157
266601.818182	0.113423933983
273695.636364	0.129146334044
280789.454545	0.146552732633
287883.272727	0.165697744917
294977.090909	0.186606330117
302070.909091	0.209268001363
309164.727273	0.233632141509
316258.545455	0.259605051071
323352.363636	0.287049275488
330446.181818	0.315785577735
337540.0	0.345597653091
344633.818182	0.376239364307
351727.636364	0.407443963583
358821.454545	0.438934523244
365915.272727	0.470434667445
373009.090909	0.501678704676
380102.909091	0.532420395659
387196.727273	0.562439817497
394290.545455	0.591548052184
401384.363636	0.619589685482
408478.181818	0.646443312167
415572.0	0.672020385032
422665.818182	0.696262814516
429759.636364	0.719139733323
436853.454545	0.740643802818
443947.272727	0.760787373876
451041.090909	0.779598740252
458134.909091	0.797118649491
465228.727273	0.813397172252
472322.545455	0.828490979173
479416.363636	0.842461035823
486510.181818	0.855370699621
493604.0	0.867284186017
500697.818182	0.878265362351
507791.636364	0.888376824567
514885.454545	0.897679212517
521979.272727	0.906230722508
529073.090909	0.914086779939
536166.909091	0.921299839637
543260.727273	0.927919286279
550354.545455	0.933991411795
557448.363636	0.939559450755
564542.181818	0.944663658331
571636.0	0.949341418472
578729.818182	0.953627372555
585823.636364	0.957553560884
592917.454545	0.961149571169
600011.272727	0.964442689546
607105.090909	0.967458050796
614198.909091	0.970218785376
621292.727273	0.972746161515
628386.545455	0.975059721232
635480.363636	0.977177409532
642574.181818	0.979115696352
649668.0	0.980889691095
656761.818182	0.982513249747
663855.636364	0.983999074724
670949.454545	0.985358807663
678043.272727	0.986603115465
685137.090909	0.987741769911
692230.909091	0.988783721206
699324.727273	0.989737165831
706418.545455	0.990609609044
713512.363636	0.991407922422
720606.181818	0.992138396767
727700.0	0.992806790725
