Yang2017_5uM.txt: 5uM X	Yang2017_5uM.txt: 5uM Y
318.2711198	4.40136959591e-18
1096.267191	4.40136959591e-18
2015.717092	4.40136959591e-18
3005.89391	4.40136959591e-18
4278.978389	0.0113268608426
5198.428291	0.0396440129441
6117.878193	0.0849514563244
6825.147348	0.147249190894
7532.416503	0.181229773432
8168.958743	0.249190938507
8876.227898	0.294498381858
9442.043222	0.362459546933
10290.76621	0.419093851097
11068.76228	0.487055016172
11988.21218	0.56634304206
13049.11591	0.634304207136
13756.38507	0.707928802618
14958.74263	0.787216828506
16019.64637	0.855177993482
17222.00393	0.866504854394
19060.90373	0.894822006426
19980.35363	0.900485436833
21324.16503	0.917475728151
22880.15717	0.93446601937
24082.51473	0.951456310689
25497.05305	0.962783171502
26911.59136	0.985436893326
28467.5835	0.991100324029
30660.11788	1.00242718445
32003.92927	1.01375404486
33559.92141	1.02508090627
35115.91356	1.01941747557
