data1.txt: WT X	data1.txt: WT Y
0.788101249	0.000178376661008
2.266974488	0.00147576742606
4.168382939	0.00503411369754
6.281058995	0.0116731932531
9.45007308	0.0278041691135
10.93193596	0.0270014193033
13.04710337	0.0365678281167
14.31919346	0.0335072607934
15.80255116	0.0354365908087
17.2849123	0.0442340041865
18.13546373	0.0375325775224
18.98551687	0.033818610748
19.20027239	0.0245877287413
20.47585039	0.0196472564884
21.1151342	0.0124666793571
21.96817699	0.00133810222292
23.03149083	0.000191108951653
24.09380813	0.0043331117877
25.16011161	-0.00518533587742
25.80238507	-0.0197045446654
26.86569891	-0.0161391009609
27.71824342	-0.0198198098904
28.35952033	-0.0293551630841
28.9978076	-0.0274537703977
29.85085039	-0.0322734124422
30.70190008	-0.0295263596027
31.55394632	-0.0306166223061
32.83052086	-0.0270494747287
33.89632607	-0.0322408404414
35.593941	-0.0133593895829
37.50083045	0.0156775522572
38.56813048	0.000209289498519
39.62695987	0.0154002289968
40.68927717	0.0160675839979
41.53733723	0.0223938138665
43.44771459	0.0249802893631
44.08550359	0.0211152357402
45.14383471	0.0312334846604
47.05471034	0.024106088031
47.90426521	0.0186797291581
49.17685357	0.0158399067843
50.66070954	0.013829176162
51.50976614	0.00753709433543
53.62842147	0.0045190634442
55.95585304	0.00942035670335
58.07301355	0.0061889740605
60.82497343	9.47120326634e-05
63.57743157	-0.0108745775296
65.90536141	-0.0179738063352
66.11164629	0.00159725881758
69.49392107	0.00309946758018
70.34347595	-0.0120337562283
73.29972761	-0.000690891364821
75.20512224	-0.012861974877
77.74133006	-0.0133605316124
82.18044114	-0.0185158166801
82.38871911	-0.00699216900861
84.92393037	-0.00519488650178
86.61407122	-0.00419275416792
88.93901143	-0.00681358831802
92.7423266	-0.00722956407553
