data1.txt: WT X	data1.txt: WT Y
0.788101249	0.0
2.266974488	0.0
4.168382939	0.0
6.281058995	0.0
9.45007308	0.0
10.93193596	0.011358258681
13.04710337	0.0208234737468
14.31919346	0.0378608612667
15.80255116	0.0548982487865
17.2849123	0.0681495500794
18.13546373	0.0889730238262
18.98551687	0.107903454961
19.20027239	0.121154756254
20.47585039	0.151443445067
21.1151342	0.172266918814
21.96817699	0.202555607626
23.03149083	0.229058211215
24.09380813	0.251774727574
25.16011161	0.289635588841
25.80238507	0.321817321269
26.86569891	0.348319923854
27.71824342	0.376715570055
28.35952033	0.405111216256
28.9978076	0.422148603776
29.85085039	0.452437292588
30.70190008	0.47515380995
31.55394632	0.501656412536
32.83052086	0.535731187576
33.89632607	0.571699006231
35.593941	0.600094652432
37.50083045	0.620918126178
38.56813048	0.662565072669
39.62695987	0.672030288738
40.68927717	0.694746805097
41.53733723	0.706105063778
43.44771459	0.740179838817
44.08550359	0.755324183725
45.14383471	0.762896355176
47.05471034	0.798864173831
47.90426521	0.815901561351
49.17685357	0.834831992486
50.66070954	0.853762422617
51.50976614	0.868906767525
53.62842147	0.891623283884
55.95585304	0.904874585177
58.07301355	0.9219119737
60.82497343	0.942735447447
63.57743157	0.965451963806
65.90536141	0.980596308714
66.11164629	0.961665877579
69.49392107	0.969238050033
70.34347595	0.986275437553
73.29972761	0.980596308714
75.20512224	0.995740652618
77.74133006	0.999526738845
82.18044114	1.00899195391
82.38871911	0.997633696234
84.92393037	0.997633696234
86.61407122	0.997633696234
88.93901143	1.00141978246
92.7423266	1.00331282507
