CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
1.0	0.015179404096	1.0	-0.00276518935813	1.0	-0.004393523151	1.0	-0.00905623444146	1.0	-0.0231231747378	1.0	0.0117444309829
1.0	0.0131105489581	1.0	-0.00330346227353	1.0	-0.0077730948793	1.0	-0.0138378666809	1.0	-0.0222052101123	1.0	0.0113274526503
1.25	0.0409936352349	1.25	0.0135754348335	1.25	0.00700161255655	1.25	0.00114136286853	1.25	-0.0102861448581	1.25	0.0285764758209
1.25	0.0391163206016	1.25	0.0100055566639	1.25	0.00681392469185	1.25	-0.00281926856517	1.25	-0.0140058740138	1.25	0.0260241982639
1.25	0.0394298161786	1.25	0.00958333899353	1.25	0.00696999558865	1.25	-0.00166524487977	1.25	-0.0153923889883	1.25	0.0190938950779
1.25	0.0354400733795	1.25	0.00364799613133	1.25	0.00474694443125	1.25	-0.000190139487675	1.25	-0.0172292840096	1.25	0.0153380596776
1.25	0.0353179878505	1.25	0.00661848791283	1.25	0.00440474518865	1.25	-0.00580847449297	1.25	-0.0187982156936	1.25	0.0110172918426
1.25	0.0272525844793	1.25	0.000175584599533	1.25	-0.00190104100515	1.25	-0.0106246085901	1.25	-0.0236113074865	1.25	0.00772918036639
1.25	0.0237327557241	1.25	-0.000275147318767	1.25	-0.00528359390575	1.25	-0.0117304372979	1.25	-0.022187388691	1.25	0.00584013844149
1.5	0.0569663947424	1.5	0.0193307150691	1.5	0.013290251517	1.5	0.00262169229193	1.5	-0.00497997368746	1.5	0.0295484738621
1.5	0.0548731443315	1.5	0.0191275908139	1.5	0.0157065296035	1.5	0.00306558687513	1.5	-0.0110129475494	1.5	0.025445550584
1.5	0.0529846116603	1.5	0.0123015046066	1.5	0.0131141779649	1.5	0.00318546809713	1.5	-0.0125915655805	1.5	0.0217367460423
1.5	0.0492843641709	1.5	0.0166890699221	1.5	0.0108697956283	1.5	0.00513186360043	1.5	-0.0145115079476	1.5	0.0195494321905
1.5	0.0505924009975	1.5	0.015417901123	1.5	0.013110835599	1.5	-0.00433370716347	1.5	-0.017448918174	1.5	0.0126412905096
1.5	0.0411143478387	1.5	0.00803051820197	1.5	0.00445823544372	1.5	-0.00951539652387	1.5	-0.0160531888287	1.5	0.00502221527163
1.5	0.0327680995938	1.5	0.00679944945937	1.5	0.000234700997524	1.5	-0.00861646207977	1.5	-0.023385506242	1.5	0.00165189731553
1.75	0.0713342087858	1.75	0.0235422357971	1.75	0.0176853450125	1.75	0.00986978116144	1.75	0.00241957536309	1.75	0.0311270016357
1.75	0.070331966057	1.75	0.0243834275341	1.75	0.0198844164094	1.75	0.00509274783484	1.75	-0.00570525008281	1.75	0.0269457828467
1.75	0.066967984109	1.75	0.0185507379901	1.75	0.0147981329475	1.75	0.0112473659464	1.75	-0.00674424093711	1.75	0.0274252958175
1.75	0.0629787466385	1.75	0.0220161642301	1.75	0.0166331136903	1.75	0.00525803110464	1.75	-0.012476971598	1.75	0.0229663701558
1.75	0.0633696726665	1.75	0.0211134443071	1.75	0.0118368324185	1.75	-0.00718312093936	1.75	-0.0123008119509	1.75	0.0108417149033
1.75	0.0541539378155	1.75	0.0157252311851	1.75	0.0121808863255	1.75	-0.00135990991546	1.75	-0.0171566193393	1.75	0.00570974714155
1.75	0.0417345827565	1.75	0.0132182696811	1.75	0.00532026636253	1.75	-0.00596843456636	1.75	-0.0254415679379	1.75	-0.00110386681795
2.0	0.0872499478616	2.0	0.02869444006	2.0	0.0242343117236	2.0	0.020229206564	2.0	0.00953148115315	2.0	0.0393420200723
2.0	0.0858973621076	2.0	0.024578917952	2.0	0.0245800359546	2.0	0.0152407358877	2.0	-0.000881745371453	2.0	0.0331788680709
2.0	0.0819702127356	2.0	0.029854233542	2.0	0.0170505137396	2.0	0.0099986414987	2.0	-0.00418181933215	2.0	0.0305042290345
2.0	0.0792866866756	2.0	0.02731870127	2.0	0.0185907333796	2.0	0.0119609802277	2.0	-0.00706588673805	2.0	0.0272358675334
2.0	0.0698743264276	2.0	0.026798879184	2.0	0.0190366250736	2.0	-0.000842084026305	2.0	-0.00691980615565	2.0	0.0140531894606
2.0	0.0771135453706	2.0	0.024547339789	2.0	0.0136023452706	2.0	0.0022459382447	2.0	-0.0138967085327	2.0	0.00748098470207
2.0	0.0510198653866	2.0	0.012498399161	2.0	0.0180645298246	2.0	-0.0072190639883	2.0	-0.0187638222222	2.0	0.00613352248197
2.25	0.0981599590711	2.25	0.0308646830993	2.25	0.026991747508	2.25	0.0152684591229	2.25	0.0170535782781	2.25	0.0409132812427
2.25	0.0949823544291	2.25	0.0303086675383	2.25	0.031037144004	2.25	0.0242672122839	2.25	0.0043787794632	2.25	0.035660869952
2.25	0.0912915792411	2.25	0.0310752031553	2.25	0.029147799108	2.25	0.0149832503689	2.25	0.0022218000082	2.25	0.036164144912
2.25	0.0821475532261	2.25	0.0293091566183	2.25	0.020981221854	2.25	0.0170411380239	2.25	-0.0067372117598	2.25	0.0352244170625
2.25	0.0889645492271	2.25	0.0269575979033	2.25	0.022258818826	2.25	0.00207268600491	2.25	-0.0046372590578	2.25	0.0195864127122
2.25	0.0889245796101	2.25	0.0271037992733	2.25	0.017632314693	2.25	0.00315080245591	2.25	-0.0130453448968	2.25	0.0136737852374
