X	CsgA-lowconc.txt: 7 uM	CsgA-lowconc.txt: 6 uM	CsgA-lowconc.txt: 5 uM	CsgA-lowconc.txt: 4 uM	CsgA-lowconc.txt: 3 uM	CsgA-lowconc.txt: 2 uM
0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.224747474747	0.00304688676896	0.00255010222336	0.00206586231795	0.00159635994508	0.00114479912804	0.00071638098022
0.449494949495	0.0121107497962	0.0101465694654	0.00822808771335	0.00636430861492	0.00456832121799	0.00286126229909
0.674242424242	0.0269653885578	0.0226303477982	0.0183819053873	0.0142410604063	0.0102381651704	0.00642191431062
0.89898989899	0.0472473779229	0.0397443665991	0.032356992283	0.0251239685863	0.0181010703475	0.0113773037563
1.12373737374	0.0724751050678	0.0611449076682	0.0499236275879	0.0388734152298	0.0280840005274	0.0176983636731
1.34848484848	0.102072961015	0.0864162835658	0.0708007621285	0.0553166573241	0.0400956073352	0.0253483627806
1.57323232323	0.135398638448	0.115087762101	0.0946655191471	0.0742524473149	0.0540280225961	0.0342833662142
1.79797979798	0.171771400294	0.146651588077	0.121163585693	0.0954562181185	0.069758919367	0.0444527776297
2.02272727273	0.210499337396	0.180580981743	0.149919942232	0.118685608676	0.0871537747826	0.0557999511964
2.24747474747	0.250903976253	0.216347119706	0.180549408833	0.143686106427	0.106068264479	0.0682628608477
2.47222222222	0.292341056634	0.253434301602	0.212666551959	0.170196596342	0.126350718197	0.0817748134145
2.69696969697	0.334216796859	0.291352742724	0.245894586235	0.197954630177	0.147844569004	0.0962651919126
2.92171717172	0.375999434809	0.329648678059	0.279873009248	0.226701261433	0.170390733973	0.111660215291
3.14646464646	0.417226226635	0.367911690556	0.314263813643	0.256185328085	0.193829871652	0.127883701355
3.37121212121	0.457506376396	0.405779367305	0.348756220328	0.286167103345	0.218004470637	0.144857820293
3.59595959596	0.496520551891	0.442939531462	0.383069962608	0.316421271767	0.242760733404	0.162503827268
3.82070707071	0.534017723987	0.479130392436	0.416957219544	0.34673922185	0.267950229724	0.180742763728
4.04545454545	0.569810067418	0.514139005499	0.450203345991	0.376930675186	0.29343130392	0.199496118524
4.2702020202	0.603766603064	0.54779844177	0.482626577152	0.406824695376	0.319070229487	0.218686441423
4.49494949495	0.63580616755	0.579984049637	0.514076899093	0.436270136992	0.344742112939	0.238237903144
4.7196969697	0.665890184873	0.610609148722	0.544434276354	0.465135606021	0.370331555754	0.258076797627
4.94444444444	0.69401560155	0.639620445928	0.573606416967	0.493309008984	0.395733089095	0.278131983755
5.16919191919	0.720208241637	0.666993407214	0.601526237093	0.52069676908	0.42085140029	0.298335265151
5.39393939394	0.744516746804	0.692727763768	0.628149165162	0.547222785225	0.44560137313	0.318621708007
5.61868686869	0.767007192145	0.716843280849	0.653450401237	0.572827204558	0.469907965805	0.338929898049
5.84343434343	0.787758410712	0.739375873789	0.677422223393	0.597465071863	0.493705951029	0.359202138736
6.06818181818	0.806858017567	0.760374119481	0.700071410382	0.621104911129	0.51693954271	0.379384593661
6.29292929293	0.824399095308	0.77989618303	0.72141682982	0.643727285798	0.539561932539	0.399427376764
6.51767676768	0.84047748506	0.798007157713	0.741487223879	0.665323375689	0.56153475841	0.419284594481
