X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM
0.0	0.0
72.9956390505	0.0011030095558
145.991278101	0.00427877896782
218.986917152	0.00933758946203
291.982556202	0.0161025937802
364.978195253	0.0244090067156
437.973834303	0.0341033518403
510.969473354	0.0450427590156
583.965112404	0.0570943080861
656.960751455	0.0701344148062
729.956390505	0.0840482555583
802.952029556	0.0987292278483
875.947668606	0.114078443903
948.943307657	0.130004254985
1021.93894671	0.14642180429
1094.93458576	0.16325260647
1167.93022481	0.180424152055
1240.92586386	0.197869535133
1313.92150291	0.215527102844
1386.91714196	0.233340125311
1459.91278101	0.251256484774
1532.90842006	0.269228382769
1605.90405911	0.28721206426
1678.89969816	0.305167557749
1751.89533721	0.323058430423
1824.89097626	0.340851557464
1897.88661531	0.358516904721
1970.88225436	0.376027323974
2043.87789341	0.393358360085
2116.87353246	0.410488069365
2189.86917152	0.42739684852
2262.86481057	0.444067273604
2335.86044962	0.460483948404
2408.85608867	0.476633361746
2481.85172772	0.492503753222
2554.84736677	0.50808498688
2627.84300582	0.523368432429
2700.83864487	0.538346853554
2773.83428392	0.553014302945
2846.82992297	0.567366023672
2919.82556202	0.581398356557
2992.82120107	0.595108653211
3065.81684012	0.60849519443
3138.81247917	0.621557113652
3211.80811822	0.634294325186
3284.80375727	0.646707456969
3357.79939632	0.658797787582
3430.79503537	0.670567187298
3503.79067442	0.682018062938
3576.78631347	0.693153306317
3649.78195253	0.703976246085
3722.77759158	0.714490602763
3795.77323063	0.724700446816
3868.76886968	0.734610159553
3941.76450873	0.744224396741
4014.76014778	0.753548054731
4087.75578683	0.76258623899
4160.75142588	0.771344234873
4233.74706493	0.779827480525
4306.74270398	0.788041541774
4379.73834303	0.795992088905
4452.73398208	0.803684875203
4525.72962113	0.811125717165
4598.72526018	0.818320476262
4671.72089923	0.825275042188
4744.71653828	0.831995317474
4817.71217733	0.838487203402
4890.70781638	0.844756587142
4963.70345543	0.85080933001
5036.69909448	0.856651256813
5109.69473354	0.862288146178
5182.69037259	0.867725721821
5255.68601164	0.872969644696
5328.68165069	0.878025505944
5401.67728974	0.882898820624
5474.67292879	0.887595022136
5547.66856784	0.892119457319
5620.66420689	0.896477382158
5693.65984594	0.900673958065
5766.65548499	0.904714248693
5839.65112404	0.908603217241
5912.64676309	0.912345724219
5985.64240214	0.915946525631
6058.63804119	0.919410271551
6131.63368024	0.922741505061
6204.62931929	0.925944661518
6277.62495834	0.92902406812
6350.62059739	0.931983943764
6423.61623644	0.934828399147
6496.61187549	0.937561437108
6569.60751455	0.940186953177
6642.6031536	0.942708736322
6715.59879265	0.945130469865
6788.5944317	0.947455732558
6861.59007075	0.949687999803
6934.5857098	0.951830644991
7007.58134885	0.953886940961
7080.5769879	0.955860061552
7153.57262695	0.957753083245
7226.568266	0.959568986881
