Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 3uM Y
0.0	4.37606112824e-17
106.2730627	9.05739690517e-05
398.5239852	0.00033965238154
637.6383764	0.00667983009018
743.9114391	0.0497251080096
850.1845018	0.0743612270917
983.0258303	0.105156375925
1062.730627	0.142042624055
1195.571956	0.178974159212
1275.276753	0.215860407342
1381.549815	0.240496526424
1487.822878	0.271269031859
1594.095941	0.302041537198
1700.369004	0.332814042536
1806.642066	0.375859320485
1912.915129	0.41276821208
2045.756458	0.443563360981
2178.597786	0.468222123529
2338.00738	0.480630757029
2470.848708	0.505289519673
2603.690037	0.554493827344
2736.531365	0.628243680137
2869.372694	0.646766056429
3081.918819	0.677629135727
3214.760148	0.616378490394
3294.464945	0.555082558129
3453.874539	0.585900350495
3666.420664	0.586081498414
3825.830258	0.63530844955
4011.808118	0.647739726613
4091.512915	0.733717064988
4171.217712	0.721512222872
4304.059041	0.72776182665
4410.332103	0.733988786866
4569.741697	0.746397420367
4702.583026	0.789465341781
4808.856089	0.82023784712
4941.697417	0.857169382277
5101.107011	0.8941235609
5233.948339	0.937191482314
5499.630996	0.943554303518
5685.608856	0.968258353382
5845.01845	0.968394213792
6004.428044	0.925575370983
6216.97417	0.974847609243
6402.95203	0.975006113696
6509.225092	0.993505846618
6615.498155	1.00586919299
6774.907749	0.993732281276
6907.749077	0.993845498605
7120.295203	0.994026647101
7226.568266	1.01252638002
