X	Nielsen2001_Fig6_344uMtotal_0-05pcseeds_43deg.txt: "344 uM total, 0.05% seeds"	Nielsen2001_Fig6_344uMtotal_0-1pcseeds_43deg.txt: "344 uM total, 0.1% seeds"	Nielsen2001_Fig6_344uMtotal_noseeds_43deg.txt: "344 uM total, no seeds"
0.0	0.000499750124938	0.000999000999001	0.0
626.222222222	0.0105476510648	0.0204831225483	9.74759051253e-10
1252.44444444	0.0213224545655	0.0411253080653	2.27188312607e-09
1878.66666667	0.0336339111058	0.0643507240366	3.9979839439e-09
2504.88888889	0.0483528787012	0.0915751572283	6.29492780124e-09
3131.11111111	0.0664399023146	0.124194043552	9.35150090697e-09
3757.33333333	0.088954722721	0.163511215835	1.34189220846e-08
4383.55555556	0.117035436783	0.210594876554	1.88314916993e-08
5009.77777778	0.151831965286	0.266060498173	2.60340684566e-08
5636.0	0.194377728739	0.32980847945	3.56186303785e-08
6262.22222222	0.245390872026	0.400786236608	4.83729298839e-08
6888.44444444	0.305017750715	0.476882210006	6.53452417732e-08
7514.66666667	0.372568568092	0.555059016695	8.79305150914e-08
8140.88888889	0.446337802595	0.63176489812	1.17985029635e-07
8767.11111111	0.523622464956	0.703538740383	1.57978956139e-07
9393.33333333	0.601013963506	0.767614289143	2.11199388533e-07
10019.5555556	0.674934500874	0.822316365829	2.82020497955e-07
10645.7777778	0.742263200917	0.867142847001	3.7626305005e-07
11272.0	0.800836544018	0.902569902191	5.0167280885e-07
11898.2222222	0.849664393838	0.929711746077	6.68557152528e-07
12524.4444444	0.888839728103	0.949973018518	8.90632230965e-07
13150.6666667	0.919243057788	0.964780408391	1.18615027611e-06
13776.8888889	0.942185489439	0.975419279664	1.57939972412e-06
14403.1111111	0.959101890074	0.982960917161	2.10270143097e-06
15029.3333333	0.971343939585	0.98825104788	2.79906503742e-06
15655.5555556	0.980072464071	0.991931734568	3.72572378571e-06
16281.7777778	0.986223614627	0.994476635299	4.95883824514e-06
16908.0	0.990519284511	0.996227822849	6.59975550088e-06
17534.2222222	0.993498260291	0.997428456613	8.78333805088e-06
18160.4444444	0.995553084761	0.998249349047	1.16890467369e-05
18786.6666667	0.996964668757	0.998809431178	1.5555688105e-05
19412.8888889	0.997931363265	0.999190961686	2.07010374895e-05
20039.1111111	0.998591827132	0.99945055151	2.7547949122e-05
20665.3333333	0.99904226553	0.999627014917	3.6659096685e-05
21291.5555556	0.999349053059	0.999746889421	4.87831949473e-05
21917.7777778	0.99955779009	0.999828280538	6.49164933472e-05
22544.0	0.999699705442	0.999883521365	8.63845810787e-05
23170.2222222	0.999796134808	0.999921002927	0.000114951201683
23796.4444444	0.999861628748	0.999946429083	0.00015296297515
24422.6666667	0.999906097138	0.999963674458	0.000203541841932
25048.8888889	0.999936282419	0.999975369753	0.000270840903544
25675.1111111	0.999956768506	0.999983300418	0.000360384435701
26301.3333333	0.999970670037	0.999988677885	0.00047951957427
26927.5555556	0.999980102409	0.999992323941	0.0006380160106
27553.7777778	0.999986501899	0.99999479596	0.000848861592423
28180.0	0.999990843442	0.999996471934	0.0011293167596
28806.2222222	0.999993788702	0.999997608183	0.00150231013164
29432.4444444	0.999995786671	0.999998378505	0.00199828227918
30058.6666667	0.999997141995	0.999998900739	0.00265761569722
30684.8888889	0.999998061362	0.999999254782	0.00353382690129
31311.1111111	0.999998684995	0.999999494798	0.0046977412052
31937.3333333	0.999999108019	0.999999657512	0.00624292008694
32563.5555556	0.999999394963	0.99999976782	0.00829265942854
33189.7777778	0.9999995896	0.9999998426	0.0110089118665
33816.0	0.999999721624	0.999999893296	0.0146034835993
34442.2222222	0.999999811177	0.999999927663	0.0193517708511
35068.4444444	0.999999871921	0.999999950961	0.0256090577913
35694.6666667	0.999999913124	0.999999966756	0.0338288740729
36320.8888889	0.999999941072	0.999999977463	0.0445819258756
36947.1111111	0.999999960029	0.999999984722	0.0585724340989
37573.3333333	0.999999972888	0.999999989643	0.0766460992864
38199.5555556	0.99999998161	0.999999992979	0.0997802869428
38825.7777778	0.999999987526	0.99999999524	0.129042830831
39452.0	0.999999991539	0.999999996773	0.165502661954
40078.2222222	0.999999994261	0.999999997812	0.210076714577
40704.4444444	0.999999996107	0.999999998517	0.263308621363
41330.6666667	0.999999997359	0.999999998995	0.325100869257
41956.8888889	0.999999998209	0.999999999318	0.394462634556
42583.1111111	0.999999998785	0.999999999538	0.46937528921
43209.3333333	0.999999999176	0.999999999687	0.546884509243
43835.5555556	0.999999999441	0.999999999788	0.623470103037
44461.7777778	0.999999999621	0.999999999856	0.695626696931
45088.0	0.999999999743	0.999999999902	0.760473021116
45714.2222222	0.999999999826	0.999999999934	0.816179255502
46340.4444444	0.999999999882	0.999999999955	0.862089343544
