Time (hrs)	seed 0nM	seed 0nM	seed 0nM	seed 1nM	seed 1nM	seed 1nM	seed 10nM	seed 10nM	seed 10nM	seed 100nM	seed 100nM	seed 100nM
4.92	52.99	55.429	54.318	56.57	56.334	42.166	59.087	56.065	56.2	63.87	61.503	59.392
5.00	53.503	55.566	54.012	57.685	57.027	42.118	59.295	56.704	55.424	64.692	62.351	59.112
5.08	53.809	55.648	54.764	58.202	57.748	42.254	59.251	57.153	55.88	64.43	61.782	59.919
5.17	54.73	56.321	55.359	58.928	57.831	42.226	60.048	58.6	56.91	65.275	61.726	60.49
5.25	55.477	57.161	56.858	59.36	58.905	42.465	60.457	57.574	57.113	65.017	62.553	60.899
5.33	55.244	58.073	57.048	59.82	59.048	43.077	61.311	58.964	56.759	64.923	63.62	60.947
5.42	56.258	58.367	57.799	61.156	59.172	42.576	61.413	58.813	57.598	66.162	63.781	61.369
5.50	56.687	59.044	57.256	60.632	59.626	42.869	61.762	58.549	57.747	66.061	63.496	61.9
5.58	56.888	59.244	57.67	61.355	60.147	43.022	62.279	59.539	58.264	65.928	64.426	61.439
5.67	57.255	59.532	57.877	61.895	60.166	42.994	61.821	59.743	58.72	66.463	64.59	62.306
5.75	57.932	60.533	58.552	61.441	60.773	43.25	63.292	59.531	59.28	65.929	64.743	61.653
5.83	58.836	60.77	59.249	63.265	61.342	43.262	63.567	61.409	59.178	66.464	65.79	61.421
5.92	58.537	61.204	59.877	62.873	61.462	42.532	63.735	61.096	59.939	66.647	64.679	63.163
6.00	60.123	61.859	60.183	63.27	61.901	43.09	63.687	61.801	60.285	67.455	64.723	62.607
6.08	59.87	63.021	60.522	64.736	64.026	43.639	65.746	62.155	60.768	67.684	65.11	62.85
6.17	60.739	63.986	61.123	64.364	63.731	43.888	65.376	62.761	61.135	67.89	66.513	64.464
6.25	60.358	62.997	61.179	64.201	63.938	42.713	66.04	63.024	61.105	67.583	66.162	63.964
6.33	61.289	63.647	61.308	64.374	63.245	42.646	64.784	62.605	60.422	67.674	65.359	63.234
6.42	62.683	64.017	63.15	65.505	64.628	44.038	65.908	64.192	62.34	68.572	66.54	64.9
6.50	63.697	64.174	61.939	64.87	64.208	43.318	66.812	64.603	62.787	67.258	66.661	64.01
6.58	62.635	66.102	62.947	65.465	65.548	43.257	66.422	63.884	62.317	67.783	66.358	64.27
6.67	63.901	65.649	63.444	66.082	65.078	43.805	66.754	65.315	63.847	67.931	66.534	64.708
6.75	63.927	66.277	63.309	67.716	66.113	44.221	68.015	64.866	63.368	68.208	67.497	65.172
6.83	65.314	67.885	64.572	67.981	66.201	44.064	68.816	65.862	65.064	68.026	67.661	64.722
6.92	64.672	67.6	64.518	66.894	66.379	44.005	68.064	65.698	64.341	68.362	67.282	65.232
7.00	65.912	69.193	66.061	68.803	66.135	44.903	68.407	64.937	64.43	68.568	67.9	64.591
7.08	66.524	68.51	65.303	68.496	67.909	44.579	69.38	67.157	65.532	68	67.994	66.071
7.17	66.189	67.918	66.382	68.743	67.191	44.885	69.478	66.709	64.612	68.509	68.737	65.142
7.25	65.79	69.866	66.647	69.499	67.793	45.326	68.65	68.693	66.777	68.621	68.896	66.176
7.33	67.209	69.517	66.96	69.365	68.378	45.421	69.074	67.859	65.775	69.104	69.845	66.591
7.42	67.686	70.161	67.949	70.029	68.472	45.565	70.224	68.243	65.109	68.745	68.612	65.83
7.50	67.951	72.447	67.484	69.962	68.402	45.918	69.215	69.134	66.115	67.87	70.325	65.889
7.58	68.473	70.766	67.79	70.872	69.196	46.183	70.992	69.218	66.127	68.403	69.347	67.08
7.67	68.377	71.439	67.995	70.598	69.246	46.167	70.504	70.087	66.473	68.248	69.101	66.137
