X	Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4
1659.5	0.000134232065754	0.000242329503938
3671.92929293	0.000655942974779	0.00118528457983
5684.35858586	0.00157037879735	0.00284365290631
7696.78787879	0.00287876015439	0.00522980579878
9709.21717172	0.00458429474221	0.00836436205996
11721.6464646	0.0066921023106	0.0122758612235
13734.0757576	0.00920913840463	0.0170004121714
15746.5050505	0.0121441147415	0.0225812854225
17758.9343434	0.0155074139551	0.0290684136711
19771.3636364	0.0193109963012	0.036517761526
21783.7929293	0.0235682957881	0.0449905223038
23796.2222222	0.028294103083	0.0545520977769
25808.6515152	0.0335044324592	0.0652708167466
27821.0808081	0.0392163700101	0.0772163511796
29833.510101	0.0454479003655	0.0904577955114
31845.9393939	0.0522177092408	0.105061386748
33858.3686869	0.0595449593312	0.121087861275
35870.7979798	0.0674490373646	0.13858946955
37883.2272727	0.075949270565	0.157606702316
39895.6565657	0.0850646113726	0.178164820818
41908.0858586	0.0948132900371	0.200270326683
43920.5151515	0.105212435661	0.223907551091
45932.9444444	0.116277667429	0.249035582311
47945.3737374	0.128022659095	0.275585779279
49957.8030303	0.14045868135	0.303460129293
51970.2323232	0.15359412834	0.332530693625
53982.6616162	0.16743403639	0.362640341112
55995.0909091	0.18197960479	0.393604895562
58007.520202	0.197227730242	0.425216721632
60019.9494949	0.213170568137	0.457249654835
62032.3787879	0.229795135137	0.489465057886
64044.8080808	0.247082968395	0.521618674248
66057.2373737	0.265009857089	0.553467866572
68069.6666667	0.283545661582	0.584778785786
70082.0959596	0.302654234428	0.615333022636
72094.5252525	0.322293455467	0.644933346756
74106.9545455	0.342415390515	0.673408230617
76119.3838384	0.362966579519	0.700614972881
78131.8131313	0.383888455815	0.726441361283
80144.2424242	0.405117893346	0.750805932732
82156.6717172	0.42658787363	0.773656985095
84169.1010101	0.448228259272	0.79497056303
86181.530303	0.469966656067	0.814747676645
88193.959596	0.491729341685	0.833011018856
90206.3888889	0.513442235741	0.849801430446
92218.8181818	0.535031884025	0.865174328232
94231.2474747	0.556426428914	0.879196268636
96243.6767677	0.5775565386	0.89194177303
98256.1060606	0.59835626966	0.903490497266
100268.535354	0.61876384059	0.913924789333
102280.964646	0.638722297948	0.923327647709
104293.393939	0.65818006149	0.931781069299
106305.823232	0.677091339753	0.93936475939
108318.252525	0.695416412709	0.946155165927
110330.681818	0.713121783022	0.952224795364
112343.111111	0.730180201865	0.957641766174
114355.540404	0.746570578998	0.96246955768
116367.969697	0.762277789747	0.966766915142
118380.39899	0.777292393592	0.970587876398
120392.828283	0.791610280283	0.973981890018
122405.257576	0.805232259797	0.9769939997
124417.686869	0.818163612151	0.979665074071
126430.116162	0.83041361219	0.982032065114
128442.545455	0.841995043139	0.984128281991
130454.974747	0.852923711051	0.985983670074
132467.40404	0.863217970476	0.987625087538
134479.833333	0.872898269763	0.989076573959
136492.262626	0.881986722556	0.99035960704
138504.691919	0.890506710299	0.991493344933
140517.121212	0.898482518947	0.992494852647
142529.550505	0.905939011672	0.993379311824
144541.979798	0.912901338173	0.994160213769
146554.409091	0.919394680171	0.994849536037
148566.838384	0.925444031927	0.995457903177
150579.267677	0.931074013984	0.995994732446
152591.69697	0.93630871794	0.99646836542
154604.126263	0.941171579759	0.996886186505
156616.555556	0.945685278979	0.997254729354
158628.984848	0.949871661132	0.997579772222
160641.414141	0.953751680707	0.99786642321
162653.843434	0.957345362078	0.998119196369
164666.272727	0.960671775977	0.998342079507
166678.70202	0.963749029214	0.998538594548
168691.131313	0.96659426558	0.99871185118
170703.560606	0.969223676028	0.998864594507
172715.989899	0.971652516435	0.998999247313
174728.419192	0.973895131442	0.999117947544
176740.848485	0.975964983047	0.999222581503
178753.277778	0.977874682806	0.999314813247
180765.707071	0.979636026644	0.999396110596
182778.136364	0.981260031437	0.999467768137
184790.565657	0.982756972656	0.999530927562
186802.994949	0.984136422465	0.999586595643
188815.424242	0.985407287804	0.99963566011
190827.853535	0.986577848034	0.999678903676
192840.282828	0.987655791842	0.999717016423
194852.712121	0.988648253149	0.999750606729
196865.141414	0.989561845833	0.999780210923
198877.570707	0.99040269712	0.999806301794
200890.0	0.991176479545	0.999829296106
