data2.txt: I12C X	data2.txt: I12C Y
2.057699973	-4.79309851596e-17
4.170874302	0.00189573414288
6.285045177	0.007582938581
8.188446718	0.0151658761573
10.09334308	0.0284360191764
10.94239968	0.0436018953337
11.79145628	0.0587677724957
12.42924528	0.0739336486529
13.2797967	0.0947867292483
13.91808398	0.111848341558
14.77660776	0.163033175473
15.20312915	0.17819905163
15.84141642	0.195260662935
16.48368988	0.227488151402
17.12147887	0.242654028564
17.33922402	0.26729857845
18.19226681	0.297630331769
18.40901541	0.318483412364
18.83454026	0.329857820236
19.47631544	0.360189573555
20.32736513	0.382938388293
20.33184959	0.399999999598
20.33583577	0.41516587676
21.39865134	0.439810426646
22.03942998	0.466350710675
23.53026176	0.511848341156
24.17203694	0.542180094475
24.81281557	0.568720379509
26.09088493	0.608530805552
26.94293117	0.635071090585
27.58221499	0.655924170176
28.00873638	0.671090047338
28.85829126	0.688151658643
29.49657853	0.705213269948
30.13586234	0.726066350543
31.1971831	0.745023696996
32.25800558	0.762085308301
33.31932634	0.781042653748
34.80517539	0.807582938782
36.07776375	0.82654028423
37.13758969	0.839810426244
38.62144566	0.858767772697
39.8925392	0.872037914711
41.37589689	0.889099526016
42.64898352	0.909952606611
43.91957879	0.921327014483
45.8254717	0.938388625788
46.88479936	0.949763033659
48.1558929	0.963033175674
49.84802684	0.970616114255
51.96219771	0.976303317688
53.86559926	0.983886256269
55.98176322	0.997156398283
57.67190407	0.997156398283
59.996346	0.999052132426
62.10952033	1.00094786757
64.43495881	1.00663507101
66.54614005	1.00094786757
68.44854504	1.00473933686
71.19502392	1.00473933686
73.51896758	1.00473933686
78.16536009	0.999052132426
81.75690938	0.999052132426
84.29212065	0.999052132426
87.24986713	0.999052132426
90.20811188	1.00094786757
94.6447316	1.00094786757
