X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1
0.0	0.0	0.0
72.9956390505	0.0011030095525	0.00164173128072
145.991278101	0.00427877895559	0.00664504627641
218.986917152	0.00933758943656	0.0153393299082
291.982556202	0.0161025937384	0.0283159686704
364.978195253	0.0244090066553	0.0463917583014
437.973834303	0.0341033517605	0.0705399706584
510.969473354	0.0450427589158	0.101764935675
583.965112404	0.0570943079668	0.140904059088
656.960751455	0.0701344146681	0.18836714705
729.956390505	0.084048255403	0.243867760959
802.952029556	0.0987292276775	0.306246427784
875.947668606	0.114078443719	0.373491550108
948.943307657	0.13000425479	0.442999937669
1021.93894671	0.146421804086	0.512007061932
1094.93458576	0.163252606261	0.578033282647
1167.93022481	0.180424151843	0.639198620276
1240.92586386	0.197869534921	0.69434148966
1313.92150291	0.215527102635	0.742967968286
1386.91714196	0.233340125107	0.785104836074
1459.91278101	0.251256484579	0.821127547227
1532.90842006	0.269228382585	0.851608099268
1605.90405911	0.287212064089	0.877200821942
1678.89969816	0.305167557594	0.898566615529
1751.89533721	0.323058430286	0.916328308152
1824.89097626	0.340851557348	0.931048116018
1897.88661531	0.358516904627	0.943219376371
1970.88225436	0.376027323903	0.953266736963
2043.87789341	0.393358360041	0.961550875259
2116.87353246	0.410488069347	0.968375276743
2189.86917152	0.42739684853	0.973993612972
2262.86481057	0.444067273643	0.978616916375
2335.86044962	0.460483948473	0.982420153468
2408.85608867	0.476633361845	0.98554803624
2481.85172772	0.492503753353	0.988120044527
2554.84736677	0.508084987042	0.990234701374
2627.84300582	0.523368432623	0.991973175151
2700.83864487	0.53834685378	0.993402292787
2773.83428392	0.553014303203	0.994577047724
2846.82992297	0.567366023961	0.995542679921
2919.82556202	0.581398356877	0.996336396535
2992.82120107	0.595108653561	0.996988792779
3065.81684012	0.608495194811	0.997525023672
3138.81247917	0.621557114062	0.997965769449
3211.80811822	0.634294325625	0.998328030433
3284.80375727	0.646707457435	0.998625781175
3357.79939632	0.658797788075	0.998870508585
3430.79503537	0.670567187816	0.999071654524
3503.79067442	0.682018063481	0.999236979751
3576.78631347	0.693153306884	0.999372863152
3649.78195253	0.703976246674	0.999484547748
3722.77759158	0.714490603374	0.999576342919
3795.77323063	0.724700447446	0.99965179065
3868.76886968	0.734610160203	0.99971380217
3941.76450873	0.744224397408	0.99976477027
4014.76014778	0.753548055415	0.999806661628
4087.75578683	0.762586239689	0.999841092687
4160.75142588	0.771344235586	0.999869392024
4233.74706493	0.779827481251	0.999892651618
4306.74270398	0.788041542511	0.99991176898
4379.73834303	0.795992089651	0.999927481787
4452.73398208	0.803684875959	0.999940396347
4525.72962113	0.811125717928	0.99995101099
4598.72526018	0.818320477032	0.999959735302
4671.72089923	0.825275042963	0.999966905926
4744.71653828	0.831995318253	0.999972799555
4817.71217733	0.838487204185	0.999977643604
4890.70781638	0.844756587926	0.99998162499
4963.70345543	0.850809330796	0.999984897343
5036.69909448	0.856651257599	0.999987586932
5109.69473354	0.862288146963	0.99998979754
5182.69037259	0.867725722605	0.999991614467
5255.68601164	0.872969645477	0.999993107822
5328.68165069	0.878025506722	0.99999433523
5401.67728974	0.882898821397	0.999995344053
5474.67292879	0.887595022904	0.999996173217
5547.66856784	0.892119458081	0.999996854718
5620.66420689	0.896477382914	0.999997414852
5693.65984594	0.900673958814	0.999997875234
5766.65548499	0.904714249435	0.999998253627
5839.65112404	0.908603217975	0.999998564634
5912.64676309	0.912345724944	0.999998820254
5985.64240214	0.915946526347	0.999999030352
6058.63804119	0.919410272257	0.999999203034
6131.63368024	0.922741505758	0.999999344963
6204.62931929	0.925944662204	0.999999461617
6277.62495834	0.929024068796	0.999999557496
6350.62059739	0.931983944429	0.9999996363
6423.61623644	0.934828399801	0.99999970107
6496.61187549	0.93756143775	0.999999754306
6569.60751455	0.940186953808	0.999999798061
6642.6031536	0.942708736941	0.999999834024
6715.59879265	0.945130470472	0.999999863582
6788.5944317	0.947455733153	0.999999887876
6861.59007075	0.949688000386	0.999999907844
6934.5857098	0.951830645562	0.999999924256
7007.58134885	0.95388694152	0.999999937745
7080.5769879	0.955860062099	0.999999948832
7153.57262695	0.957753083779	0.999999957944
7226.568266	0.959568987403	0.999999965434
