Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 X	Kim2013_Fig4A_hnrnpa2.txt: hnrnpa2 Y	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 Y
0.0	-4.37606112824e-17	115.6626506	0.00414316376703
106.2730627	0.00221486313747	202.4096386	0.00117759078651
398.5239852	0.0283609904013	289.1566265	-0.0135971404377
637.6383764	0.0599132010301	375.9036145	-0.0388607044001
743.9114391	0.0370736336243	462.6506024	-0.0494498308086
850.1845018	0.0342294354829	520.4819277	-0.0645308278069
983.0258303	0.0324571477418	693.9759036	0.00918533313621
1062.730627	0.0137384643645	751.8072289	-0.0151184019138
1195.571956	0.00802737914848	838.5542169	0.0144403220201
1275.276753	-0.00970428472247	867.4698795	0.0119270289905
1381.549815	-0.00847031151995	954.2168675	0.0120181654638
1487.822878	-0.0131450304057	1040.963855	0.034675383289
1594.095941	-0.0177376924871	1040.963855	-0.012387442729
1700.369004	-0.0223762109427	1098.795181	0.0158460635249
1806.642066	-0.0394451880273	1127.710843	-0.000575828969432
1912.915129	-0.0506327141713	1272.289157	0.0503337460536
2045.756458	-0.0497615499828	1272.289157	0.0209194800756
2178.597786	-0.0434210421292	1359.036145	0.00397148585281
2338.00738	-0.0196679494348	1416.86747	-0.0123017043532
2470.848708	-0.0151597176341	1503.614458	-0.0435614269413
2603.690037	-0.0361489790554	1648.192771	-0.0642217954448
2736.531365	-0.0826857007658	1706.024096	-0.0311170879478
2869.372694	-0.0750322884973	1850.60241	-0.0011885067336
3081.918819	-0.0662247146108	1850.60241	-0.0011885067336
3214.760148	0.0184241184571	2024.096386	-0.0480653784902
3294.464945	0.0932435899086	2053.012048	0.00199106092655
3453.874539	0.0883216407327	2255.421687	0.0175323245428
3666.420664	0.120318414579	2284.337349	0.00737107697932
3825.830258	0.0935085563638	2371.084337	-0.0414533740455
4011.808118	0.105436843059	2689.156627	-0.0501757523232
4091.512915	0.0293267475185	2833.73494	-0.024571361527
4171.217712	0.051065104339	2891.566265	-0.0239542700206
4304.059041	0.0599824292318	2891.566265	-0.0239542700206
4410.332103	0.0652585285034	3065.060241	-0.0226234689835
4569.741697	0.0690953942721	3412.048193	0.00801099747789
4702.583026	0.0386792404154	3585.542169	0.0141158409219
4808.856089	0.0174737154897	3701.204819	0.0259506612853
4941.697417	-0.00816231273091	3903.614458	0.0318564512399
5101.107011	-0.0324881222776	4048.192771	0.0318222126575
5233.948339	-0.0657635317475	4192.771084	0.0317609705305
5499.630996	-0.0543932650577	4250.60241	0.0317309645282
5685.608856	-0.0680394930419	4886.746988	-0.033416167696
5845.01845	-0.0595108814017	5204.819277	-0.0513139420048
6004.428044	-0.00872452610767	5378.313253	-0.0102727811844
6216.97417	-0.0483735874428	5638.554217	-0.0104829206292
6402.95203	-0.040971467976	5985.542169	0.0186493289825
6509.225092	-0.0554831579811	6216.86747	0.0302264765933
6615.498155	-0.0640849813263
6774.907749	-0.0467053478637
6907.749077	-0.0427923816353
7120.295203	-0.0371268165854
7226.568266	-0.0529573926168
