X	Kakkar2016_Fig1_10uM.txt: 10 uM	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM	Kakkar2016_Fig1_16uM.txt: 16 uM	Kakkar2016_Fig1_20uM.txt: 20 uM
727.2727273	0.000501733779447	0.000825544888704	0.00129469197848	0.00202999660924
1437.40434652	0.00195752481673	0.00321835019729	0.00504156041019	0.00789078990476
2147.53596574	0.0043606870842	0.00716008161862	0.0111953249286	0.0174712691844
2857.66758496	0.00769977684566	0.0126200172861	0.0196813378656	0.0305913719082
3567.79920418	0.0119590040247	0.0195560871073	0.0303984886591	0.0470113162042
4277.9308234	0.0171184132219	0.0279156543256	0.0432220854671	0.0664419518598
4988.06244262	0.0231541093807	0.0376364715758	0.0580072846256	0.0885565584395
5698.19406183	0.0300385234113	0.0486477798228	0.0745928986679	0.113003247289
6408.32568105	0.0377407123809	0.0608715152348	0.0928054065469	0.139417171826
7118.45730027	0.0462266883434	0.0742235874291	0.112462994904	0.16743186987
7828.58891949	0.0554597695336	0.0886151925958	0.133379474954	0.196689227151
8538.72053871	0.0654009474857	0.103954126611	0.155367943247	0.226847734937
9248.85215793	0.0760092636503	0.120146066173	0.178244083309	0.257588892803
9958.98377715	0.0872421892629	0.137095789949	0.20182903597	0.288621761592
10669.1153964	0.099056002551	0.15470831636	0.225951796505	0.319685791293
11379.2470156	0.111406157821	0.172889939715	0.250451124351	0.350552130139
12089.3786348	0.124247641522	0.191549151534	0.275176974794	0.381023666741
12799.510254	0.137535311029	0.210597438894	0.299991480715	0.410934072105
13509.6418732	0.151224212552	0.22994995624	0.324769526103	0.440146100111
14219.7734925	0.165269875298	0.2495260712	0.349398961762	0.468549380994
14929.9051117	0.179628579709	0.269249788383	0.373780518016	0.496057909331
15640.0367309	0.194257598289	0.28905005794	0.397827469993	0.522607391274
16350.1683501	0.209115408159	0.308860977741	0.421465109039	0.548152579468
17060.2999693	0.224161875094	0.328621899524	0.444630069803	0.572664690607
17770.4315886	0.239358409303	0.348277450192	0.467269557204	0.596128971583
18480.5632078	0.254668093694	0.367777479823	0.489340511531	0.618542456101
19190.694827	0.270055785715	0.387076947889	0.510808743742	0.639911934522
19900.8264462	0.28548819423	0.406135758748	0.531648067036	0.660252145152
20610.9580654	0.300933933076	0.424918556829	0.551839445213	0.679584184578
21321.0896847	0.316363553164	0.443394491075	0.571370173299	0.697934127375
22031.2213039	0.331749555072	0.461536957241	0.590233101614	0.715331840779
22741.3529231	0.347066384167	0.479323325654	0.608425910725	0.731809977311
