Time /s	16 uM Ex45
558.1395349	0
1304.936761	0.014035088
2424.479804	0.031578947
2986.536108	0.052631579
3923.296614	0.087719298
4484.700122	0.105263158
4861.362709	0.129824561
5614.035088	0.175438596
5805.956752	0.207017544
6371.27703	0.245614035
6747.939616	0.270175439
6752.50918	0.294736842
7317.829457	0.333333333
7323.051816	0.361403509
7516.27907	0.4
8268.298654	0.442105263
9020.318237	0.484210526
9399.592003	0.522807018
9591.513668	0.554385965
9600	0.6
9976.662587	0.624561404
10355.28356	0.659649123
10545.24684	0.680701754
10737.1685	0.712280702
11113.83109	0.736842105
11865.85067	0.778947368
12429.21257	0.807017544
12806.52795	0.835087719
13556.58915	0.866666667
14305.99755	0.894736842
15427.49898	0.922807018
16545.73643	0.933333333
18222.76622	0.947368421
19527.05018	0.957894737
21202.77438	0.964912281
23065.19788	0.975438596
23996.08323	0.978947368
26602.03998	0.985964912
29765.48348	0.989473684
33487.7193	0.996491228
36836.55651	0.996491228
40743.53325	0.996491228
43534.23093	0.996491228
47254.50836	0.992982456
51347.53162	0.992982456
55068.46185	0.992982456
58789.39208	0.992982456
63441.20767	0.996491228
69580.74255	0.996491228
