Time /s	16 uM
969.6969697	0.003690037
2666.666667	0.011070111
4363.636364	0.022140221
5818.181818	0.036900369
7030.30303	0.051660517
8484.848485	0.062730627
8969.69697	0.081180812
10181.81818	0.110701107
11151.51515	0.129151292
11636.36364	0.15498155
12363.63636	0.180811808
13090.90909	0.199261993
13090.90909	0.239852399
14060.60606	0.269372694
14060.60606	0.287822878
14060.60606	0.317343173
15272.72727	0.339483395
15515.15152	0.361623616
16242.42424	0.387453875
16242.42424	0.409594096
16727.27273	0.431734317
17212.12121	0.453874539
18181.81818	0.479704797
18181.81818	0.498154982
18909.09091	0.52398524
19393.93939	0.538745387
19878.78788	0.57195572
20606.06061	0.594095941
21818.18182	0.616236162
21818.18182	0.634686347
22303.0303	0.653136531
22787.87879	0.682656827
23515.15152	0.697416974
24484.84848	0.719557196
24969.69697	0.73800738
25696.9697	0.756457565
26909.09091	0.782287823
27151.51515	0.79704797
27878.78788	0.822878229
29575.75758	0.841328413
30060.60606	0.852398524
31757.57576	0.874538745
33212.12121	0.904059041
34181.81818	0.911439114
35636.36364	0.933579336
37090.90909	0.944649446
38545.45455	0.963099631
39757.57576	0.963099631
41939.39394	0.977859779
43878.78788	0.981549815
45818.18182	0.985239852
47757.57576	0.988929889
49939.39394	0.988929889
51636.36364	0.992619926
54060.60606	0.992619926
55757.57576	0.996309963
57454.54545	0.992619926
59636.36364	0.996309963
61333.33333	0.996309963
62787.87879	1.003690037
64969.69697	1.003690037
66666.66667	1
68606.06061	1
71030.30303	1
