5uM X	5uM Y	4uM X	4uM Y	3.5uM X	3.5uM Y	3uM X	3uM Y	2.5uM X	2.5uM Y	2uM X	2uM Y	1.75uM X	1.75uM Y	1.5uM X	1.5uM Y	1.35uM X	1.35uM Y	1.2uM X	1.2uM Y
0.38111	0.00664342326846	0.38111	-0.00446877813675	0.38111	-0.00749654686621	0.38111	-0.0127076984584	0.38111	-0.00870187149839	0.38111	-0.0102887115574	0.38111	-0.00454752642123	0.38111	-0.00307632423202	0.38111	-0.00974321903385	0.47639	-0.0106867319925
0.47639	0.0185191016843	0.47639	-0.00286653481737	0.47639	-0.015954794125	0.47639	-0.0208667343867	0.47639	-0.0145250132046	0.47639	-0.0231601160644	0.47639	-0.00936449797984	0.47639	-0.0142725293021	0.47639	-0.0174833979667	0.47639	0.00289298937239
0.47639	0.0200494356182	0.47639	-0.0014810227135	0.47639	-0.0117542008921	0.47639	-0.0145671211382	0.47639	-0.0136928275196	0.47639	-0.0179367703793	0.47639	-0.00838610955309	0.47639	-0.0147537998882	0.47639	-0.0166843905383	0.57167	-0.0227208769704
0.47639	0.0272946847464	0.47639	-0.000147230592554	0.47639	-0.00438774265397	0.47639	-0.0126693750052	0.47639	-0.00831771769475	0.47639	-0.0137989571966	0.47639	-0.00765944741738	0.47639	-0.0127967995951	0.47639	-0.0182881718733	0.57167	-0.0178220310467
0.47639	0.0355364685339	0.47639	0.00374053281076	0.47639	-0.00407197113848	0.47639	-0.0128136131826	0.47639	-0.00822505662177	0.47639	-0.00888774320811	0.47639	-0.00576656031038	0.47639	-0.00274142253377	0.47639	-0.00827649788897	0.57167	-0.0138304633357
0.57167	0.0675238665074	0.57167	0.0132282256002	0.57167	-0.00748056739822	0.57167	-0.0136247704974	0.57167	-0.0150719612266	0.57167	-0.0211934465655	0.57167	-0.0108748076526	0.57167	-0.0187090739008	0.57167	-0.0104331331015	0.57167	0.00544121835324
0.57167	0.075799643238	0.57167	0.0196586618541	0.57167	-0.00606477256115	0.57167	-0.0127892888176	0.57167	-0.0142452866266	0.57167	-0.0196192554868	0.57167	-0.00996531200139	0.57167	-0.0143030142367	0.57167	-0.0104324802682	0.66694	-0.0182186847441
0.57167	0.0857465096278	0.57167	0.019385361353	0.57167	0.00379746337317	0.57167	-0.0124292047872	0.57167	-0.0111295555723	0.57167	-0.0189923503034	0.57167	-0.00655946402274	0.57167	-0.0101360491051	0.57167	-0.0136520117975	0.66694	-0.0139300497444
0.57167	0.10481606456	0.57167	0.0285339759547	0.57167	0.00471891982403	0.57167	-0.0111744873942	0.57167	-0.00536416736202	0.57167	-0.00821527840043	0.57167	-0.00597856620414	0.57167	-0.0100498874968	0.57167	-0.0143529140606	0.66694	-0.0142351835897
0.66694	0.161342677264	0.66694	0.0502874530448	0.66694	0.00780320899562	0.66694	-0.00956749784304	0.66694	-0.0123809705916	0.66694	-0.0167343053259	0.66694	-0.0112722381655	0.66694	-0.0148165820154	0.66694	-0.0250944494313	0.66694	-0.00677529117264
0.66694	0.183417937365	0.66694	0.0614278750045	0.66694	0.00793052633947	0.66694	-0.00634365043426	0.66694	-0.0106390314541	0.66694	-0.0135584278554	0.66694	-0.0115063962702	0.66694	-0.0141222684797	0.66694	-0.021686519785	0.76222	-0.0170060222446
0.66694	0.204941882921	0.66694	0.072918539526	0.66694	0.0309896622422	0.66694	-0.00577391188761	0.66694	-0.00679461199189	0.66694	-0.0119073602522	0.66694	-0.00846963545587	0.66694	-0.0131419948658	0.66694	-0.0110798149053	0.76222	-0.0112580576824
0.66694	0.221123669742	0.66694	0.086694295853	0.66694	0.0400727626992	0.66694	-0.00498293081148	0.66694	-0.00565909605372	0.66694	-0.0118577961087	0.66694	-0.00753043731558	0.66694	-0.0110150627666	0.66694	-0.00884962119304	0.76222	-0.0118218932057
0.76222	0.314412923886	0.76222	0.108821509835	0.76222	0.0380402788246	0.76222	0.011216895316	0.76222	-0.00655511959556	0.76222	-0.0164072804009	0.76222	-0.0156404308583	0.76222	-0.0138634218484	0.76222	-0.0151754663294	0.76222	-0.00332768725736
0.76222	0.336049180086	0.76222	0.122381340322	0.76222	0.0418212492246	0.76222	0.0108311201948	0.76222	-0.00291598149069	0.76222	-0.0133273210081	0.76222	-0.0112722381655	0.76222	-0.00839865284162	0.76222	-0.0214769881929	0.8575	-0.0129570544188
0.76222	0.386915031131	0.76222	0.13886580207	0.76222	0.0703022623437	0.76222	0.0110908954963	0.76222	-0.00167466235852	0.76222	-0.00922397561194	0.76222	-0.00974167081845	0.76222	-0.00816167653392	0.76222	-0.013454302139	0.8575	-0.0103501498048
0.76222	0.401330847826	0.76222	0.153428049362	0.76222	0.0910294856377	0.76222	0.0134115817978	0.76222	0.00245559661461	0.76222	-0.00725112161998	0.76222	-0.00429385967278	0.76222	-0.00588756914576	0.76222	-0.00733894275822	0.8575	-0.00827424939667
0.8575	0.486571531696	0.8575	0.195730615432	0.8575	0.0838598030035	0.8575	0.0356862661945	0.8575	0.0036808290948	0.8575	-0.0138222104985	0.8575	-0.0129603511275	0.8575	-0.0136237215989	0.8575	-0.023258006726	0.8575	-0.00834715144798
0.8575	0.514086202745	0.8575	0.218571994124	0.8575	0.0828111934786	0.8575	0.0350588606701	0.8575	0.00655511959556	0.8575	-0.0123252667969	0.8575	-0.00990067523877	0.8575	-0.012901519205	0.8575	-0.0180908884658	0.95278	-0.0168568229277
0.8575	0.571514649006	0.8575	0.237786695886	0.8575	0.132360290732	0.8575	0.034941071363	0.8575	0.0105405219036	0.8575	-0.00623256941918	0.8575	-0.00295124135872	0.8575	-0.0114373269471	0.8575	-0.0122294714454	0.95278	-0.0113471137559
0.8575	0.590079992449	0.8575	0.245286266617	0.8575	0.148722086067	0.8575	0.0512117406866	0.8575	0.0159017761354	0.8575	-0.000481933112167	0.8575	0.000183406066425	0.8575	-0.0064104495147	0.8575	-0.00928131003173	0.95278	-0.0118972884746
0.95278	0.618397498165	0.95278	0.312293834906	0.95278	0.149959897432	0.95278	0.0660469057648	0.95278	0.0223717924204	0.95278	-0.0133774237186	0.95278	-0.00497153820876	0.95278	-0.0100451403494	0.95278	-0.021050139578	0.95278	-0.0106056490487
0.95278	0.658142380477	0.95278	0.338875747195	0.95278	0.145842941832	0.95278	0.0711263957051	0.95278	0.0282229862185	0.95278	-0.00738591400686	0.95278	-0.003238327094	0.95278	-0.00743069792049	0.95278	-0.0140298872573	1.0481	-0.0192573286518
0.95278	0.711876277829	0.95278	0.363371452027	0.95278	0.202210005627	0.95278	0.0739382116579	0.95278	0.027776729797	0.95278	-0.00531102218989	0.95278	-0.00256768492996	0.95278	-0.00576692223703	0.95278	-0.0188578432913	1.0481	-0.0142087582847
0.95278	0.702753722362	0.95278	0.384149409459	0.95278	0.234918484466	0.95278	0.10195364889	0.95278	0.0328763857432	0.95278	-0.000818165516005	0.95278	-0.00239603130088	0.95278	-0.00195205417553	0.95278	-0.00942718362889	1.0481	-0.0113353955429
1.0481	0.705675880596	1.0481	0.445552219514	1.0481	0.231073761068	1.0481	0.117592105317	1.0481	0.045173811618	1.0481	-0.00305987865998	1.0481	-0.00521089000491	1.0481	-0.00948010120479	1.0481	-0.0177711905259	1.0481	-0.00722497863985
1.0481	0.742074821742	1.0481	0.479137425035	1.0481	0.227510489668	1.0481	0.123555480164	1.0481	0.052110842828	1.0481	0.00090184879002	1.0481	-0.00435642054706	1.0481	-0.00737057900527	1.0481	-0.0219379149117	1.1433	-0.0178719093243
1.0481	0.810652136968	1.0481	0.511277863906	1.0481	0.290712545796	1.0481	0.125530659888	1.0481	0.0529979735368	1.0481	0.00349681699991	1.0481	-0.00306348516489	1.0481	-0.00363901457413	1.0481	-0.0120139108441	1.1433	-0.0166868698335
1.0481	0.765898204299	1.0481	0.556346326995	1.0481	0.327051588449	1.0481	0.162348479024	1.0481	0.055460876932	1.0481	0.00312841033103	1.0481	0.00669483934682	1.0481	-0.000579105161878	1.0481	-0.0147719772449	1.1433	-0.00932352015349
1.1433	0.771201282893	1.1433	0.569756169806	1.1433	0.337671522436	1.1433	0.168586079869	1.1433	0.0801867741077	1.1433	0.00184647850171	1.1433	-0.000163365770515	1.1433	-0.00899378971606	1.1433	-0.0170436582071	1.1433	-0.00724813122295
1.1433	0.810527919331	1.1433	0.614295109	1.1433	0.320951963133	1.1433	0.183809784911	1.1433	0.0819625745114	1.1433	0.00410842226564	1.1433	0.00233113617051	1.1433	-0.00282519572328	1.1433	-0.0137506535013	1.2386	-0.0168568229277
1.1433	0.856898602821	1.1433	0.657929106693	1.1433	0.40825682658	1.1433	0.187676257925	1.1433	0.0868580060423	1.1433	0.0103895812786	1.1433	0.00324369017459	1.1433	0.00177350955825	1.1433	-0.00942892164566	1.2386	-0.0144949497136
1.1433	0.816135350055	1.1433	0.688092526879	1.1433	0.430182820087	1.1433	0.239529142428	1.1433	0.0970556681368	1.1433	0.0115678428519	1.1433	0.0148019484197	1.1433	0.00262683833497	1.1433	-0.0064033844405	1.2386	-0.00864898895268
1.2386	0.802982919793	1.2386	0.685444239495	1.2386	0.41964295758	1.2386	0.256254920919	1.2386	0.127225084472	1.2386	0.0117119493537	1.2386	0.00748380804986	1.2386	-0.00448487107499	1.2386	-0.0154628804645	1.2386	-0.00582175536465
1.2386	0.84165859939	1.2386	0.69854372585	1.2386	0.457307557062	1.2386	0.266427768707	1.2386	0.126858069871	1.2386	0.0232784900924	1.2386	0.0151925771112	1.2386	0.00431379873357	1.2386	-0.0133104058595	1.3339	-0.0181463628218
1.2386	0.892973936151	1.2386	0.755900142818	1.2386	0.520646001645	1.2386	0.263232227567	1.2386	0.128590003442	1.2386	0.0209288226022	1.2386	0.0158464797399	1.2386	0.00860115142421	1.2386	-0.00970634364797	1.3339	-0.0108797627334
1.2386	0.845701880648	1.2386	0.789517239553	1.2386	0.550553331405	1.2386	0.317905743061	1.2386	0.138729288354	1.2386	0.024750739015	1.2386	0.0175530394161	1.2386	0.012390437526	1.2386	-0.00628594776377	1.3339	-0.00358477250982
1.3339	0.84370314207	1.3339	0.757947033242	1.3339	0.532770134725	1.3339	0.350692309323	1.3339	0.172838225307	1.3339	0.0274861514112	1.3339	0.0179780997912	1.3339	0.000625236718229	1.3339	-0.0170768247583	1.3339	-0.000329770809288
1.3339	0.865270741092	1.3339	0.781221883047	1.3339	0.565762284622	1.3339	0.341965593345	1.3339	0.181011299045	1.3339	0.0319154266246	1.3339	0.023972251741	1.3339	0.00364136337667	1.3339	-0.0116791777228	1.4292	-0.012065142037
1.3339	0.924543071528	1.3339	0.821033241627	1.3339	0.640787511264	1.3339	0.35291478703	1.3339	0.176392978699	1.3339	0.033102946526	1.3339	0.0283711888127	1.3339	0.00979642002904	1.3339	-0.00546805862334	1.4292	-0.00626456435554
1.3339	0.866160126478	1.3339	0.841851596843	1.3339	0.653760674653	1.3339	0.414093266019	1.3339	0.190988198832	1.3339	0.0444611315341	1.3339	0.0313267954342	1.3339	0.0149843460636	1.3339	-0.00518782513724	1.4292	-0.00704832082848
1.4292	0.85976352718	1.4292	0.82728582392	1.4292	0.617137436209	1.4292	0.43020556691	1.4292	0.233039504379	1.4292	0.0499604326035	1.4292	0.0316712983165	1.4292	0.0121797326737	1.4292	-0.0130945614401	1.4292	-0.0052763329486
1.4292	0.87446006575	1.4292	0.829709824861	1.4292	0.661810897626	1.4292	0.450732596849	1.4292	0.232400211273	1.4292	0.0477478831605	1.4292	0.0380097692731	1.4292	0.0158353222674	1.4292	-0.0140465786125	1.5244	-0.0117120116212
1.4292	0.927298289705	1.4292	0.862352051184	1.4292	0.726771526502	1.4292	0.46369912519	1.4292	0.248244067262	1.4292	0.0506123438826	1.4292	0.0370586302299	1.4292	0.019315696564	1.4292	-0.0084860294811	1.5244	-0.00973257077545
1.4292	0.885226173341	1.4292	0.880713415603	1.4292	0.732954804926	1.4292	0.511989270735	1.4292	0.251305280725	1.4292	0.0588070474312	1.4292	0.0422589154228	1.4292	0.0261441851206	1.4292	0.000201189894519	1.5244	-0.00792991190338
1.5244	0.876453731314	1.5244	0.873163868431	1.5244	0.728543150758	1.5244	0.527624455894	1.5244	0.300919729244	1.5244	0.068590610752	1.5244	0.0506978441164	1.5244	0.0226643479134	1.5244	-0.00561195490291	1.5244	-0.000254822898086
1.5244	0.89342840435	1.5244	0.858436149364	1.5244	0.694830346731	1.5244	0.552850872543	1.5244	0.303563344148	1.5244	0.0731205486679	1.5244	0.051369028059	1.5244	0.0261757756843	1.5244	-0.00555258719133	1.6197	-0.011409375662
1.5244	0.944035596389	1.5244	0.897666403194	1.5244	0.801186067835	1.5244	0.557826350638	1.5244	0.318185848118	1.5244	0.0806621536806	1.5244	0.0581980202568	1.5244	0.0342878514595	1.5244	0.00370892806061	1.6197	-0.00971373666692
1.5244	0.896363765072	1.5244	0.889187543033	1.5244	0.799552463733	1.5244	0.601641850969	1.5244	0.321444749076	1.5244	0.0728264823572	1.5244	0.0554209978369	1.5244	0.0375107694347	1.5244	0.00271606357601	1.6197	0.00086939576994
1.6197	0.88333329296	1.6197	0.909852840198	1.6197	0.754037444083	1.6197	0.59873045401	1.6197	0.371472496793	1.6197	0.0982583161481	1.6197	0.0620753256941	1.6197	0.0268370837517	1.6197	-0.00352545884926	1.6197	0.00264961446378
