X	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 1uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 2uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 3uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 5uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 10uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 20uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 30uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 50uM
0.0	0.23076923076923106	0.1304347826086958	0.09090909090909083	0.05660377358490576	0.029126213592233108	0.014778325123152691	0.00990099009900991	0.005964214711729698
0.14492462311557788	0.23102353993559932	0.13070369084874012	0.09117316248231322	0.056848150658267094	0.029324149379878928	0.01491918725309338	0.010009989831440746	0.00603916789554948
0.28984924623115577	0.23140582627393158	0.13110806823579357	0.09157039086006835	0.0572159442705924	0.029622313550731416	0.015131581047634568	0.01017442434761262	0.006152300021134427
0.4347738693467337	0.23191612387872318	0.1316481693577457	0.09210121351815415	0.05770784776865223	0.030021672359659468	0.015416506313178924	0.01039519576257708	0.006304323547446478
0.5796984924623115	0.23255447785615657	0.13232433347355577	0.09276621408344266	0.058324787371370035	0.030523519128188847	0.015775303857060607	0.010673515038647552	0.006496195772243141
0.7246231155778894	0.23332094397923742	0.13313698405402552	0.09356612212673132	0.059067922960755026	0.03112947766604446	0.016209661417716514	0.011010908426290489	0.00672912478600074
0.8695477386934674	0.23421558825586186	0.13408662820212225	0.09450181289321735	0.059938649055331306	0.03184150654597839	0.016721621115048713	0.011409225573383086	0.007004576982087896
1.0144723618090452	0.23523848640942524	0.13517385594929088	0.09557430696354474	0.0609385959552482	0.03266190422859638	0.017313588443896966	0.01187064933985349	0.0073242861673480375
1.159396984924623	0.23638972327151686	0.13639933942348503	0.096784769836884	0.06206963104584495	0.03359331503265328	0.0179883428377966	0.012397707362193366	0.007690264326519425
1.304321608040201	0.2376693920861711	0.13776383188390862	0.09813451142598562	0.06333386024384091	0.03463873594472622	0.018749049834273612	0.012993285419796385	0.008104814103404023
1.4492462311557788	0.2390775937250903	0.13926816661673358	0.09962498545257659	0.06473362956758111	0.035801524260203	0.019599274876718753	0.013660642662552958	0.008570543071450665
1.5941708542713566	0.24061443581318231	0.1409132556853222	0.10125778872984481	0.06627152680978932	0.03708540604507227	0.02054299879138488	0.014403428766573412	0.009090379876453336
1.7390954773869347	0.2422800317637127	0.14270008852773897	0.10303466031708086	0.06795038328808689	0.038494485405001666	0.021584634981132167	0.0152257030923163	0.009667592344424825
1.8840201005025126	0.2440744997223161	0.1446297303935823	0.10495748052979725	0.06977327564507407	0.040033254544510455	0.02272904838014722	0.016131955926687924	0.010305807658402832
2.0289447236180904	0.24599796141907138	0.14670332061142166	0.10702826978684343	0.07174352766600378	0.04170660459462294	0.023981576215866496	0.017127131897837766	0.011009034719009159
2.1738693467336683	0.24805054092780543	0.1489220706773592	0.10924918727413013	0.07386471207798118	0.04351983718206898	0.025348050625593643	0.01821665565831021	0.011781688815016178
2.318793969849246	0.2502323633317751	0.15128726215447297	0.11162252940262873	0.07614065229016598	0.04547867670676886	0.026834823175675093	0.01940645993881107	0.012628618741986397
2.463718592964824	0.2525435532948407	0.1538002443721319	0.11415072803624238	0.0785754240295764	0.047589283286845196	0.028448791330392798	0.02070301608105185	0.013555136519234345
2.608643216080402	0.2549842335372514	0.15646243191340647	0.11683634846301616	0.08117335682178872	0.04985826632156665	0.03019742691570315	0.022113367163712927	0.014567049867898252
2.7535678391959797	0.2575545232151565	0.1592753018780263	0.11968208708091788	0.08393903526001645	0.052292698612268484	0.032088806619362975	0.023645163840411376	0.015670697625752572
2.8984924623115575	0.26025453620296657	0.1622403909075738	0.12269076876709073	0.08687729999973559	0.0549001309691759	0.03413164456345996	0.0253067030123858	0.016872988287509494
3.0434170854271354	0.2630843792777233	0.16535929195884258	0.1258653438970635	0.0899932484091075	0.05768860721796132	0.036335326977582905	0.02710696946115354	0.018181441872630377
