m0:6.4uM_M0:0_L0:10000 X	m0:6.4uM_M0:0_L0:10000 Y	m0:8uM_M0:0_L0:10000 X	m0:8uM_M0:0_L0:10000 Y	m0:10uM_M0:0_L0:10000 X	m0:10uM_M0:0_L0:10000 Y	m0:12.8uM_M0:0_L0:10000 X	m0:12.8uM_M0:0_L0:10000 Y	m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:20uM_M0:0_L0:10000 X	m0:20uM_M0:0_L0:10000 Y
35471.56263	0.688888889	40174.29621	0.95	24167.11547	0.901060065	27716.36067	0.971731448	23065.19788	0.978873239	24892.19331	0.974358975
36406.36475	0.714814814	41850.67319	0.960714286	26218.19664	0.925795054	30881.10975	0.982332155	23996.08323	0.982394366	28371.74721	0.974358975
37154.46756	0.737037037	43899.14321	0.971428572	26404.89595	0.929328621	33114.97348	0.989399293	26602.03998	0.98943662	31583.64312	0.974358975
37901.26479	0.751851852	45947.61322	0.982142858	28640.06528	0.943462899	35720.27744	0.992932862	29765.48348	0.992957746	35598.51301	0.97948718
38650.0204	0.777777778	48926.31579	0.992857143	30316.44226	0.954063599	38324.9286	0.992932862	33487.7193	1	39345.72491	0.994871795
39397.47042	0.796296296	51531.61975	0.996428571	31434.02694	0.961130743	41673.76581	0.992932862	36836.55651	1	44966.54275	0.994871795
40890.41208	0.822222222	54322.31742	0.996428571	33482.49692	0.971731444	47440.55488	0.989399293	40743.53325	1	50319.7026	1.005128205
42383.35373	0.848148148	56555.52836	1	34971.52183	0.975265011	50603.99837	0.992932862	43534.23093	1	55405.20446	1
44062.9947	0.877777777	60462.5051	1	36646.59312	0.978798588	55069.11465	0.992932862	47254.50836	0.996478873	62631.97026	1
45740.67727	0.896296296	63067.15626	1	38322.31752	0.985865722	58231.90534	0.992932862	51347.53162	0.996478873	70126.39405	1
47605.05916	0.918518518	65113.66789	1	39996.7362	0.985865722	62698.32721	1	55068.46185	0.996478873		
48908.69033	0.925925925	68090.41208	1	41485.10796	0.985865722	66047.16442	1	58789.39208	0.996478873		
50585.06732	0.937037037	70509.01673	1	43532.27244	0.989399289	69582.04814	1	63441.20767	1		
52820.23664	0.951851852			45579.43692	0.992932856			69580.74255	1		
55055.40596	0.966666667			46510.3224	0.996466433						
57662.0155	0.977777777			49487.06664	0.996466433						
58964.99388	0.981481481			53580.08988	0.996466433						
60826.76459	0.988888889			54696.36888	0.996466433						
63432.06854	0.992592592			59719.62456	0.996466433						
65665.27948	0.996296296			61580.0898	0.996466433						
67153.65157	0.996296296			65859.1596	0.996466433						
70503.14157	1			69022.60308	1						
70689.18809	1										
