X	Romero2010_5min.txt: acid 5min
-302.5210084	0.000103673426738
1008.40336138	0.00111670729209
2319.32773116	0.00573060906916
3630.25210095	0.0136270297462
4941.17647073	0.0245155100879
6252.10084051	0.0381280181477
7563.02521029	0.0542144098387
8873.94958007	0.0725386826669
10184.8739499	0.0928759321672
11495.7983196	0.115009945724
12806.7226894	0.13873138312
14117.6470592	0.163836499988
15428.571429	0.190126371308
16739.4957988	0.217406568886
18050.4201685	0.245487240902
19361.3445383	0.274183534573
20672.2689081	0.303316296056
21983.1932779	0.332712976215
23294.1176477	0.362208667652
24605.0420175	0.391647198274
25915.9663872	0.420882209848
27226.890757	0.449778156568
28537.8151268	0.478211168085
29848.7394966	0.50606973323
31159.6638664	0.533255173766
32470.5882361	0.5596818911
33781.5126059	0.585277381963
35092.4369757	0.609982030879
36403.3613455	0.633748697165
37714.2857153	0.656542121782
39025.2100851	0.678338184567
40336.1344548	0.699123045132
41647.0588246	0.718892201339
42957.9831944	0.737649498062
44268.9075642	0.755406116306
45579.831934	0.772179569157
46890.7563037	0.787992726843
48201.6806735	0.802872888727
49512.6050433	0.816850915716
50823.5294131	0.829960432449
52134.4537829	0.842237104959
53445.3781527	0.853717996347
54756.3025224	0.864441000395
56067.2268922	0.874444350962
57378.151262	0.883766203466
58689.0756318	0.892444283629
60000.0000016	0.90051559797
61310.9243713	0.90801620013
62621.8487411	0.914981007026
63932.7731109	0.921443658867
65243.6974807	0.927436417364
66554.6218505	0.932990096754
67865.5462203	0.938134022704
69176.47059	0.942896014594
70487.3949598	0.947302387133
71798.3193296	0.95137796774
73109.2436994	0.955146126546
74420.1680692	0.958628816275
75731.0924389	0.961846619682
77042.0168087	0.964818802537
78352.9411785	0.96756337047
79663.8655483	0.97009712828
80974.7899181	0.972435740544
82285.7142879	0.974593792564
83596.6386576	0.976584850918
84907.5630274	0.978421522971
86218.4873972	0.980115514913
87529.411767	0.981677687932
88840.3361368	0.983118112286
90151.2605065	0.984446119074
91462.1848763	0.985670349593
92773.1092461	0.986798802216
94084.0336159	0.987838876771
95394.9579857	0.988797416421
96705.8823555	0.989680747107
98016.8067252	0.990494714585
99327.731095	0.99124471916
100638.655465	0.991935748181
101949.579835	0.992572406408
103260.504204	0.993158944342
104571.428574	0.993699284628
105882.352944	0.99419704662
107193.277314	0.994655569238
108504.201683	0.995077932184
109815.126053	0.995466975647
111126.050423	0.995825318573
112436.974793	0.996155375603
113747.899163	0.996459372758
115058.823532	0.996739361966
116369.747902	0.996997234501
117680.672272	0.997234733413
118991.596642	0.997453465021
120302.521012	0.997654909535
121613.445381	0.997840430869
122924.369751	0.998011285708
124235.294121	0.998168631871
125546.218491	0.998313536045
126857.14286	0.998446980909
128168.06723	0.998569871717
129478.9916	0.998683042368
