1% X	1% Y
240	-0.00476667
360	0.009093608
360	0.029407109
480	0.023364462
480	0.022140685
600	-0.006781124
600	0.009710726
720	-0.009802806
720	-0.002168796
720	0.008807949
840	-0.014263383
840	-0.001397398
840	0.005290423
960	-0.043052864
960	-0.011245677
960	0.002140031
960	0.030382112
1080	-0.004560128
1080	-0.004480484
1080	-0.003687498
1080	-0.001047752
1200	-0.017644789
1200	-0.010885588
1200	0.036263704
1200	0.040700189
1320	-0.031636181
1320	-0.014335328
1320	0.006384764
1320	0.016029726
1440	-0.01011419
1440	-0.001601099
1440	0.031085617
1440	0.055850195
1560	0.001765332
1560	0.024675902
1560	0.050913104
1560	0.048976095
1680	0.030538459
1680	0.039177397
1680	0.053441452
1680	0.058113084
1800	0.027198882
1800	0.030538459
1800	0.063837696
1800	0.07199843
1920	0.051236848
1920	0.057662483
1920	0.058308769
1920	0.058904477
2040	0.006398352
2040	0.031078437
2040	0.054457626
2040	0.099553288
2160	0.036092521
2160	0.07357516
2160	0.097682723
2160	0.117304098
2280	0.086310499
2280	0.087538507
2280	0.130554043
2280	0.129654524
2400	0.1231833
2400	0.140754275
2400	0.137108473
2400	0.15596792
2520	0.137762713
2520	0.165923037
2520	0.181401247
2520	0.18639066
2640	0.155058882
2640	0.1728613
2640	0.19182253
2640	0.205527977
2760	0.207200353
2760	0.220302248
2760	0.22581641
2760	0.25988117
2880	0.234264543
2880	0.24706174
2880	0.286274741
2880	0.268119952
3000	0.250032096
3000	0.300438525
3000	0.295899204
3000	0.296322313
3120	0.312644067
3120	0.330870429
3120	0.326986524
3120	0.353230648
3240	0.330149254
3240	0.341956787
3240	0.388011184
3240	0.370857124
3360	0.376895943
3360	0.400113224
3360	0.436572732
3360	0.411218156
3480	0.426064752
3480	0.449793008
3480	0.441291082
3480	0.49800309
3600	0.432745123
3600	0.440994698
3600	0.510386285
3600	0.469565388
3720	0.488051385
3720	0.531175446
3720	0.56930763
3720	0.526545669
3840	0.492819588
3840	0.572464131
3840	0.564654098
3840	0.558633049
3960	0.55167953
3960	0.550537524
3960	0.586466044
3960	0.583166225
4080	0.584275275
4080	0.644416158
4080	0.618497645
4080	0.628923117
4200	0.605923865
4200	0.637272673
4200	0.640578175
4200	0.729317931
4320	0.636548347
4320	0.697305125
4320	0.757645501
4320	0.691874816
4440	0.657986996
4440	0.706817747
4440	0.677509555
4440	0.782597207
4560	0.69003557
4560	0.738681378
4560	0.776908248
4560	0.759574872
4680	0.796737547
4680	0.785165118
4680	0.80008462
4680	0.777057458
4800	0.744752648
4800	0.799974983
4800	0.793682021
4800	0.796842277
4920	0.792981844
4920	0.822300868
4920	0.863104996
4920	0.833102456
5040	0.830189457
5040	0.87807814
5040	0.844902816
5040	0.820296282
5160	0.801502075
5160	0.87767346
5160	0.881544198
5160	0.864974002
5280	0.823701575
5280	0.915632404
5280	0.884089809
5280	0.854182282
5400	0.874822959
5400	0.91393275
5400	0.887869657
5400	0.913033127
5520	0.914175557
5520	0.887955058
5520	0.885092626
5520	0.912529514
5640	0.930038996
5640	0.901165324
5640	0.914637151
5640	0.887061055
5760	0.918049451
5760	0.957961887
5760	0.932764993
5760	0.893104418
5880	0.934409536
5880	0.926647849
5880	0.956678316
5880	0.912673403
6000	0.971073505
6000	0.945251655
6000	0.943410278
6000	0.94231466
6120	0.963384593
6120	0.930142241
6120	0.980348752
6120	0.961164198
6240	0.987422559
6240	0.969405337
6240	0.975423275
6240	0.985553484
6360	0.941558924
6360	0.995030535
6360	0.962448451
6360	0.929004873
6480	0.97386087
6480	1.018259142
6480	1.008516229
6480	0.975265378
6600	0.994463984
6600	0.975423275
6600	1.004502434
6600	0.956487786
6720	0.94853468
6720	1.039140608
6720	0.951883319
6720	1.025718393
6840	0.996811125
6840	1.002939089
6840	1.000030856
6840	0.981164852
6960	0.977143698
6960	0.952912046
6960	0.968480698
6960	0.977567612
7080	1.010489294
7080	0.999968733
7080	0.997253825
7080	1.008288041
7200	0.941404645
7200	0.999077331
7200	1.01286633
7200	0.951163871
7320	0.976518557
7320	1.016478552
7320	0.974574738
7320	0.979150397
7440	1.001141242
7440	1.014764548
7440	1.002820236
7560	1.022480902
7560	1.027415468
7560	1.018432257
7680	0.981990265
7680	1.009287626
7680	0.998719383
7800	0.974329874
7800	0.981131617
7800	0.987064325
7920	0.970409191
7920	1.020057717
7920	0.992963799
8040	1.011756098
