X	Ye2011_Fig2_2-2_005mgmL.txt: 0.05 mg/mL 3.7uM	Ye2011_Fig2_2-2_01mgmL.txt: 0.1 mg/mL 7.4uM	Ye2011_Fig2_2-2_03mgmL.txt: 0.3 mg/mL 22uM	Ye2011_Fig2_2-2_1mgmL.txt: 1 mg/mL 74uM
-256.6191446	2.50145702407e-06	6.56820437939e-06	2.99567230553e-05	0.000162288698607
912.423625547	3.16239763252e-05	8.30386820037e-05	0.00037875967396	0.00205216754478
2081.46639569	0.00016463769295	0.000432463693626	0.00197506651974	0.0107365163802
3250.50916584	0.000401808053392	0.00105618708993	0.00483534009107	0.0264484054915
4419.55193599	0.000743628074036	0.00195670004293	0.00898994101121	0.049598950358
5588.59470614	0.00119081869851	0.00313764226489	0.0144829328614	0.0807367197276
6757.63747628	0.00174432940404	0.00460380447545	0.02137179243	0.120480709443
7926.68024643	0.00240533904827	0.0063611318711	0.0297269810606	0.169417310603
9095.72301658	0.00317525694532	0.00841672827832	0.0396313187304	0.22795174894
10264.7657867	0.00405572415791	0.0107788605951	0.051179087051	0.296108912237
11433.8085569	0.0050486149896	0.0134569630419	0.0644747710627	0.37329047131
12602.851327	0.00615603865846	0.0164616406518	0.0796313330042	0.458017930665
13771.8940972	0.00738034113094	0.0198046713328	0.0967678951707	0.547725312706
14940.9368673	0.00872410709135	0.0234990057235	0.116006695176	0.638703564202
16109.9796375	0.0101901620191	0.0275587639482	0.137469167891	0.726320660939
17279.0224076	0.0117815743423	0.031999228248	0.161271007583	0.805610709589
18448.0651778	0.0135016576326	0.0368368303222	0.187516076144	0.872205815567
19617.1079479	0.0153539728017	0.0420891320656	0.216289054844	0.923380723079
20786.1507181	0.0173423302552	0.0477747982232	0.247646795244	0.958788125803
21955.1934882	0.0194707919555	0.0539135593118	0.281608417914	0.980462221758
23124.2362583	0.0217436733388	0.0605261629742	0.318144343621	0.991984937583
24293.2790285	0.0241655450269	0.0676343117456	0.35716462711	0.997206196121
25462.3217986	0.0267412342669	0.0752605850169	0.398507200362	0.999186504595
26631.3645688	0.0294758260264	0.0834283427868	0.441926914301	0.999804989876
27800.4073389	0.0323746636649	0.0921616086095	0.487086576175	0.999961932612
28969.4501091	0.0354433490915	0.101484928971	0.533551477313	0.999993986839
30138.4928792	0.0386877423165	0.111423206176	0.580789133461	0.999999232215
31307.5356494	0.0421139602897	0.122001501705	0.628176034965	0.999999920418
32476.5784195	0.0457283749133	0.133244806948	0.675013026329	0.999999993242
33645.6211897	0.0495376101055	0.14517777819	0.720550401369	0.999999999524
34814.6639598	0.0535485377823	0.157824432839	0.764022834591	0.999999999972
35983.70673	0.0577682726128	0.171207804032	0.804692862197	0.999999999999
37152.7495001	0.0622041653928	0.185349551122	0.84189988317	1.0
38321.7922703	0.0668637948722	0.200269523994	0.875109831499	1.0
39490.8350404	0.0717549578566	0.215985279866	0.90395919281	1.0
40659.8778106	0.076885657394	0.23251155213	0.928286422071	1.0
41828.9205807	0.0822640888471	0.24985967196	0.948144549954	1.0
42997.9633509	0.087898623636	0.268036944911	0.963791096587	1.0
44167.006121	0.0937977904297	0.287045986491	0.975655157065	1.0
45336.0488912	0.0999702535507	0.306884022919	0.984285953617	1.0
46505.0916613	0.106424788349	0.327542165732	0.990291092987	1.0
47674.1344314	0.113170253293	0.349004671875	0.994274961559	1.0
48843.1772016	0.120215558517	0.371248204112	0.996787289518	1.0
50012.2199717	0.127569630561	0.394241110153	0.998288928152	1.0
51181.2627419	0.135241373035	0.417942742671	0.999137277666	1.0
52350.305512	0.143239622946	0.442302846221	0.999589141279	1.0
53519.3482822	0.151573102412	0.46726104084	0.999815549546	1.0
54688.3910523	0.160250365529	0.492746435587	0.999922064214	1.0
55857.4338225	0.169279740129	0.518677408095	0.999969044007	1.0
57026.4765926	0.178669264227	0.544961588154	0.999988450179	1.0
58195.5193628	0.188426616947	0.571496083866	0.999995953295	1.0
59364.5621329	0.198559043778	0.598167987711	0.999998668315	1.0
60533.6049031	0.209073276034	0.624855196419	0.999999588135	1.0
61702.6476732	0.219975444455	0.651427572417	0.99999988015	1.0
62871.6904434	0.231270986956	0.677748465531	0.999999967137	1.0
64040.7332135	0.24296455058	0.703676601242	0.999999991493	1.0
65209.7759837	0.255059887831	0.72906832612	0.999999997916	1.0
66378.8187538	0.267559747655	0.753780182359	0.999999999516	1.0
67547.861524	0.28046576143	0.777671762036	0.999999999893	1.0
68716.9042941	0.293778324503	0.800608768903	0.999999999977	1.0
69885.9470642	0.307496473926	0.822466192415	0.999999999995	1.0
71054.9898344	0.32161776321	0.843131477169	0.999999999999	1.0
72224.0326045	0.336138135125	0.862507552939	1.0	1.0
73393.0753747	0.351051793729	0.880515578507	1.0	1.0
74562.1181448	0.366351077044	0.897097248565	1.0	1.0
75731.160915	0.382026332021	0.912216519351	1.0	1.0
76900.2036851	0.398065793635	0.925860626507	1.0	1.0
78069.2464553	0.414455470226	0.938040298662	1.0	1.0
79238.2892254	0.431179037407	0.948789111426	1.0	1.0
80407.3319956	0.448217743086	0.958161976887	1.0	1.0
81576.3747657	0.465550326409	0.966232819637	1.0	1.0
82745.4175359	0.483152953551	0.973091547086	1.0	1.0
83914.460306	0.500999173522	0.978840473684	1.0	1.0
85083.5030762	0.519059897221	0.983590400011	1.0	1.0
86252.5458463	0.537303403074	0.98745657336	1.0	1.0
87421.5886165	0.55569537256	0.990554762773	1.0	1.0
88590.6313866	0.574198958887	0.992997667119	1.0	1.0
89759.6741568	0.592774891878	0.994891840677	1.0	1.0
90928.7169269	0.611381621852	0.996335270649	1.0	1.0
92097.7596971	0.629975504899	0.997415680806	1.0	1.0
93266.8024672	0.648511031396	0.998209572309	1.0	1.0
94435.8452373	0.666941098963	0.998781953971	1.0	1.0
95604.8880075	0.685217330225	0.999186666378	1.0	1.0
96773.9307776	0.703290434808	0.999467171736	1.0	1.0
97942.9735478	0.721110613911	0.999657666179	1.0	1.0
99112.0163179	0.738628004556	0.999784372805	1.0	1.0
100281.059088	0.755793159348	0.999866889107	1.0	1.0
101450.101858	0.772557556143	0.999919487295	1.0	1.0
102619.144628	0.788874130651	0.99995229534	1.0	1.0
103788.187399	0.804697823567	0.999972316001	1.0	1.0
104957.230169	0.819986132491	0.999984266817	1.0	1.0
106126.272939	0.834699657725	0.999991244222	1.0	1.0
107295.315709	0.848802630019	0.99999522848	1.0	1.0
108464.358479	0.862263407613	0.999997453646	1.0	1.0
109633.401249	0.875054929571	0.999998669177	1.0	1.0
110802.444019	0.887155112416	0.999999318725	1.0	1.0
111971.48679	0.898547177575	0.999999658329	1.0	1.0
113140.52956	0.909219898146	0.999999832088	1.0	1.0
114309.57233	0.919167755032	0.999999919115	1.0	1.0
115478.6151	0.92839099451	0.999999961796	1.0	1.0
