Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM X	Kim2013_Fig4C_hnrnpa1.txt: hnrnpa1 5uM Y
115.6626506	0.00414316394167
202.4096386	0.0011775913082
289.1566265	-0.0135971394037
375.9036145	-0.0388607027227
462.6506024	-0.0494498284199
520.4819277	-0.0645308249552
693.9759036	0.00918533688486
751.8072289	-0.0151183981563
838.5542169	0.0144403254579
867.4698795	0.0119270322394
954.2168675	0.0120181679601
1040.963855	0.0346753848833
1040.963855	-0.0123874411347
1098.795181	0.0158460645175
1127.710843	-0.000575828262387
1272.289157	0.050333745605
1272.289157	0.020919479627
1359.036145	0.00397148496384
1416.86747	-0.0123017054374
1503.614458	-0.0435614281964
1648.192771	-0.0642217967522
1706.024096	-0.0311170892234
1850.60241	-0.00118850786167
1850.60241	-0.00118850786167
2024.096386	-0.0480653793934
2053.012048	0.00199106006102
2255.421687	0.0175323239197
2284.337349	0.00737107638701
2371.084337	-0.0414533745523
2689.156627	-0.0501757525971
2833.73494	-0.0245713617307
2891.566265	-0.0239542702011
2891.566265	-0.0239542702011
3065.060241	-0.0226234691083
3412.048193	0.00801099741968
3585.542169	0.0141158408825
3701.204819	0.025950661255
3903.614458	0.0318564512209
4048.192771	0.0318222126439
4192.771084	0.0317609705209
4250.60241	0.0317309645198
4886.746988	-0.0334161676979
5204.819277	-0.0513139420056
5378.313253	-0.010272781185
5638.554217	-0.0104829206295
5985.542169	0.0186493289824
6216.86747	0.0302264765932
