X	data1.txt: WT
0.7881	0.000178376096114
1.74831111111	0.000877137635902
2.70852222222	0.0021091168191
3.66873333333	0.00388678342626
4.62894444444	0.00623050947003
5.58915555556	0.00916833361924
6.54936666667	0.0127357292514
7.50957777778	0.0169753393802
8.46978888889	0.0219366375312
9.43	0.0276754691884
10.3902111111	0.0342534243161
11.3504222222	0.0417369885386
12.3106333333	0.0501964199351
13.2708444444	0.0597043014703
14.2310555556	0.0703337273786
15.1912666667	0.0821560969621
16.1514777778	0.0952385125873
17.1116888889	0.10964081092
18.0719	0.125412297218
19.0321111111	0.142588299828
19.9923222222	0.161186711854
20.9525333333	0.181204733177
21.9127444444	0.202616060735
22.8729555556	0.225368789583
23.8331666667	0.249384274149
24.7933777778	0.274557153512
25.7535888889	0.300756666525
26.7138	0.327829278484
27.6740111111	0.355602522756
28.6342222222	0.383889844703
29.5944333333	0.41249613876
30.5546444444	0.441223607403
31.5148555556	0.469877551976
32.4750666667	0.498271731045
33.4352777778	0.526232985726
34.3954888889	0.55360492099
35.3557	0.580250532453
36.3159111111	0.606053765055
37.2761222222	0.630920072132
38.2363333333	0.654776103705
39.1965444444	0.677568689124
40.1567555556	0.699263293096
41.1169666667	0.719842119697
42.0771777778	0.739302021482
43.0373888889	0.757652345612
43.9976	0.774912820552
44.9578111111	0.791111558951
45.9180222222	0.806283226982
46.8782333333	0.820467409046
47.8384444444	0.833707179819
48.7986555556	0.846047882894
49.7588666667	0.857536106413
50.7190777778	0.86821884039
51.6792888889	0.878142797268
52.6395	0.887353875958
53.5997111111	0.89589674967
54.5599222222	0.903814558825
55.5201333333	0.911148691785
56.4803444444	0.917938637993
57.4405555556	0.924221899911
58.4007666667	0.930033952079
59.3609777778	0.935408237286
60.3211888889	0.940376191511
61.2814	0.944967290629
62.2416111111	0.9492091132
63.2018222222	0.95312741466
64.1620333333	0.956746209171
65.1222444444	0.960087856151
66.0824555556	0.963173149134
67.0426666667	0.966021405126
68.0028777778	0.968650553069
68.9630888889	0.971077220371
69.9233	0.973316816721
70.8835111111	0.975383614669
71.8437222222	0.977290826601
72.8039333333	0.979050677885
73.7641444444	0.98067447609
74.7243555556	0.982172676241
75.6845666667	0.983554942162
76.6447777778	0.984830203975
77.6049888889	0.986006711896
78.5652	0.987092086453
79.5254111111	0.988093365302
80.4856222222	0.989017046807
81.4458333333	0.989869130554
82.4060444444	0.990655154981
83.3662555556	0.991380232295
84.3264666667	0.992049080852
85.2866777778	0.992666055155
86.2468888889	0.993235173634
87.2071	0.993760144364
88.1673111111	0.994244388851
89.1275222222	0.994691064037
90.0877333333	0.995103082637
91.0479444444	0.99548313194
92.0081555556	0.995833691178
92.9683666667	0.996157047576
93.9285777778	0.996455311167
94.8887888889	0.996730428487
95.849	0.996984195202
