X	Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4
2456.6	0.000541570810026
4322.49292929	0.00167511372121
6188.38585859	0.00342842395858
8054.27878788	0.00579605804087
9920.17171717	0.00877070161085
11786.0646465	0.0123432242289
13651.9575758	0.0165027471258
15517.8505051	0.0212367229874
17383.7434343	0.0265310266978
19249.6363636	0.0323700558422
21115.5292929	0.0387368396701
22981.4222222	0.0456131551477
24847.3151515	0.0529796486796
26713.2080808	0.0608159620625
28579.1010101	0.0691008612355
30444.9939394	0.077812366425
32310.8868687	0.0869278823317
34176.779798	0.0964243270804
36042.6727273	0.106278258741
37908.5656566	0.11646599833
39774.4585859	0.126963748323
41640.3515152	0.137747705816
43506.2444444	0.148794169608
45372.1373737	0.160079640608
47238.030303	0.171580915087
49103.9232323	0.183275170416
50969.8161616	0.195140043071
52835.7090909	0.207153698763
54701.6020202	0.219294894676
56567.4949495	0.231543033895
58433.3878788	0.243878212154
60299.2808081	0.256281257151
62165.1737374	0.268733760706
64031.0666667	0.281218104094
65896.959596	0.293717476949
67762.8525253	0.30621589013
69628.7454545	0.318698182994
71494.6383838	0.331150025512
73360.5313131	0.343557915695
75226.4242424	0.355909172767
77092.3171717	0.368191926543
78958.210101	0.380395103444
80824.1030303	0.392508409572
82689.9959596	0.404522311244
84555.8888889	0.416428013382
86421.7818182	0.428217436094
88287.6747475	0.439883189811
90153.5676768	0.451418549263
92019.4606061	0.462817426609
93885.3535354	0.474074343951
95751.2464646	0.485184405489
97617.1393939	0.496143269529
99483.0323232	0.506947120511
101348.925253	0.517592641249
103214.818182	0.528076985514
105080.711111	0.538397751084
106946.60404	0.548552953377
108812.49697	0.558540999747
110678.389899	0.568360664521
112544.282828	0.578011064846
114410.175758	0.587491637375
116276.068687	0.596802115838
118141.961616	0.60594250953
120007.854545	0.614913082714
121873.747475	0.623714334963
123739.640404	0.632346982429
125605.533333	0.640811940045
127471.426263	0.649110304636
129337.319192	0.657243338938
131203.212121	0.665212456488
133069.105051	0.673019207382
134934.99798	0.68066526486
136800.890909	0.688152412698
138666.783838	0.695482533383
140532.676768	0.702657597022
142398.569697	0.70967965099
144264.462626	0.716550810243
146130.355556	0.723273248297
147996.248485	0.729849188835
149862.141414	0.736280897899
151728.034343	0.742570676651
153593.927273	0.748720854667
155459.820202	0.754733783735
157325.713131	0.760611832133
159191.606061	0.766357379351
161057.49899	0.771972811248
162923.391919	0.777460515591
164789.284848	0.782822877982
166655.177778	0.788062278132
168521.070707	0.793181086459
170386.963636	0.798181660998
172252.856566	0.803066344601
174118.749495	0.807837462397
175984.642424	0.81249731951
177850.535354	0.817048199004
179716.428283	0.821492360052
181582.321212	0.825832036299
183448.214141	0.830069434413
185314.107071	0.834206732818
187180.0	0.838246080574
