Time /s	32 uM 8 kDa pH 7.4
0	39.47368421
3037.974684	47.36842105
7594.936709	63.15789474
11772.1519	78.94736842
15569.62025	110.5263158
18227.8481	150
22405.06329	213.1578947
25063.29114	260.5263158
26962.02532	323.6842105
29620.25316	402.6315789
31139.24051	465.7894737
33797.46835	568.4210526
34936.70886	615.7894737
37215.18987	702.6315789
39493.67089	757.8947368
42531.64557	821.0526316
45569.62025	884.2105263
48607.59494	923.6842105
53544.3038	986.8421053
57341.77215	1018.421053
64936.70886	1073.684211
69493.67089	1097.368421
74810.12658	1121.052632
78987.34177	1136.842105
84303.79747	1152.631579
90379.74684	1176.315789
97594.93671	1200
105569.6203	1207.894737
108227.8481	1215.789474
116202.5316	1239.473684
121518.9873	1255.263158
126455.6962	1255.263158
131012.6582	1286.842105
136708.8608	1318.421053
143924.0506	1357.894737
149240.5063	1389.473684
155316.4557	1460.526316
161772.1519	1515.789474
167088.6076	1563.157895
172025.3165	1634.210526
176962.0253	1689.473684
