Time /s	24 uM 8 kDa pH 7.4
1659.501579	72.8115134
9733.928931	66.29441795
17813.79727	66.37670451
24283.13293	73.04191577
27531.40324	92.87297642
30782.39404	116.0037281
36457.34533	139.1591657
41329.75079	168.9057567
45388.72842	192.044737
47829.01189	211.867569
51082.72318	238.2980117
56768.55646	274.6522133
61640.96191	304.3988043
62484.31517	347.3030161
67364.88211	386.9486801
71437.46222	426.5861154
73885.90717	456.3080204
77147.77994	492.6375361
81209.47807	519.0762074
86884.42937	542.2316451
90937.96601	558.7712434
101458.1178	578.6763619
108740.8813	591.9491839
116831.6316	605.2302344
124117.1156	621.8027474
132202.4249	628.4844159
141906.4284	638.4822328
151607.7114	645.1803587
159698.4617	658.4614093
172639.8536	675.0915228
179928.058	694.9637267
188026.9698	718.1438503
193710.0826	751.198361
198577.0471	774.34557
205881.5745	814.0159199
211559.2463	840.4710486
217242.3591	873.5255592
222114.7646	903.2721502
226181.9037	936.3102035
232667.5623	962.7735608
